Aphrika	Africa
Vazgen Manukyan	Vazgen Manukyan
José de la Riva Agüero	José de la Riva Agüero
Francisco del Rosario Sánchez	Francisco del Rosario Sánchez
Quyllur Rit'i	Qoyllur Rit'i
Juan Mercier	Juan Mercier
Ronald Raldes Balcazar	Ronald Raldes
Willington Ortiz	Willington Ortiz
Carlos García-Bedoya	Carlos García-Bedoya
Chakas	Chacas
Pampa Galeras - Bárbara D'Achille mama llaqta risirwa	Riserva nazionale Pampas Galeras-Bárbara D'Achille
Aplaw	Aplao
Felipe Pinglo Alva	Felipe Pinglo Alva
Wañuy iskadrun	Squadrone della morte
Eloy Alfaro kiti	Cantone di Eloy Alfaro
Esmeraldas kiti	Cantone di Esmeraldas
Balsas kiti	Cantone di Balsas
Wamuti kiti	Cantone di Guamote
Benedicta Boccoli	Benedicta Boccoli
Asnaq qucha (Chinchay Lipis)	Laguna Hedionda
Kumanta kiti	Cantone di Cumandá
Wapu kiti	Cantone di El Guabo
Chilla kiti	Cantone di Chilla
Archidona kiti	Cantone di Archidona
Saruma kiti	Cantone di Zaruma
Pinipi kiti	Cantone di Penipe
Machala kiti	Cantone di Machala
Champu kiti	Cantone di Chambo
Montúfar kiti	Cantone di Montúfar
Chunchi kiti	Cantone di Chunchi
Alawsi kiti	Cantone di Alausí
Wanu kiti	Cantone di Guano
Tina kiti	Cantone di Tena
Arinillas kiti	Cantone di Arenillas
Mira kiti	Cantone di Mira
Rispampa kiti	Cantone di Riobamba
Pasaje kiti	Cantone di Pasaje
San Fernando kiti	Cantone di San Fernando
Wachapala kiti	Cantone di Guachapala
Pukara kiti	Cantone di Pucará
Nabón kiti	Cantone di Nabón
Pawti kiti	Cantone di Paute
Tanta kiti	Cantone di El Pan
Bolívar kiti (Karchi)	Cantone di Bolívar (Carchi)
John Harold Lozano	John Lozano
Tuqti	Juglans
Girón kiti	Cantone di Girón
Echeandía kiti	Cantone di Echeandía
Siksik kiti	Cantone di Sigsig
Oña kiti	Cantone di Oña
P'uchqu qucha kiti	Cantone di Lago Agrio
Nobol kiti	Cantone di Nobol
Kitu kiti	Cantone di Quito
Awariku kiti	Cantone di Aguarico
Rirqay kiti	Cantone di La Troncal
Jujan kiti	Cantone di Alfredo Baquerizo Moreno
Déleg kiti	Cantone di Déleg
San Miguel kiti	Cantone di San Miguel
Montecristi kiti	Cantone di Montecristi
Jorge Rivero	Jorge Rivero
Santa Isabel kiti	Cantone di Santa Isabel
Chimpu kiti	Cantone di Chimbo
Kañar kiti	Cantone di Cañar
Suskal kiti	Cantone di Suscal
Chillanes kiti	Cantone di Chillanes
Waranta kiti	Cantone di Guaranda
Matarahu	Nevado Pisco
Walasiyu kiti	Cantone di Gualaceo
Tampu kiti	Cantone di El Tambo
Wampukuna kiti	Cantone di Las Naves
William Chiroque	William Chiroque
Jonaspa qillqasqan	Giona (profeta)
Runa llaqta	Popolo
Willkawaman	Vilcas Huamán
Elba de Pádua Lima	Elba de Pádua Lima
Tanka taruka	Mazama chunyi
La Victoria distritu	Distretto di La Victoria
Musuq Rikina distritu	Distretto di Nueva Requena
Ataqiru distritu	Distretto di Ataquero
Kiskis	Quizquiz
Callería distritu	Distretto di Callería
Campoverde distritu	Distretto di Campoverde
Ipariya distritu	Distretto di Iparía
Padre Abad distritu	Distretto di Padre Abad
Manantay distritu	Distretto di Manantay
Yarinaqucha distritu	Distretto di Yarinacocha
Masisea distritu	Distretto di Masisea
Irazola distritu	Distretto di Irazola
Tawaniya distritu	Distretto di Tahuanía
Shipaspampa distritu	Distretto di Shipasbamba
Yurwa distritu	Distretto di Yurua
Sabaynu distritu	Distretto di Sabaino
Paryawanka distritu (Anqash)	Distretto di Pariahuanca (Ancash)
Wari distritu	Distretto di Huari
Musuqllaqta distritu (Aqumayu)	Distretto di Mosoc Llacta
Ranrapallqa	Ranrapalca
Universidade do Estado de Minas Gerais	Universidade do Estado de Minas Gerais
Joaquín Crespo	Joaquín Crespo
San Juan de Lurigancho distritu	Distretto di San Juan de Lurigancho
Chinchirkuma	Mutisia
Ignacio Álvarez Thomas	Ignacio Álvarez Thomas
Héctor Veira	Héctor Veira
Simón Díaz	Simón Díaz
Trujillo	Trujillo
Amawaka runa	Amahuaca
Carlos Lobatón	Carlos Lobatón
Killapampa	Quillabamba
Salah Assad	Salah Assad
Qullqa hirka	La Esfinge
Talawira distritu	Distretto di Talavera de la Reyna
Yanawara distritu	Yanahuara
Aniceto Arce	Aniceto Arce
Laq'a Jawira	Laca Jahuira
Juan José Muñante	Juan José Muñante
Wachu distritu	Distretto di Huacho
Q'iswa chaka	Ponte di corda inca
Madidi mayu	Madidi (fiume)
Juan Pereda Asbún	Juan Peréda Asbun
Achuar	Achuar
Willkanchu distritu	Distretto di Vilcanchos
Pedro Antonio Fernández de Castro	Pedro Antonio Fernández de Castro
Pawqartampu distritu	Distretto di Paucartambo
Ankasti	Ancasti
La Ley	La Ley
San Borja distritu	Distretto di San Borja
Parawa mayu	Paragúa
Pisqu distritu	Distretto di Pisco
Chillun mayu	Chillón (fiume)
Juan Carlos Oblitas	Juan Carlos Oblitas
Tsaphiki simi	Lingua tsafiki
Daniel Alcides Carrión	Daniel Alcides Carrión
Wanta distritu	Distretto di Huanta
San Andrés distritu	Distretto di San Andrés
Jorge Bermúdez	Jorge Bermúdez
Yaya mayu	Rio Zamora
La Polla Records	La Polla
Cirilo Rivarola	Cirilo Antonio Rivarola
Alfonso Barrantes Lingán	Alfonso Barrantes
Gabriela Pérez del Solar	Gabriela Pérez
Puruchuku	Puruchuco
Alberto Terry	Alberto Terry
Naska siq'ikuna	Linee di Nazca
Li Ming	Li Ming
San Borja munisipyu	San Borja (Bolivia)
Jorge Newbery	Jorge Newbery
Iwari distritu	Distretto di Ihuarí
Antamarka distritu (Lima)	Distretto di Santa Cruz de Andamarca
Lurín distritu	Distretto di Lurín
José de la Riva Agüero y Osma	José de la Riva-Agüero y Osma
Atavillos Bajo distritu	Distretto di Atavillos Bajo
Qaraq distritu	Distretto di 27 de noviembre
Atavillos Alto distritu	Distretto di Atavillos Alto
San Isidro distritu	Distretto di San Isidro
Pakaraw distritu	Distretto di Pacaraos
Chankay distritu (Lima)	Distretto di Chancay
Awqallama distritu	Distretto di Aucallama
Lampiyan distritu	Distretto di Lampían
San Miguel Aqu distritu	Distretto di San Miguel de Acos
Sikchus kiti	Cantone di Sigchos
Raúl Gorriti	Raúl Gorriti
Corosha distritu	Distretto di Corosha
Pumaqucha distritu (Amarumayu)	Distretto di Florida
Jazán distritu	Distretto di Jazán
Palpa	Palpa (città)
La Peca distritu	Distretto di La Peca
El Parco distritu	Distretto di El Parco
Cuispes distritu	Distretto di Cuispes
Imasa distritu	Distretto di Imaza
Aramango distritu	Distretto di Aramango
Alawsi	Alausí
Giancarlo Carmona	Giancarlo Carmona
Sunin	Junín (Perù)
Sofía Mulanovich	Sofía Mulánovich
Julio Meléndez	Julio Meléndez
La Punta distritu	Distretto di La Punta
Kanila sach'a	Cinnamomum verum
Santa Rosa distritu (Rodríguez de Mendoza)	Distretto di Santa Rosa (Amazonas)
Mirgas distritu	Distretto di Mirgas
Levanto distritu	Distretto di Levanto
Chirimutu distritu	Distretto di Chirimoto
Kinhalka distritu	Distretto di Quinjalca
San Miyil Aqu distritu	Distretto di San Miguel de Aco
Ullirus distritu	Distretto di Olleros (Amazonas)
Wayllakayan distritu	Distretto di Huayllacayán
Mariscal Castilla distritu	Distretto di Mariscal Castilla (Amazonas)
Montevideo distritu	Distretto di Montevideo
Chiqllan distritu	Distretto di Chiquián
Akya distritu	Distretto di Aquia
Aquchaka distritu	Distretto di Acochaca
Qaqaqay distritu	Distretto di Cajacay
Yawya distritu	Distretto di Yauya
Qullqiyuq listritu	Distretto di Colquioc
Waqllan distritu	Distretto di Huacllán
Aqu distritu	Distretto di Aco (Ancash)
La Pampa distritu	Distretto di La Pampa
Hamalka distritu	Distretto di Jamalca
Longar distritu	Distretto di Longar
La Merced distritu	Distretto di La Merced
Wampu distritu (Rodríguez de Mendoza)	Distretto di Huambo
Tinku distritu (Anqash)	Distretto di Tinco
Antonio Raimondi distritu	Distretto di Antonio Raymondi
Yunka distritu (Anqash)	Distretto di Yungar
Chinkas distritu	Distretto di Chingas
Mariscal Benavides distritu	Distretto di Mariscal Benavides
Amashqa distritu	Distretto di Amashca
Qurpanki distritu	Distretto di San Miguel de Corpanqui
Sukcha distritu	Distretto di Succha
Yamun distritu	Distretto di Yamón
Achachilla distritu	Distretto di El Milagro
Yawtan distritu	Distretto di Yaután
Hatun Lunya distritu	Distretto di Lonya Grande
Vista Alegre distritu (Rodríguez de Mendoza)	Distretto di Vista Alegre (Amazonas)
Aqshu distritu	Distretto di Aczo
Paqllun distritu	Distretto di Pacllón
Kanis distritu	Distretto di Canis
Quris distritu (Ayha pruwinsya)	Distretto di Coris
Llaqlla distritu	Distretto di Abelardo Pardo Lezameta
Mankas distritu	Distretto di Mangas
Ayha distritu	Distretto di Aija
Runtuy distritu	Distretto di San Juan de Rontoy
Limapampa distritu	Distretto di Limabamba
Wasta distritu	Distretto di Huasta
Shilla distritu	Distretto di Shilla
Tutura distritu	Distretto di Totora
Pawqarwara distritu	Distretto di La Primavera
Cochamal distritu	Distretto di Cochamal
Chaqchu distritu	Distretto di Chaccho
San Nicolás distritu (Rodríguez de Mendoza)	Distretto di San Nicolás (Amazonas)
Markaraa distritu	Distretto di Marcará
Milpuc distritu	Distretto di Milpuc
San Nicolás distritu	Distretto di San Nicolás (Ancash)
Yanaq distritu (Anqash)	Distretto di Yanac
Jangas distritu	Distretto di Jangas
Buena Vista Alta distritu	Distretto di Buena Vista Alta
Qullqapampa distritu (Anqash)	Distretto di Colcabamba (Ancash)
Llamillin distritu	Distretto di Llamellín
Pampas distritu (Kurunku)	Distretto di Bambas
Kuska distritu	Distretto di Cusca
Yuramarka distritu	Distretto di Yuracmarca
Qarwa distritu	Distretto di Carhuaz
Quchapampa distritu (Anqash)	Distretto di Cochabamba (Ancash)
Hatun Pampas distritu (Waras)	Distretto di Pampas (Huaraz)
Quriyunka distritu	Distretto di Corongo
La Libertad distritu	Distretto di La Libertad
Waras listritu	Distretto di Huaraz
Anra distritu	Distretto di Anra
Wanchay distritu	Distretto di Huanchay
Ulliru distritu (Waras)	Distretto di Olleros (Ancash)
Paryaqutu distritu	Distretto di Pariacoto
Wantar Chawin distritu	Distretto di Chavín de Huantar
Puntuw distritu	Distretto di Pontó
Wakchis distritu	Distretto di Huacchis
Pisqupampa distritu	Distretto di Piscobamba
Waqra distritu	Distretto di Pueblo Libre
Qaras distritu	Distretto di Caraz
Masin distritu	Distretto di Masin
Pawqas distritu	Distretto di Paucas
Malwas distritu	Distretto di Malvas
Qashash distritu	Distretto di Cajay
Kaska listritu	Distretto di Casca
Wachis distritu	Distretto di Huachis
Wantar distritu	Distretto di Huantar
San Markus distritu (Anqash)	Distretto di San Marcos
Pamparumas distritu	Distretto di Pamparomas
Wakachi distritu	Distretto di Huacachi
Waylas distritu	Distretto di Huaylas
Rapayan distritu	Distretto di Rapayán
Akas distritu	Distretto di Acas
Rawapampa distritu	Distretto di Rahuapampa
Lukma distritu	Distretto di Lucma
San Pedro de Chana distritu	Distretto di San Pedro de Chaná
Llapu distritu	Distretto di Llapo
Machaqway (Warmiy) distritu	Distretto di Culebras
Mushqa distritu	Distretto di Musga
Warmiy distritu	Distretto di Huarmey
Santo Toribio distritu	Distretto di Santo Toribio
Pampachakra distritu	Distretto di Eleazar Guzmán Barrón
Fidel Olivas Escudero distritu	Distretto di Fidel OIivas Escudero
Santa Krus distritu	Distretto di Santa Cruz (Ancash)
Matu distritu	Distretto di Mato
Qataq distritu	Distretto di Catac
Llumpa distritu	Distretto di Llumpa
Qawana distritu (Anqash)	Distretto di Cabana (Ancash)
Kaskapara distritu	Distretto di Cascapara
Tawqa distritu	Distretto di Tauca
Bolognesi distritu	Distretto di Bolognesi
Kinwapampa distritu	Distretto di Quinuabamba
Pampas distritu (Pallasqa)	Distretto di Pampas (Pallasca)
Qarwapampa distritu	Distretto di Carhuapampa
Pumapampa distritu	Distretto di Pomabamba
Marka distritu	Distretto di Marca
Pararin distritu	Distretto di Pararín
Llaqllin distritu	Distretto di Llacllín
Qillu distritu	Distretto di Quillo
Quyshqu distritu	Distretto di Coishco
Uqrus distritu	Distretto di Ocros (Ancash)
Tikapampa distritu	Distretto di Ticapampa
Chullin distritu	Distretto di San Juan (Sihuas)
Qunqas distritu	Distretto di Congas
Chinkalpu distritu	Distretto di Chingalpo
Qutaparaqu distritu	Distretto di Cotaparaco
Yunkay distritu	Distretto di Yungay
Kunchuku distritu	Distretto di Conchucos
Pallasqa distritu	Distretto di Pallasca
Muru distritu	Distretto di Moro
Kashamarkilla distritu	Distretto di Cajamarquilla
Mataqutu distritu	Distretto di Matacoto
Juan Carlos Bazalar	Juan Carlos Bazalar
Wakaschuqi distritu	Distretto di Hucaschuque
Santa distritu	Distretto di Santa
Quchas distritu	Distretto di Cochas
Yanama distritu	Distretto di Yanama
Qupa distritu (Anqash)	Distretto di San Pedro (Ancash)
Maqati distritu	Distretto di Macate
Wayllan distritu	Distretto di Huayllán
Ichik Pampas distritu	Distretto di Pampas Chico
Manqus distritu	Distretto di Mancos
Raqash distritu	Distretto di Ragash
Musuq Chimputi distritu	Distretto di Nuevo Chimbote
Shupluy distritu	Distretto di Shupluy
Chimputi distritu	Distretto di Chimbote
Wayllapampa distritu (Siwas)	Distretto di Huayllabamba (Ancash)
Shiqshipampa distritu	Distretto di Sicsibamba
Kichis distritu	Distretto di Quiches
Luján Pallan	Nostra Signora di Luján
Santa Rita Siwas distritu	Distretto di Santa Rita de Siguas
Uchumayu distritu	Distretto di Uchumayo
Machu Pikchu distritu	Distretto di Machupicchu
Pawqarpata distritu	Distretto di Paucarpata
Mamara distritu	Distretto di Mamara
Ranrakancha distritu	Distretto di Ranracancha
Santa Isabel Siwas distritu	Distretto di Santa Isabel de Siguas
Tiyawaya distritu	Distretto di Tiabaya
Ukhupampa distritu (Apurimaq)	Distretto di Ocobamba (Apurímac)
Mariano Melgar distritu	Distretto di Mariano Melgar
Sabandía distritu	Distretto di Sabandía
José María Quimper distritu	Distretto di José María Quimper
Suqawaya distritu	Distretto di Socabaya
Sach'aka distritu	Sachaca
Qurpawasi distritu	Distretto di Curpahuasi
Miraflores distritu (Ariqipa)	Distretto di Miraflores (Arequipa)
Unquy distritu	Distretto di Ongoy
Yura distritu	Distretto di Yura
Mulliwaya distritu	Distretto di Mollebaya
Anku-Wallu distritu	Distretto di Anco-Huallo
Qucharqa distritu	Distretto di Cocharcas
Challwawachu distritu	Distretto di Challhuahuacho
Waqana distritu	Distretto di Huaccana
Qiqiña distritu	Distretto di Quequeña
Vitor distritu	Distretto di Vitor
San Juan Siwas distritu	Distretto di San Juan de Siguas
Uranmarka distritu	Distretto di Uranmarca
Hakira distritu	Distretto di Haquira
Tarujani distritu	Distretto di San Juan de Tarucani
José Luis Bustamante y Rivero distritu	José Luis Bustamante y Rivero (città)
Puqsi distritu	Distretto di Pocsi
Turpu distritu	Distretto di Turpo
Sañayqa distritu	Distretto di Sañayca
Qullqapampa distritu (Aymara)	Distretto di Colcabamba (Apurímac)
Paqucha distritu	Distretto di Pacucha
Chinchiru distritu (Apurimaq)	Distretto di Chincheros
Mara distritu	Distretto di Mara
Kiswara distritu	Distretto di Kishuara
Wayllu distritu	Distretto di Huayllu
Turaya distritu	Distretto di Toraya
Paqupampa distritu	Distretto di Pacobamba
Qapaya distritu	Distretto di Capaya
Chakrapampa distritu	Distretto di San Miguel de Chaccrapampa
Kutapampa distritu	Distretto di Cotabambas
Tintay distritu	Distretto di Tintay
Hanan Kusisach'a distritu	Selva Alegre
Chapimarka distritu	Distretto di Chapimarca
Yanaqa distritu	Distretto di Yanaca
Qaraypampa distritu	Distretto di Caraybamba
Lukri distritu (Apurimaq)	Distretto di Lucre (Apurímac)
Suraya distritu	Distretto di Soraya
Tampupampa distritu	Distretto di Tambobamba
Justo Apu Sawarawra distritu	Distretto di Justo Apu Sahuaraura
Quyllurqi distritu	Distretto di Coyllurqui
Mullipampa distritu (Apurimaq)	Distretto di Juan Espinoza Medrano
Chuqipampilla distritu	Distretto di Chuquibambilla
Urupisa distritu (Apurimaq)	Distretto di Oropesa (Apurímac)
Puquwanka distritu	Distretto di Pocohuanca
Pumaqucha distritu (Apurimaq)	Distretto di Pomacocha
Kachi distritu	Distretto di San Antonio de Cachi
Wayana distritu	Distretto di Huayana
K'akllapampa distritu	Distretto di Kaquiabamba
San Jerónimo distritu (Antawaylla)	Distretto di San Jerónimo (Apurímac)
Pachakunas distritu	Distretto di Pachaconas
Qutarusi distritu	Distretto di Cotaruse
Wankarama distritu	Distretto di Huancarama
Pampachiri distritu	Distretto di Pampachiri
Quri distritu	Distretto di El Oro
Challwanka distritu	Distretto di Chalhuanca
Antapampa distritu (Apurimaq)	Distretto di Antabamba
Samanku distritu	Distretto di Samanco
Parupampa distritu	Distretto di Parobamba
Kasma distritu	Distretto di Casma
Wankaray distritu	Distretto di Huancaray
Tarika distritu	Distretto di Tarica
Chiyara distritu (Apurimaq)	Distretto di Chiara (Apurímac)
Germán Leguía	Germán Leguía
Antarapa distritu	Distretto di Andarapa
Kudai	Kudai
Inga	Inga (antropologia)
Salcedo kiti	Cantone di Salcedo
Mayuruna	Matsés
Luis Conejo	Luis Gabelo Conejo
Wamanpinta	Chuquiraga
Aqumayu distritu	Distretto di Acomayo
Antawaylla distritu	Distretto di Andahuaylas
Wanipaqa distritu	Distretto di Huanipaca
Awankay distritu	Distretto di Abancay
Kachura distritu	Distretto di San Pedro de Cachora
Sirka distritu	Distretto di Circa
Runtukan distritu	Distretto di Rondocan
Lurigancho-Chosica distritu	Distretto di Lurigancho-Chosica
Pichirwa distritu	Distretto di Pichirhua
Chaquchi distritu	Distretto di Chacoche
Surquillo distritu	Distretto di Surquillo
Kuraqwasi distritu	Distretto di Curahuasi
Wata distritu (Anqash)	Distretto di Huata
Sankarara distritu	Distretto di Sangarará
Pashin	Hoplias malabaricus
Awaytiya	Aguaytía
Sapara runa	Zápara
Qusqu distritu	Distretto di Cusco
El Agustino distritu	Distretto di El Agustino
Piero Alva	Piero Alva
Jesús María distritu	Distretto di Jesús María
Linsi distritu	Distretto di Lince
Sarwa distritu	Distretto di Sarhua
Pampas	Pampas (città)
Pawsa	Pausa (Perù)
Pukyu llaqta	Puquio
San Miguel (Ayakuchu)	San Miguel (La Mar)
Urarina	Urarina
Suway	Furto
Conrad Bain	Conrad Bain
Valera distritu	Distretto di Valera
Chuqipampa distritu (Amarumayu)	Distretto di Chuquibamba
Balsas distritu	Distretto di Balsas
Yamwraspampa distritu	Distretto di Yabrasbamba
San Carlos distritu (Piruw)	Distretto di San Carlos (Perù)
Recta distritu	Distretto di Recta
Chitu distritu	Distretto di Cheto
Luis Cruzado	Luis Cruzado
Jumbilla distritu	Distretto di Jumbilla
Asunsyun distritu (Amarumayu)	Distretto di Asunción (Perù)
San Pedro (nina urqu)	San Pedro (vulcano)
Wambyanu simi	Lingua guambiana
Ancón distritu	Distretto di Ancón
Chuni	Chone (Ecuador)
Chinchaw distritu	Distretto di Chinchao
Hiwya distritu	Distretto di Jivia
Baños distritu	Distretto di Baños
Hisus distritu (Wanuku)	Distretto di Jesús (Lauricocha)
Santa Mariya Qichwachaw distritu	Distretto di Santa María del Valle
Amarilis distritu	Distretto di Amarilis
Qirupallqa distritu	Distretto di Queropalca
Chawlan distritu	Distretto di San Pedro de Chaulán
Kiski distritu	Distretto di Quisqui
Runtus distritu	Distretto di Rondos
Kayran distritu	Distretto di San Francisco de Cayrán
Warin distritu	Distretto di San Francisco de Asís
Kawri distritu	Distretto di San Miguel de Cauri
Yarumayu distritu	Distretto di Yarumayo
's-Hertogenbosch	's-Hertogenbosch
La Joya distritu (Ariqipa)	Distretto di La Joya
José Soriano	José Soriano
Chunwa runa	Zhonghua minzu
Punku p'anqa: Simi kapchiy	Portale:Letteratura
Camilo Torres	Camilo Torres Tenorio
Trucha	Salmo trutta
Tuyur	Temporale
Kulli simi	Lingua culli
K'allma	Ramo
Qarawayllu distritu	Distretto di Carabayllo
Qarapulka	Carapulcra
Katiguriya:Kultura	Categoria:Cultura
Katiguriya:Allpa pacha	Categoria:Continenti
Cieneguilla distritu	Distretto di Cieneguilla
Carlos Augusto Salaverry	Carlos Augusto Salaverry
De Facto Cadre Dub	De Facto
K'atma	Grado (matematica)
Lima distritu	Distretto di Lima
Sao Shwe Thaik	Sao Shwe Thaik
Tránsito Amaguaña	Tránsito Amaguaña
10 watakuna	Anni 10
Santiago mayu (Marañun)	Rio Santiago
Mansirichi punku	Pongo de Manseriche
Paray mit'a	Stagione delle piogge
Inka yachay tarpuy	Inca
Atawallpa Apu Inka	Juan Santos Atahualpa
Ismael Montes	Ismael Montes
Wikipidiya:Qillqa suti	Wikipedia:Titolo della voce
Punku p'anqa: Quyllur yachay	Portale:Astronomia
Punku p'anqa: Taki kapchiy	Portale:Musica
Kulli	Porpora
Punku p'anqa: Allpa saywachi	Portale:Geografia
Llut'ariy	Magnetismo
Punta Hermosa distritu	Distretto di Punta Hermosa
Magdalena del Mar distritu	Distretto di Magdalena del Mar
San Juan de Miraflores distritu	Distretto di San Juan de Miraflores
La Molina distritu	Distretto di La Molina
Puente Piedra distritu	Distretto di Puente Piedra
Indipindinsya distritu (Lima)	Distretto di Independencia (Lima)
Wayllati distritu	Distretto di Huayllati
Breña distritu	Distretto di Breña
Qawana llaqta	Cabana (Perù)
San Luis distritu (Lima pruwinsya)	Distretto di San Luis (Lima)
Wayu	Frutta
Pachakamaq distritu	Distretto di Pachacamac
Kashapampa distritu	Distretto di Cashapampa
Punta Negra distritu	Distretto di Punta Negra
Jacobo Hunter distritu	Jacobo Hunter
Prugrisu distritu	Distretto di Progreso
Pueblo Libre distritu	Distretto di Pueblo Libre (Lima)
San Martín de Porres distritu	Distretto di San Martín de Porres
Chaqlakayu distritu	Distretto di Chaclacayo
Pataypampa distritu	Distretto di Pataypampa
Santa Anita distritu	Distretto di Santa Anita
Santa Rosa distritu	Distretto di Santa Rosa (Lima)
Chuntu	Piramide (geometria)
Llapa ruru kancha	Paradiso
Misk'i wiru	Saccharum officinarum
Upyana qiru	Quero (bicchiere)
Qalti	Sigesbeckia orientalis
Hump'i	Sudorazione
Wisk'acha	Viscaccia
Luritu kiti	Cantone di Loreto
Katiguriya:Makiyasiy	Categoria:Pallavolo
Katiguriya:Makiyasiy (Mama llaqta)	Categoria:Pallavolo per nazione
Katiguriya:Makiyasiq	Categoria:Pallavolisti
Anquma kantun	Ancoma
Anna Rita Del Piano	Anna Rita Del Piano
Baños kiti	Cantone di Baños
Buena Fe kiti	Cantone di Buena Fé
Carlos Julio Arosemena Tola kiti	Cantone di Carlos Julio Arosemena Tola
Ibarra kiti	Cantone di Ibarra
Jama kiti	Cantone di Jama
Mocha kiti	Cantone di Mocha
Mukachi kiti	Cantone di Mocache
Utawalu kiti	Cantone di Otavalo
Patate kiti	Cantone di Patate
Pelileo kiti	Cantone di Pelileo
Pillaru kiti	Cantone di Píllaro
Kiru kiti	Cantone di Quero
Sukuwa kiti	Cantone di Sucúa
Tisaleo kiti	Cantone di Tisaleo
Ventanas kiti	Cantone di Ventanas
Kayish	Cayesh
Ruriqucha rit'i urqu	Contrahierbas
Rawra walla	Cordillera Raura
Katiguriya:Buliwyapi runa llaqta	Categoria:Gruppi etnici in Bolivia
Chakakuq	Trave
Pillkumarka distritu	Distretto di Pillco Marca
Iru	Festuca orthophylla
Wiruti	Giavellotto
Ate k'iti	Distretto di Ate
Ridusiy	Riduzione (chimica)
Wallqan	Hualcán
José Cardona	José Cardona
Juan de Santa Cruz Pachakuti Yamki Sallqamaywa	Juan Santa Cruz Pachacuti
Sajama siq'ikuna	Linee di Sajama
Llamerada	Llamerada
Iñuku wisnu	Peso atomico
María Lupita García	María Guadalupe García Zavala
Melchor de Talamantes	Melchor de Talamantes
Pamparahu	Nevado Copa
Ulta	Nevado Ulta
Pukarahu	Nevado Santa Cruz
Panaka	Panaca
Kusuri	Phalacrocoracidae
Plantilla:Cita	Template:Citazione
Katiguriya:Alimanyayuq	Categoria:Tedeschi
Katiguriya:Hukllachasqa Amirika Suyukunayuq	Categoria:Statunitensi
Katiguriya:Ransiyayuq	Categoria:Francesi
Plantilla:QhapaqChunkana	Template:Diagramma scacchi
Katiguriya:Simi kapchiy (Alimanya)	Categoria:Letteratura in lingua tedesca
Katiguriya:Italyayuq	Categoria:Italiani
Katiguriya:Mayu (Iwrupa)	Categoria:Fiumi dell'Europa
Katiguriya:Taripay amachaq (Hukllachasqa Amirika Suyukuna)	Categoria:Avvocati statunitensi
Katiguriya:Urqu (Iwrupa)	Categoria:Montagne dell'Europa
Katiguriya:Piluta hayt'aq (Alimanya)	Categoria:Calciatori tedeschi
Katiguriya:Llimphiq (Alimanya)	Categoria:Pittori tedeschi
Pukahirka	Pucajirca
Pukaranra	Pucaranra
Kitarahu	Quitaraju
Santa Magdalina	Santa Magdalena
Sharanawa	Shanenawa
Atakami kiti	Cantone di Atacames
Muysni kiti	Cantone di Muisne
Urus urqu	Urus
Wallunarahu	Vallunaraju
Katiguriya:Mama llaqta	Categoria:Nazioni
Katiguriya:Musiku	Categoria:Economia
Wikipidiya:Kamachiq	Wikipedia:Amministratori
Katiguriya:Chilipi runa llaqta	Categoria:Gruppi etnici in Cile
Katiguriya:Ikwadurpi runa llaqta	Categoria:Gruppi etnici in Ecuador
Katiguriya:Runa llaqta	Categoria:Gruppi etnici
Katiguriya:Pruphisyun	Categoria:Professioni
Katiguriya:Riqsisqa runa	Categoria:Persone per attività
Katiguriya:Piruwpi runa llaqta	Categoria:Gruppi etnici in Perù
Katiguriya:Butanika	Categoria:Botanica
Katiguriya:Kurku yachay	Categoria:Anatomia
Katiguriya:Hampi yachay	Categoria:Medicina
Katiguriya:Kawpay	Categoria:Politica
Katiguriya:Yachachiy	Categoria:Educazione
Katiguriya:Kapchiy	Categoria:Arte
Panathinaikos FC	Podosfairiki Anonymi Etaireia Panathinaïkos Athlitikos Omilos
Ihiptu	Egitto
Hatun chimpansi	Pan troglodytes
Katiguriya:2013	Categoria:Eventi del 2013
Katiguriya:Pulitiku (Unriya)	Categoria:Politici ungheresi
Plantilla:Bot	Template:Bot
Pinocchio (kuyuchisqa siq'isqa)	Pinocchio (film 1940)
Kanatá	Canada
Katiguriya:Unriya	Categoria:Ungheria
Katiguriya:Bilhika	Categoria:Belgio
Katiguriya:Chiksuyu	Categoria:Repubblica Ceca
Katiguriya:Dansuyu	Categoria:Danimarca
Katiguriya:Istunya	Categoria:Estonia
Katiguriya:Phinsuyu	Categoria:Finlandia
Katiguriya:Grisya	Categoria:Grecia
Katiguriya:Litunya	Categoria:Lettonia
Katiguriya:Islandya	Categoria:Islanda
Katiguriya:Luksimbur	Categoria:Lussemburgo
Katiguriya:Lituwa	Categoria:Lituania
Katiguriya:Malta	Categoria:Malta
Katiguriya:Suysya	Categoria:Svezia
Katiguriya:Isluwakya	Categoria:Slovacchia
Wikipedia:Ruraqpa hayñin	Wikipedia:Copyright
Katiguriya:Wikipidiya:Kusa qillqa	Categoria:Voci in vetrina
Wikipidiya:Wikipidiyamanta	Wikipedia:Sala stampa/Wikipedia
Katiguriya:Chaqllisinchi yachaq	Categoria:Chimici
Christofer Gonzales	Christofer Gonzáles
Pedro Moncayo kiti	Cantone di Pedro Moncayo
Punku p'anqa: Yachay	Portale:Scienza e tecnica
Katiguriya:Mama llaqta (Iwrupa)	Categoria:Stati dell'Europa
Katiguriya:Iwrupa	Categoria:Europa
Chhulla	Brina
Plantilla:Plantillata llamk'achiy	Template:Man
