Āfrika	Africa
Ekspozīcija (fotogrāfija)	Esposizione (fotografia)
Džeimss Van Allens	James Van Allen
Adrians Nestase	Adrian Năstase
Antajs	Anteo
Edijs van Halens	Eddie van Halen
Geštalts	Psicologia della Gestalt
Wings	Ali (film 1927)
Liptovski Mikulāša	Liptovský Mikuláš
HD 209458 b	HD 209458 b
Ænima	Ænima
WPA	Wi-Fi Protected Access
Henriks Veņavskis	Henryk Wieniawski
Severiano Baljesteross	Severiano Ballesteros
Mērija Hofmane	Mary Hoffman
Managvas ezers	Lago di Managua
Džons Peršings	John Pershing
Scifozoji	Scyphozoa
Atabaskas ezers	Athabasca (lago)
Missouri (līnijkuģis)	USS Missouri (BB-63)
Maya (programmatūra)	Autodesk Maya
Rietumu frontē bez pārmaiņām (filma)	All'ovest niente di nuovo
Malholanda ceļš (filma)	Mulholland Drive (film)
Fatboy Slim	Fatboy Slim
Čankiri ils	Provincia di Çankırı
Deivids Milibends	David Miliband
Čataldžas rajons	Çatalca
Instrukciju kopa	Instruction set
Gaisa telpa	Spazio aereo
Lapasas departaments	Dipartimento di La Paz (Bolivia)
Kadzuo Išiguro	Kazuo Ishiguro
Domkrats	Cric
Ežēns Violē le Diks	Eugène Viollet-le-Duc
Kāpas lapsa	Vulpes chama
Džo Dasēns	Joe Dassin
Čorumas ils	Provincia di Çorum
Bonija Hānta	Bonnie Hunt
Proteīns GFP	Green fluorescent protein
Simonīds	Simonide
Žans Lanns	Jean Lannes
R. Kelly	R. Kelly
Lielā izstāde	Grande esposizione delle opere dell'industria di tutte le Nazioni di Londra (1851)
Hilberta problēmas	Problemi di Hilbert
Kapsaicīns	Capsaicina
Kubomedūzas	Cubozoa
Denaturācija	Denaturazione delle proteine
Kantora putekļi	Insieme di Cantor
SPARC	SPARC
Baktēriju konjugācija	Coniugazione batterica
Kārlsbādes alu nacionālais parks	Parco nazionale delle Carlsbad Caverns
Uzbrūkošais aizsargs	Guardia tiratrice
Džo Lūiss	Joe Louis
Hakīms Oladžuvons	Hakeem Olajuwon
Atitlans (ezers)	Lago Atitlán
Roalds Hofmans	Roald Hoffmann
Kamaniņu braukšana	Slittino
Antonio Meuči	Antonio Meucci
Hari Holkeri	Harri Holkeri
Pasaules čempionāts ūdens sporta veidos	Campionati mondiali di nuoto
Albens Bārklijs	Alben W. Barkley
Kņazs	Knjaz
Padomju saimniecība	Sovchoz
Kitaro	Kitarō
Seneka Vecākais	Lucio Anneo Seneca il Vecchio
Pēcteči	Paradiso amaro
Džordans Hendersons	Jordan Henderson
Lugo @@@u0026Breogán"	Club Baloncesto Breogán
Jāps de Hops Shefers	Jaap de Hoop Scheffer
Moriss Garēns	Maurice Garin
Marko Pantāni	Marco Pantani
Bepu	Beppu
Dienvidāfrikas Republikas prezidenti	Presidenti del Sudafrica
Kirstija Koventrija	Kirsty Coventry
Dionīsijs Mazais	Dionigi il Piccolo
Evergleidas nacionālais parks	Parco nazionale delle Everglades
Dolmabahčes pils	Palazzo Dolmabahçe
883 (grupa)	883 (gruppo musicale)
Eduārs Erio	Édouard Herriot
Paraselu salas	Isole Paracel
Maiznīca	Panificio
Velna beka	Boletus satanas
EC Vitória	Esporte Clube Vitória
Ražons Rondo	Rajon Rondo
Īrijas eiro monētas	Monete euro irlandesi
Somijas eiro monētas	Monete euro finlandesi
Aleksandrs Millerāns	Alexandre Millerand
Palm OS	Palm OS
Mārtins Kelijs	Martin Kelly
Kristofs Lemetrs	Christophe Lemaitre
Paģiras 2	Una notte da leoni 2
Turcijas Lielā nacionālā asambleja	Grande Assemblea Nazionale Turca
Hail to the Thief	Hail to the Thief
Vojevoda	Voivoda
Kapteinis Amerika: Pirmais atriebējs	Captain America - Il primo Vendicatore
Porcelāna tintene	Coprinus comatus
Zundu dūmakainais leopards	Neofelis diardi
Velsas Futbola asociācija	Federazione calcistica del Galles
Vitolds Gombrovičs	Witold Gombrowicz
Luols Dengs	Luol Deng
Banda	Banda (criminalità)
Skeletons 2010. gada Ziemas Olimpiskajās spēlēs	Skeleton ai XXI Giochi olimpici invernali
Selīna Gasparīne	Selina Gasparin
Music Box	Music Box (album)
Ķīmiskais barometrs	Storm glass
Sems Reimi	Sam Raimi
Merzeburgas Tītmārs	Tietmaro di Merseburgo
Hayabusa	Sonda Hayabusa
Kārmāna līnija	Linea di Kármán
Vidējais dzenis	Dendrocopos medius
Piņčova	Pińczów (città)
Lietuvas futbola čempionāta A līga	A Lyga
Čadas futbola izlase	Nazionale di calcio del Ciad
Džibutijas futbola izlase	Nazionale di calcio di Gibuti
Ford Mondeo	Ford Mondeo
Vatikāna eiro monētas	Monete euro vaticane
Jaroslavļas @@@u0026Lokomotiv"	Lokomotiv Jaroslavl'
Hot Space	Hot Space
Flash Gordon	Flash Gordon (album)
Sports Illustrated	Sports Illustrated
2013. gada Bērnu Eirovīzijas dziesmu konkurss	Junior Eurovision Song Contest 2013
Andrijs Danilko	Vjerka Serdjučka
Marks Gazols	Marc Gasol
Luīze Dresere	Louise Dresser
Gliese 581 e	Gliese 581 e
Vilsona teorēma	Teorema di Wilson
2010.—2011. gada Itālijas futbola čempionāta A sērijas sezona	Serie A 2010-2011
Ložņu vārpata	Elytrigia repens
Džo Mantenja	Joe Mantegna
Harels Skaats	Harel Skaat
Dankans Edvardss	Duncan Edwards
Nove Zāmki	Nové Zámky
Gliemeņvēži	Ostracoda
Betmens un Robins	Batman & Robin
Roberts Bērds	Robert Byrd
Pols Rads	Paul Rudd
2008. gada Āfrikas Nāciju kauss	Coppa delle Nazioni Africane 2008
Lenka	Lenka (cantante)
Meklētāji	Sentieri selvaggi
Varka (pilsēta)	Warka (comune urbano)
Leņdzini	Lędziny
Hajnuvka	Hajnówka
Knurova	Knurów
Oļena Pidhrušna	Olena Pidhrušna
FIN	FIN
Bali jūra	Mar di Bali
Neiespējamais	The Impossible
Konvencija par jebkuras sieviešu diskriminācijas izskaušanu	Convenzione sull'eliminazione di ogni forma di discriminazione della donna
Torihosa—Kārtera līgumi	Trattati Torrijos-Carter
Svens Fišers	Sven Fischer
Labākie kostīmi (Amerikas Kinoakadēmijas balva)	Oscar ai migliori costumi
Dubultsāls	Sale doppio
Labākais mākslinieka darbs (Amerikas Kinoakadēmijas balva)	Oscar alla migliore scenografia
Predrags Stojakovičs	Predrag Stojaković
Uherske Hradištes apriņķis	Distretto di Uherské Hradiště
Vigvams	Wigwam
Pelnu gaisma	Luce cinerea
Tetrahidrofurāns	Tetraidrofurano
Tabula	Tabella (database)
Atsauces tags	Hashtag
Alkoksīds	Alcossido
Džudo 2008. gada Vasaras Olimpiskajās spēlēs — Vīrieši, līdz 81 kg	Judo ai Giochi della XXIX Olimpiade - 81 kg maschile
1985. gada Tour de France	Tour de France 1985
Navahrudaka	Navahrudak
Ānunds no Gardarīkas	Anund III il Russo
Pjotrs Svidlers	Pëtr Veniaminovič Svidler
2001. gada Eiropas čempionāts basketbolā sievietēm	Campionato europeo femminile di pallacanestro 2001
Česki Tešīna	Český Těšín
Alpha Centauri	Alfa Centauri (disambigua)
Lielās debates	Grande Dibattito
Āzijas gepards	Acinonyx jubatus venaticus
Toronto @@@u0026Marlies"	Toronto Marlies
Lielā zivs	Big Fish - Le storie di una vita incredibile
Lielvārdes novads	Lielvārde
Dobšina	Dobšiná
Davida	David (Panamá)
Eiropas komercsabiedrība	Società europea
Sēra heksafluorīds	Esafluoruro di zolfo
1980. gada Tour de France	Tour de France 1980
Fiat 3000	Fiat 3000
Viļņas gaons	Gaon di Vilna
Portal 2	Portal 2
11 metru soda sitiens	Calcio di rigore
Viļņas guberņa	Governatorato di Vilna
A1GP	A1 Grand Prix
Half-Life	Half-Life
Uvis Helmanis	Uvis Helmanis
SMOS	SMOS
Valbžihas apriņķis	Distretto di Wałbrzych
Džīna Deivisa	Geena Davis
Maltas bruņotie spēki	Forze armate maltesi
A4	A4
Ferdinands II	Ferdinando II
2012. gada Vuelta a España	Vuelta a España 2012
Košice II	Distretto di Košice II
Iļja Muromietis (lidmašīna)	Sikorsky Ilya Muromets
Bādtelca	Bad Tölz
Āzijas čempionāts basketbolā sievietēm	Campionati asiatici femminili di pallacanestro
Kaļmiusa	Kalmius
Džordžs VI Vindzors	Giorgio VI del Regno Unito
Degu	Octodon degus
Jevgeņijs Miļevskis	Jevgeņijs Miļevskis
Latvija 1998. gada Ziemas Olimpiskajās spēlēs	Lettonia ai XVIII Giochi olimpici invernali
1949.—1950. gada NBA sezona	National Basketball Association 1949-1950
Parastās vāveres	Sciurus
Osmanijes ils	Provincia di Osmaniye
Žils Bjanki	Jules Bianchi
Skots Stīvenss	Scott Stevens
Heal the World	Heal the World
Ērģeles	Organo (strumento musicale)
Betmens (nozīmju atdalīšana)	Batman (disambigua)
Džeimss Magnusens	James Magnussen
Prūsijas Konfederācija	Confederazione Prussiana
Baltās zosis	Chen (zoologia)
Boriss Morukovs	Boris Vladimirovič Morukov
Fāzela līcis	Baia di Vahsel
Whatcha Think About That	Whatcha Think About That
Labākā montāža (Amerikas Kinoakadēmijas balva)	Oscar al miglior montaggio
TRI	TRI
Baronets	Baronetto
Seča	Seč (Chrudim)
Welcome to My Life	Welcome to My Life
Šilutes rajona pašvaldība	Comune distrettuale di Šilutė
43 (skaitlis)	43 (numero)
Edijs Šors	Eddie Shore
Trīs brāļi	Tre Fratelli (Riga)
Jedvabne	Jedwabne
Pirokatehīns	Pirocatecolo
1986. gada Pasaules čempionāts basketbolā	Campionato mondiale maschile di pallacanestro 1986
Nove Mesto pie Vāhas apriņķis	Distretto di Nové Mesto nad Váhom
Trents Reznors	Trent Reznor
Buska	Busk
Ancilus ezers	Lago Ancylus
Estebans Granero	Esteban Granero
Patriks Eliāšs	Patrik Eliáš
Josefs Dobrovskis	Josef Dobrovský
Miroslavs Konstadinovs	Miroslav Kostadinov
Nikolajs I Petrovičs	Nicola I del Montenegro
Raka	Al-Raqqa
Lielais grizons	Galictis vittata
Īstie sprogkāji	Thoracica
Sergejs Volkovs	Sergej Volkov
Gausbergs	Monte Gauss
Pavēlnieks	The Master (film 2012)
Tīna Bahmane	Tina Bachmann
Dilatācijas kardiomiopātija	Cardiomiopatia dilatativa
Ifconfig	Ifconfig
Mayday	Mayday
Hokejs 1998. gada Ziemas Olimpiskajās spēlēs	Hockey su ghiaccio ai XVIII Giochi olimpici invernali
Lubartova	Lubartów
Jeļena Dokiča	Jelena Dokić
Tiešā runa	Discorso diretto
Čelsija Memmele	Chellsie Memmel
Tupac: Resurrection	Tupac Resurrection OST
2022. gada FIFA Pasaules kauss	Campionato mondiale di calcio 2022
FK Jelgava	Futbola Klubs Jelgava
Kristalizācija	Cristallizzazione
Nihats Kahvedži	Nihat Kahveci
Kāithanes rajons	Kağithane
Klodzko	Kłodzko
IP kods	International Protection
Kokarde	Coccarda
Kristīna Orbakaite	Kristina Orbakajte
Paradoksālā varde	Pseudis paradoxa
Imelda Markosa	Imelda Marcos
Dig	Domain Information Groper
Denims	Denim (disambigua)
Fortune 1000	Fortune 1000
Indijas dižsikspārnis	Pteropus giganteus
Lietuvas zemnieku tautinieku savienība	Unione dei Contadini e dei Verdi di Lituania
Luiss Mailstouns	Lewis Milestone
Jūrascūciņas	Cavia
Aļona Lanska	Alyona Lanskaya
Alfreds Besters	Alfred Bester
Alehandro Valverde	Alejandro Valverde
Emīls Pikārs	Émile Picard
Elektrēni	Elektrėnai
Santantioko	Sant'Antioco (Italia)
Čeiss Badingers	Chase Budinger
Kontras	Contras
ABC	ABC
Ekscesa koeficients	Curtosi
Brīnums uz ledus	Miracolo sul ghiaccio
Platastes lori	Lorius
Searching for Sugar Man	Searching for Sugar Man
Zemgaļi	Semigalli
2009. gada NBA drafts	Draft NBA 2009
Rojstons Drente	Royston Drenthe
Ēriks Emanuēls Šmits	Éric-Emmanuel Schmitt
Krievu—turku karš (1828—1829)	Guerra russo-turca (1828-1829)
GP Ouest-France	Grand Prix de Ouest-France
El Sueño de Morfeo	El Sueño de Morfeo
CM	CM
Silent Hill: Downpour	Silent Hill: Downpour
Šons Vaits	Shaun White
Juka Nevalainens	Jukka Nevalainen
Akonītskābe	Acido aconitico
Agnosticisms	Agnosticismo
Maržori Eštianu	Marjorie Estiano
Braiens Līčs	Brian Leetch
Ceļš uz nekurieni	Strade perdute
Mirdzizlādes zīmju indikators	Nixie
Kriss Mulins	Chris Mullin
Georgs Henriks Breitners	George Hendrik Breitner
Ķīvīšu apakšdzimta	Vanellinae
Bani	Bani (fiume)
Zviedrijas karaliskā ģimene	Famiglia reale svedese
Sade	Sade
Petrogrāfija	Petrografia
ACeS	ACeS
Griezes	Crex
Jēkabs (patriarhs)	Giacobbe
Burkinafaso valsts vadītāji	Presidenti del Burkina Faso
54 (skaitlis)	54 (numero)
Septītā gada drudzis	Quando la moglie è in vacanza
Ļaundaris	Cattivo
Basketbola slavas zāle	Naismith Memorial Basketball Hall of Fame
Associação Desportiva São Caetano	Associação Desportiva São Caetano
No Line on the Horizon	No Line on the Horizon
Aleksandrs Jegorovs	Aleksandr Il'ič Egorov
Alūksne	Alūksne
MER	MER
Ordžonikidze	Ordžonikidze (disambigua)
Kino (nozīmju atdalīšana)	Kino
Penguin (raķete)	Kongsberg Penguin
Mutter	Mutter
Posesiona	Île de la Possession
Kompass (nozīmju atdalīšana)	Compass
Hāga (nozīmju atdalīšana)	Haag (disambigua)
Ass	ASS
Rubiks	Rubik
UIVR	AIDA (marketing)
Ods (dievs)	Óðr
Simss	Sims
Marija Stepanova	Marija Stepanova
Minna Kaupi	Minna Kauppi
MRT	MRT
Mihails Psells	Michele Psello
Emīlija Plātere	Emilia Plater
Dirks Kijts	Dirk Kuijt
Džeimss Konolijs	James Connolly (atleta)
Aleksejs Rikovs	Aleksej Ivanovič Rykov
Rinats Dasajevs	Rinat Dasaev
Žans Fransuā de Laperūzs	Jean-François de La Pérouse
Cīņas klubs	Fight Club
France	France
IND	IND
Egera (nozīmju atdalīšana)	Eger
Laibach	Laibach
Vjatka	Vjatka
Modena (nozīmju atdalīšana)	Modena (disambigua)
WF	WF
Django	Django (disambigua)
Kristofers Stīvenss	Christopher Stevens (diplomatico)
Henriks Gureckis	Henryk Górecki
Žordi Kruifs	Jordi Cruijff
AM	AM
Klifords Saimaks	Clifford Simak
Mārtins Lendo	Martin Landau
Aleksandrs Popovs (peldētājs)	Aleksandr Popov (nuotatore)
Senna	Senna (disambigua)
Andrejs Kiriļenko	Andrej Kirilenko
Žanna d’Arka (nozīmju atdalīšana)	Giovanna d'Arco (disambigua)
Auls Gellijs	Aulo Gellio
Metjū Morisons	Matthew Morrison
Huans Monako	Juan Mónaco
Peters	Peters
Miranda Oto	Miranda Otto
Tonijs Hauks	Tony Hawk
WAN	WAN
Terijs Fokss	Terry Fox
Leons Gambeta	Léon Gambetta
Primorska	Primorsk
Ārons Nimcovičs	Aaron Nimzowitsch
Rosens Plevnelijevs	Rosen Plevneliev
Šāndors Kočišs	Sándor Kocsis
Meta Vorlds Pīss	Metta World Peace
Lenokss Lūiss	Lennox Lewis
Klaids Drekslers	Clyde Drexler
Jaromīrs Jāgrs	Jaromír Jágr
Bens Volless	Ben Wallace
Džons Higinss	John Higgins (giocatore di biliardo)
Džordžs Mūrs	George Edward Moore
Marsels Moss	Marcel Mauss
Karols Šimanovskis	Karol Szymanowski
Rodžers Zelaznijs	Roger Zelazny
Gaiska Mendjeta	Gaizka Mendieta
Luiss Havjērs Garsija Sanss	Luis Javier García Sanz
Mihails Barišņikovs	Michail Baryšnikov
Menings	Manning
Frenks Darabons	Frank Darabont
Henrijs Kevils	Henry Cavill
Derens Kriss	Darren Criss
Taišons Prinss	Tayshaun Prince
Kamills Flammarions	Camille Flammarion
Eduards Ļimonovs	Eduard Limonov
Žerārs Uljē	Gérard Houllier
Edvards Ridzs-Smiglijs	Edward Rydz-Śmigły
ANGKASA	Agenzia spaziale nazionale malese
Levins	Levin
Lāslo Kubala	László Kubala
Makartnijs	McCartney
Sezars Sielu	César Cielo Filho
Toms Hidlstons	Tom Hiddleston
Nikolass Masū	Nicolás Massú
Ernests Gulbis (tenisists)	Ernests Gulbis
Toms Hūpers	Tom Hooper
Džordžs Herberts Mīds	George Herbert Mead
Aleksandrs Vinokurovs	Aleksandr Vinokurov
Smilšu lapsa	Vulpes rueppellii
Sems Heriss	Sam Harris
Klements Gotvalds	Klement Gottwald
Gastons Dumergs	Gaston Doumergue
Felikss Fors	Félix Faure
Žils Grevī	Jules Grévy
Karls Šukers	Karl Shuker
Casey	Casey
Bredberijs	Bradbury
Zāra	Saar
Abe	ABE
Igors Andrejevs	Igor' Andreev
Džetro Vilemss	Jetro Willems
Carey	Carey
Rode	Rode
Futbols (nozīmju atdalīšana)	Football
Tupaks Amaru	Túpac Amaru
Leanders Paess	Leander Paes
Moriss Grīns	Maurice Greene (atleta)
Belgrano	Belgrano
Katrīna	Katrina
Lamars Odoms	Lamar Odom
Korijs Montīts	Cory Monteith
Orleānas hercogs Filips I	Filippo I di Borbone-Orléans
All That You Can't Leave Behind	All That You Can't Leave Behind
Rasels Brends	Russell Brand
MSK	MSK
Ralfs Lorēns	Ralph Lauren
Armāns Faljērs	Armand Fallières
Enrike Penja Njeto	Enrique Peña Nieto
Marks Hermons	Mark Harmon
Vinnijs Džonss	Vinnie Jones
MIPS	MIPS
Antans Smetona	Antanas Smetona
Rolands Pakss	Rolandas Paksas
Hop	HOP
Serhijs Rebrovs	Serhij Rebrov
Demetriuss Vikelass	Dīmītrios Vikelas
Briāns Žubērs	Brian Joubert
Simeons Lepnais	Simeone di Russia
Mikalojus Konstantins Čurļonis	Mikalojus Konstantinas Čiurlionis
Džo Dimadžio	Joe DiMaggio
Taisons Čāndlers	Tyson Chandler
Valdemārs I Lielais	Valdemaro I di Danimarca
Vaclavs Serpiņskis	Wacław Sierpiński
Kerijs Kings	Kerry King
Kevins Lavs	Kevin Love
Deivids Moizs	David Moyes
Ričards Hamonds	Richard Hammond
Hanss Blikss	Hans Blix
Jurijs Daņilovičs	Jurij di Mosca
Ante Gotovina	Ante Gotovina
Ibo	IBO
2011. gada Vācijas Grand Prix	Gran Premio di Germania 2011
Alēns Bernārs	Alain Bernard
Dītrihs	Dietrich
Enantskābe	Acido eptanoico
Örebro HK	Örebro Hockeyklubb
Ambruāzs Tomā	Ambroise Thomas
Ipolits Tēns	Hippolyte Taine
Arvīds Sabonis	Arvydas Sabonis
Vitorio Emanuele Orlando	Vittorio Emanuele Orlando
Rīgas ASK	Basketbola klubs ASK Rīga
Husepe de Ribera	Jusepe de Ribera
Lesja Ukrainka	Lesja Ukrainka
Kārlis Ulmanis	Kārlis Ulmanis
Gajs Cēzars	Gaio Cesare
Samuels Sančess	Samuel Sánchez
Varna (nozīmju atdalīšana)	Varna
Bara Refaeli	Bar Refaeli
Kleons	Cleone
Atakama	Atacama
Džons Veins Geisijs	John Wayne Gacy
Milorads Čavičs	Milorad Čavić
Mihails Čigorins	Michail Ivanovič Čigorin
Džejs Spīrings	Jay Spearing
Lindsejs Andersons	Lindsay Anderson
Džefrijs Dāmers	Jeffrey Dahmer
Līvs Šreibers	Liev Schreiber
Bredlijs Menings	Bradley Manning
Pasaules čempionāts	Coppa del Mondo
Derons Viljamss	Deron Williams
Jesaja Tomass	Isiah Thomas
LCD	LCD (disambigua)
Čonsijs Billapss	Chauncey Billups
Džonijs Logans	Johnny Logan
AZE	AZE
BIH	BIH
GBA	GBA (disambigua)
Pjērs Žansēns	Jules Janssen
DTM	DTM
Būri	Buri
Valdess	Valdez
Yellow	Yellow
GEM	GEM
Sola (nozīmju atdalīšana)	Sola
Ahmadu Ahidžo	Ahmadou Ahidjo
Pīters van den Hogenbands	Pieter van den Hoogenband
Džons Zorns	John Zorn
Gajs Lucīlijs	Gaio Lucilio
Klaivs Bārkers	Clive Barker
Žaks Makdonalds	Étienne Jacques Joseph Alexandre Macdonald
Svētais Florians	Floriano di Lorch
Alkmāns	Alcmane
Paolo Betīni	Paolo Bettini
Maikls Brauns	Michael E. Brown
Vauters Veilands	Wouter Weylandt
WV	WV
Hidajets Turkoglu	Hidayet Türkoğlu
Levi Mortons	Levi P. Morton
Tomass Māršals	Thomas R. Marshall
Atm	ATM
Vitālijs Ščerbo	Vital' Ščėrba
Konstantīns Petss	Konstantin Päts
Kid Cudi	Kid Cudi
Meinlenda	Mainland
Alfonso II (Aragona)	Alfonso II d'Aragona
Džošua Abrahams Nortons	Joshua A. Norton
Šabtajs Cvi	Sabbatai Zevi
Evans Lisačeks	Evan Lysacek
Breds Džonss	Brad Jones
Jūiči Nišimura	Yūichi Nishimura
Toms Berendžers	Tom Berenger
Brendons Rūts	Brandon Routh
Alberts Montaņess	Albert Montañés
Šarls Itandže	Charles Itandje
AVI	AVI
Nūrs Mohammads Tarakī	Nur Mohammad Taraki
Emilija Vudrafa	Emily Woodruff
Halls	Hals
Raimunds IV	Raimondo IV di Tolosa
Maikls Adamss	Michael Adams (scacchista)
Frančesko Bartolomeo Rastrelli	Bartolomeo Rastrelli
Hovards Eikens	Howard Hathaway Aiken
Otniēls Čārlzs Māršs	Othniel Charles Marsh
ATP World Tour Masters 1000	ATP World Tour Masters 1000
A Broken Frame	A Broken Frame
A Day to Remember	A Day to Remember
A Girl Like Me	A Girl Like Me (Rihanna)
A Kind of Magic	A Kind of Magic
A Northern Soul	A Northern Soul
A Perfect Circle	A Perfect Circle
Serbijas filma	A Serbian Film
A Storm in Heaven	A Storm in Heaven
Olborgas @@@u0026Pirates"	AaB Ishockey
Foobar2000	Foobar2000
AirBaltic	AirBaltic
PH indikators	Indicatore (chimica)
DBase	DBase
You Rock My World	You Rock My World
Parastais vampīrsikspārnis	Desmodus rotundus
Āltonens	Aaltonen
Upes nēģis	Lampetra fluviatilis
Kasasa de Garsimolina	Casas de Garcimolina
Trebišovas apriņķis	Distretto di Trebišov
2007. gada Eiropas čempionāts vieglatlētikā telpās	Campionati europei di atletica leggera indoor 2007
PowerPlay Manager	PowerPlay Manager
Austrijas hokeja līga	Österreichische Eishockey-Liga
Ārons Brukss	Aaron Brooks
IAAF Dimanta līga	IAAF Diamond League
Austrijas hokeja izlase	Nazionale di hockey su ghiaccio maschile dell'Austria
Jūras transgresija	Trasgressione marina
Austrijas eiro monētas	Monete euro austriache
Es zinu, ko jūs izdarījāt pagājušajā vasarā	So cosa hai fatto
Mandolīna	Mandolino
Ārons Pīrsols	Aaron Peirsol
Ārons Rodžerss	Aaron Rodgers
2006. gada Pasaules čempionāts biatlonā	Campionati mondiali di biathlon 2006
Košalinas apriņķis	Distretto di Koszalin
Amerikāņu pīrāgs: Salidojums	American Pie: Ancora insieme
Nelsons Evora	Nelson Évora
Galisijas karaliste	Regno di Galizia
Slaktiņš Mauntinmedovā	Massacro di Mountain Meadows
Aivars Gipslis	Aivars Gipslis
Kravarže	Kravaře (Moravia-Slesia)
Nātrija kālija tartrāts	Tartrato di sodio e potassio
Lerdāles tunelis	Tunnel di Lærdal
Hidromorfons	Idromorfone
Sarkanais apelsīns	Arancia Rossa di Sicilia
Tina Kandelaki	Tina Kandelaki
Elektriskā lādiņa nezūdamības likums	Legge di conservazione della carica elettrica
2008. gada ASV atklātais čempionāts tenisā — Vīriešu vienspēles	US Open 2008 - Singolare maschile
Leonīds Šteins	Leonid Štejn
Odrija Totū	Audrey Tautou
Blūza skaņkārta	Scala blues
FK Liepājas Metalurgs	Futbola klubs Liepājas Metalurgs
Pilnas pārvērtības kukaiņi	Oligoneoptera
Pelēkā savvaļas vista	Gallus sonneratii
1991. gada NHL drafts	NHL Entry Draft 1991
Prosna	Prosna
Rēcošie četrdesmitie	Quaranta ruggenti
Millers	Miller
Abajas ezers	Lago Margherita
Jana Kaska	Jana Kask
Gēza Maroci	Géza Maróczy
Gņeva	Gniew
Timbaland diskogrāfija	Discografia di Timbaland
Radioizotopiskais termoelektroģenerators	Generatore termoelettrico a radioisotopi
Ledus laikmets (filma)	L'era glaciale
Tiofēns	Tiofene
Abandons	Abbandono (diritto)
1939. gada Eiropas čempionāts basketbolā	Campionato europeo maschile di pallacanestro 1939
Alanīnaminotransferāze	Alanina transaminasi
Kalambols	Quidditch
Abava	Abava
2011. gada Japānas Grand Prix	Gran Premio del Giappone 2011
Rel-nofollow	Nofollow
Benzpirēns	Benzo(a)pirene
Nginx	Nginx
Abes ezers	Lago Abbe
Džons O'Šī	John O'Shea (calciatore 1981)
Raundas salas scinks	Leiolopisma telfairii
Džeimss Franko	James Franco
HCalendar	HCalendar
Brūss Bouens	Bruce Bowen
Hipersfēra	Ipersfera
Ebotsfordas @@@u0026Heat"	Abbotsford Heat
Bēta sabrukšana	Decadimento beta
2011. gada Lielbritānijas Grand Prix	Gran Premio di Gran Bretagna 2011
2011. gada Indijas Grand Prix	Gran Premio d'India 2011
Marts Lārs	Mart Laar
C6H6	C6H6
ASV Nacionālo parku dienests	National Park Service
Pēcgrūdiens	Legge di Omori
Atvilkšana (anatomija)	Abduzione (fisiologia)
France Football	France Football
Izoelektriskais punkts	Punto isoelettrico
Džeimss Gandolfīni	James Gandolfini
Mirāža	Miraggio
Latvijas futbola Virslīga	Virslīga
Achtung Baby	Achtung Baby
Žans Klods van Damme	Jean-Claude Van Damme
Gliemezis	Chiocciola
Māzenderāna	Mazandaran
Vieglais uzbrucējs	Ala piccola
We Are the World	We Are the World
Prezidentūra Eiropas Savienības Padomē	Presidenza del Consiglio dell'Unione europea
Buržuāzijas diskrētais šarms	Il fascino discreto della borghesia
Malaysia Airlines	Malaysia Airlines
Sanfrancisko @@@u0026Giants"	San Francisco Giants
Enkaustika	Encausto
Izgulējums	Lesione da pressione
Gviānas kosmiskais centrs	Centre spatial guyanais
NeXT	NeXT
Portugāles Futbola federācija	Federazione calcistica del Portogallo
Polijas Futbola asociācija	Federazione calcistica della Polonia
Elektrovadītspēja	Conduttanza elettrica
News of the World	News of the World (Queen)
Bārija sulfāts	Solfato di bario
Jūras slimība	Chinetosi
STS-135	STS-135
Spoguļneirons	Neuroni specchio
Alstom	Alstom
Proteasoma	Proteasoma
Dziedot lietū	Cantando sotto la pioggia
Mēslvaboļu dzimta	Geotrupidae
Lielais kanāls (Venēcija)	Canal Grande
Fiziskā sagatavotība	Fitness (sport)
Mauretānija	Mauretania
Kālija hlorāts	Clorato di potassio
Progress (kosmosa kuģu sērija)	Progress (veicolo spaziale)
Radeks Štepāneks	Radek Štěpánek
Anaboliskie steroīdi	Steroide anabolizzante
WebM	WebM
Clostridium perfringens	Clostridium perfringens
Clostridium tetani	Clostridium tetani
T tests	Test t
Nekrologs	Necrologio
Martins Frīmens	Martin Freeman
Džeremijs Lins	Jeremy Lin
Grenvils Stenlijs Hols	Stanley Hall
Vinčenco Skamoci	Vincenzo Scamozzi
Atēnu Atenagors	Atenagora di Atene
Bleiks Grifins	Blake Griffin
Nikolā Malbranšs	Nicolas Malebranche
Marats Izmailovs	Marat Izmajlov
Kens Vilbers	Ken Wilber
Ja Rule	Ja Rule
Jans Oorts	Jan Oort
Tele2	Tele2
Arianespace	Arianespace SA
Gērijs Peitons	Gary Payton
Djego Kavaljēri	Diego Cavalieri
Pīters Galahers	Peter Gallagher
Peters Sagans	Peter Sagan
Frenks Šleks	Fränk Schleck
Ivans Baso	Ivan Basso
Vilsons Kipketers	Wilson Kipketer
Ask.fm	Ask.fm
Žans Žirodū	Jean Giraudoux
Suņs Jans	Sun Yang
Tairons Pauers	Tyrone Power
Pols Dešanels	Paul Deschanel
Romans Šebrle	Roman Šebrle
Linfords Kristijs	Linford Christie
Čārlzs Džordžs Gordons	Charles George Gordon
Maksims Ļitvinovs	Maksim Maksimovič Litvinov
Džilberts Arenass	Gilbert Arenas
Ēriks Svētais	Erik IX di Svezia
Džordžs Balančins	George Balanchine
