আফ্রিকা	Africa
উইন্ডোজ ২০০০	Windows 2000
তিব্বতী বৌদ্ধধর্ম	Buddhismo tibetano
নাইকি	Nike (azienda)
সত্য সাই	Sathya Sai Baba
পেপ্যাল	PayPal
আজারবাইকান মারসি	Inno nazionale della Repubblica dell'Azerbaigian
মনুষ্যবিহীন আকাশযান	Aeromobile a pilotaggio remoto
মিস্টার বিন	Mr. Bean (serie televisiva)
উয়েফা সুপার কাপ	Supercoppa UEFA
অ্যামেলি	Il favoloso mondo di Amélie
আল্লামা ইকবাল	Muhammad Iqbal
চিলির জাতীয় সঙ্গীত	Inno Nazionale del Cile
ফিকহ	Fiqh
গুরু	Guru
নেতৃত্ব	Leadership
জেমস হেটফিল্ড	James Hetfield
ডেভিড ডুকভ্‌নি	David Duchovny
বামিয়ানের বুদ্ধমূর্তি	Buddha di Bamiyan
প্রোলিন	Prolina
সার্চ ফর এক্সট্রা টেরেস্ট্রিয়াল ইন্টেলিজেন্স	SETI
ইথান হক	Ethan Hawke
আন্তর্জাতিক সংস্থা	Organizzazione internazionale
ওয়েন্টওয়ার্থ মিলার	Wentworth Miller
লেওঁ	Léon (film)
আলবুর্‌জ	Elburz
এল ক্ল্যাসিকো	El Clásico
ভাষার দর্শন	Filosofia del linguaggio
টমাশ কুশতাক	Tomasz Kuszczak
অ্যান্ডারসন লুইজ দে অ্যাব্রু অলিভিয়েরা	Anderson Luís de Abreu Oliveira
ফিউশনের এনথালপি	Entalpia di fusione
ই-কমার্স	Commercio elettronico
প্রধান নির্বাহী কর্মকর্তা	Amministratore delegato
উইন্ডোজ এমই	Windows Me
নৈরাশ্যবাদ	Pessimismo
লুইস সাহা	Louis Saha
উইন্ডোজ ২.০	Windows 2.0
ফিফা ১০০	FIFA 100
মেইহেম	Mayhem
লাসানা দিয়ারা	Lassana Diarra
ক্যানিবাল করপস	Cannibal Corpse
জিলিয়ান অ্যান্ডারসন	Gillian Anderson
বিয়ার গ্রিলস	Bear Grylls
চার্লস ম্যানসন	Charles Manson
এনিগমা (মিউজিক্যাল প্রজেক্ট)	Enigma (gruppo musicale)
গোল্ডবাখ অনুমান	Congettura di Goldbach
আওরঙ্গজেব	Aurangzeb
রাণী মুখার্জী	Rani Mukherjee
হাঞ্জা	Hanja
পেট শপ বয়েজ	Pet Shop Boys
পেপে (ফুটবল খেলোয়াড়)	Képler Laveran Lima Ferreira
কুরাইশ বংশ	Quraysh
স্থান-নাম তত্ত্ব	Toponomastica
পোলাও	Pilaf
ফল আউট বয় (ব্যান্ড)	Fall Out Boy
সিম্পল প্ল্যান	Simple Plan
পিয়েরলুইজি কোলিনা	Pierluigi Collina
মারিলিয়্যান ম্যানসন	Marilyn Manson (gruppo musicale)
ইতামার ফ্রাঁকু	Itamar Augusto Cautiero Franco
স্পেনীয় সুপার কাপ	Supercopa de España
অ্যানেত্তে অলজোন	Anette Olzon
মসজিদে নববী	Moschea del Profeta
উলুগ বেগ	Uluğ Bek
বদর যুদ্ধ	Battaglia di Badr
সামানি সাম্রাজ্য	Samanidi
হুমায়ুন	Humayun
ইস্টম্যান কোডাক	Kodak
ইসলামোফোবিয়া	Islamofobia
শটগান	Fucile a canna liscia
সিম্ফোনিক মেটাল	Symphonic metal
কুইক সর্ট	Quicksort
সংসদ সদস্য	Parlamentare
বোবায় ধরা	Paralisi nel sonno
মাউন্টেইন ভিউ, ক্যালিফোর্নিয়া	Mountain View (Santa Clara)
মিশিও কাকু	Michio Kaku
খোয়ারিজমীয় সাম্রাজ্য	Impero corasmio
সোর্ডফিশ	Codice: Swordfish
অ্যানাসাইরমা	Anasyrma
কুং ফু পান্ডা ২	Kung Fu Panda 2
ক্রেডেল অব ফিলথ	Cradle of Filth
ইনোসেন্স অব মুসলিমস	Innocence of Muslims
টিইইউ	Unità equivalente a venti piedi
ফেথুল্লাহ গিউলেন	Fethullah Gülen
উহুদের যুদ্ধ	Battaglia di Uhud
অ্যানাটমি (চলচ্চিত্র)	Anatomy (film)
অদ্যার	Adyar
সফর	Safar
অ্যাপাচি সফটওয়্যার ফাউন্ডেশন	Apache Software Foundation
প্রাচীন বিশ্বের সপ্তাশ্চর্য	Sette meraviglie del mondo
ইনএক্সেস	INXS
হেইলি জোল অজমেন্ট	Haley Joel Osment
ব্লুমিংটন, ইন্ডিয়ানা	Bloomington (Indiana)
৩ এসটিআর	3 STR
আফজালপুর	Afzalpur
আবু সড়ক	Abu Road
আদিত্যপাতনা	Adityapatna
আদমপুর (পাঞ্জাব)	Adampur
আজরাইল	Azrael
আবোহার	Abohar
গঙ্গানগর	Ganganagar
অচলপুর	Achalpur
আদূর	Adoor
ম্যাগনাম ওপাস	Magnum opus
সিঙাড়া	Samosa
ইবনে তাইমিয়া	Ibn Taymiyya
মাতিয়ো কাসোভিস	Mathieu Kassovitz
তাশখন্দ মেট্রো	Metropolitana di Tashkent
স্টারশিপ ট্রুপার্স	Fanteria dello spazio
মাতুরিদি	Maturidismo
সরবরাহ ব্যবস্থাপনা	Gestione della catena di distribuzione
ফোর্বসের বিলিয়নিয়ারের তালিকা	Uomini più ricchi del mondo secondo Forbes
মৌ	Mau (Uttar Pradesh)
বিলাল ইবনে রাবাহ	Bilal
হিযবুত তাহরীর	Hizb al-Tahrir
লেফট্যানেন্ট কর্ণেল	Tenente colonnello
কাজান মেট্রো	Metropolitana di Kazan'
আদিলাবাদ	Adilabad
কোড়া	Gallicrex cinerea
ইয়াং আর্টিস্ট অ্যাওয়ার্ড	Young Artist Awards
প্রথম সেলিম	Selim I
ভার্জিন গ্রুপ	Virgin Group
চাঁদে অবতরণ	Allunaggio
গুয়াংজু সাবওয়ে	Metropolitana di Gwangju
টি-৩৭	Cessna T-37 Tweet
বোহাই উপসাগর	Baia di Bohai
২০১৪ এশিয়ান গেমস	XVII Giochi asiatici
ক্রোকোডাইল (১৯৯৬-এর চলচ্চিত্র)	Coccodrillo (film)
ফিলাডেলফিয়া পরীক্ষণ	Esperimento di Filadelfia
আইএসও ৩১৬৬-২:কেআর	ISO 3166-2:KR
ভালভাল ভেস্টিবিউল	Vestibolo vulvare
ফ্রান্সের ভাষা	Lingue della Francia
ডায়াল এম ফর মার্ডার (দ্ব্যর্থতা নিরসন)	Il delitto perfetto
এস্কেইপ ফ্রম অ্যালকাট্র্যাজ	Fuga da Alcatraz (film)
ইউরোপীয় ভাষা দিবস	Giornata europea delle lingue
বাংলাদেশ জাতীয়তাবাদী দল	Partito nazionalista bengalese
রেন জুনুন	René Guénon
বুয়েনোস আইরেস মেট্রো	Metropolitana di Buenos Aires
হকিং বিকিরণ	Radiazione di Hawking
আলেক্সান্দ্‌র বেলায়েভ	Aleksandr Romanovič Beljaev
ইস্তাম্বুল টানেল	Metropolitana di Istanbul
হানসেল এন্ড গ্রেটেল: উইস হান্টারস	Hansel & Gretel - Cacciatori di streghe
দেশি কানিবক	Ardeola grayii
পুষ্পক রথ	Vimana
রেনডিশন (চলচ্চিত্র)	Rendition - Detenzione illegale
নোকিয়া ১১০০	Nokia 1100
ভারতীয় পাত	Placca indiana
ডাইপোলার বন্ধন	Legame di coordinazione
নাথু গিরিবর্ত্ম	Nathu La
ঈদ, নরওয়ে	Eid
মহাবিশ্বের বয়স	Età dell'universo
কালিম্পং	Kalimpong
ফয়সাল মসজিদ	Moschea Faysal
ভাষার উৎস	Origine della lingua
পিপল’স চয়েজ পুরস্কার	People's Choice Awards
চ্যানেল ৪	Channel 4
রসায়নের ইতিহাস	Storia della chimica
খুলনা বিভাগ	Divisione di Khulna
ফ্লোরিডা বিশ্ববিদ্যালয়	Università della Florida
পথ শিশু	Bambino di strada
গন ইন সিক্সটি সেকেন্ডস (২০০০-এর চলচ্চিত্র)	Fuori in 60 secondi
আন্তঃকশেরুকা চাকতি	Disco intervertebrale
দেবানাহাল্লি বিমান বন্দর	Aeroporto Internazionale di Bangalore
ইউনিভার্সিটি অব ম্যারিল্যান্ড, কলেজ পার্ক	University of Maryland, College Park
আরিজোনা বিশ্ববিদ্যালয়	Università dell'Arizona
জিলেট(ব্র্যান্ড)	Global Gillette
টাকি মাছ	Channidae
ব্রাজিলের কমিউনিস্ট পার্টি	Partito Comunista del Brasile
লোমশ উইলফ্রেড	Goffredo il Villoso
রবার্ট হেনরী	Robert Dicke
অ্যান্ড্রু ভিটারবি	Andrew Viterbi
ইদ্রিছ শাহ	Idries Shah
আন্তর্জাতিক পদার্থবিজ্ঞান অলিম্পিয়াড	Olimpiadi internazionali della fisica
রুব গোল্ডবার্গ	Rube Goldberg
এউরিবিয়া	Euribia
গ্লাসগো সাবওয়ে	Metropolitana di Glasgow
বনভোজন	Picnic
ব্রাসেল্‌স মেট্রো	Metropolitana di Bruxelles
বারশিঙ্গা	Rucervus duvaucelii
ডিসাইড	Deicide
জেনেরিক ড্রাগ	Medicinale equivalente
ডিকাটুর, ইলিনয়	Decatur (Illinois)
মানস জাতীয় উদ্যান	Parco nazionale di Manas
একীকৃত নেপাল কমিউনিস্ট পার্টি (মাওবাদী)	Partito Comunista Unificato del Nepal (maoista)
সাবমেরিন কমিউনিকেশনস কেবল	Cavo sottomarino
ঘোষ দন্তমূলীয় ঊষ্মধ্বনি	Fricativa alveolare sonora
অঘোষ তালব্য ঊষ্মধ্বনি	Fricativa palatale sorda
ফকার এফ২৭ ফ্রেন্ডশিপ	Fokker F27
অল’স ওয়েল দ্যাট এন্ডস ওয়েল	Tutto è bene quel che finisce bene
ফ্রি এবং ওপেন সোর্স সফটওয়্যার	Free and Open Source Software
অগ্র মস্তিষ্ক	Prosencefalo
ঊওজেনেসিস	Ovogenesi
ঘোষ পশ্চাত্তালব্য স্পর্শধ্বনি	Occlusiva velare sonora
ন্যাসড্যাক-১০০	NASDAQ-100
ভক্তি	Bhakti
কাল হো না হো	Tomorrow May Never Come
মার্কোস রোহো	Marcos Rojo
দিদিয়ের দেশোঁ	Didier Deschamps
বোধগত ভাষাবিজ্ঞান	Linguistica cognitiva
রাষ্ট্র ও বিপ্লব	Stato e rivoluzione
হুয়ান গিয়ের্মো কুয়াদ্রাদো	Juan Cuadrado
কোলারাস	Kolaras
জামখেদ	Jamkhed
বন্ধন (কম্পিউটার বিজ্ঞান)	Binding
ভালেন্সিয়া মেট্রো	Metropolitana di Valencia
বাহরাইন ওয়ার্ল্ড ট্রেড সেন্টার	Bahrain World Trade Center
আন্দ্রো	Andro
আন্দ্রোগেউস	Androgeo (Eneide)
দাদাসাহেব ফালকে	Dhundiraj Govind Phalke
ম্যারাবু মদনটাক	Leptoptilos crumenifer
নাভেলিম	Navelim
সুনাম	Sunam
এডওয়ার্ড লু	Edward Low
সেডলেক ওসারি	Ossario di Sedlec
সবাথু	Sabathu
ভোলার দাবড়ি	Bholar Dabri
আইসোটোন	Isotono
ঈদুল আযহা	Id al-adha
গাস্তোঁ পারি	Gaston Paris
জুথুস	Xuto
মারগাও	Margao
গারুলিয়া	Garulia
লাভ বার্ড	Agapornis
জিবুতির সামরিক বাহিনী	Forze armate gibutiane
আইসোবার	Isobaro
ডোরেমন: নোবিতা অ্যান্ড দ্য নিউ স্টীল ট্রুপস - উইংগড এঞ্জেলস	Doraemon: Shin Nobita to tetsujin heidan ~Habatake tenshi-tachi~
২০০৮ গ্রীষ্মকালীন অলিম্পিকে দৌড়বাজী – পুরুষদের ডিসকাস থ্রো	Atletica leggera ai Giochi della XXIX Olimpiade - Lancio del disco maschile
ধুম ২	Dhoom 2
ফিফা বিশ্বকাপ ট্রফি	Trofeo Coppa del Mondo FIFA
পালৈ	Palai
গ্রাফেনবার্গ স্পট	Punto G
বরাহ	Varaha
অনুগুল	Angul
ক্যাপসুল	Capsula (forma farmaceutica)
দাওয়ানগরে	Davanagere
আলং	Along
লরেন্স লিভারমোর ন্যাশনাল ল্যাবরেটরী	Lawrence Livermore National Laboratory
হুয়ান গেলমান	Juan Gelman
ওয়াইয়ার্ড (ম্যাগাজিন)	Wired
পান্ডারিয়া	Pandariya
বাগলকোট	Bagalkot
কান্দ্রি, নাগপুর	Kandri (Parshivani)
তিব্বতের ইতিহাস	Storia del Tibet
কম্প্রিহেনসিভ নিউক্লিয়ার-টেস্ট-ব্যান ট্রিটি	Trattato di bando complessivo dei test nucleari
গ্রেনাডা (দ্ব্যর্থতা নিরসন)	Grenada (disambigua)
গদাগ-বেতিগেরি	Gadag-Betageri
হামিরপুর	Hamirpur
নেওয়ার	Newa
জিরা (শহর)	Zira (disambigua)
ব্ল্যাক মাস	Messa nera
ফ্রগার	Frogger
মারাঠা	Maratti
কেন্টাকি ফ্রাইড চিকেন	Kentucky Fried Chicken
আদ্রা	Adra
অ্য জেনারেল হিস্টোরি অফ দ্য পাইরেটস	Storia generale dei pirati
ফিয়াট পালিও	Fiat Palio
বোকুম শ্‌টাটবান	Stadtbahn di Bochum e Gelsenkirchen
রাইন-নেকার এস-বান	S-Bahn Reno-Neckar
২০০৮ গ্রীষ্মকালীন অলিম্পিকে সাঁতার – পুরুষদের ২০০ মিটার ব্যাকস্ট্রোক	Nuoto ai Giochi della XXIX Olimpiade - 200 metri dorso maschili
আজমগড়	Azamgarh
কলকাতা (দ্ব্যর্থতা নিরসন)	Calcutta (disambigua)
তোহানা	Tohana
গিঁট	Nodo
২০০৮ গ্রীষ্মকালীন অলিম্পিকে মুষ্টিযুদ্ধ – সুপার হেভিওয়েট	Pugilato ai Giochi della XXIX Olimpiade - Pesi supermassimi
উমরি প্রাগানে বালাপুর	Umri Pragane Balapur
রোনালদো	Ronaldo
মৃগালা	Mrigala
থান্দলা	Thandla
অঙ্গমালী	Angamaly
কাকা	Kaká
জান্দিয়ালা (জলন্ধর)	Jandiala (Jalandhar)
কালেন সংখ্যা	Numero di Cullen
বিষ্ণুপুর	Bishnupur (Bankura)
ফতেহাবাদ	Fatehabad
মায়া হরিণ	Muntiacus muntjak
রাজপুর	Rajapur
পিপারিয়া	Pipariya
দক্ষিণ দিনাজপুর জেলা	Distretto del Dinajpur Meridionale
স্পেনের ভাষা	Lingue della Spagna
অত্তিঙ্গল	Attingal
বাহাদুরগঞ্জ	Bahadurganj
স্টর্মের মানিকজোড়	Ciconia stormi
অ্যান্টনি রামালেট্‌স	Antoni Ramallets
হিপ্পারকোস তালিকা	Catalogo Hipparcos
ঝালাওয়াড়	Jhalawar
দাদা (দ্ব্যর্থতা নিরসন)	Dada
গ্রিক জনগোষ্ঠী	Greci
নিনজুৎসু	Ninjutsu
নরকাটিয়াগঞ্জ	Narkatiaganj
পায্যন্নুর	Payyannur
পাচোরে	Pachore
বারা বামনিয়া	Bara Bamonia
ক্ল্যামেটর	Clamator
দক্ষিণ ভারত	India meridionale
মুঘল স্থাপত্য	Architettura moghul
খামানোন	Khamanon
স্টিক্স নদী (পুরাণ)	Stige (dea)
বেঞ্জামিন হর্নিগোল্ড	Benjamin Hornigold
দিল্লির লৌহস্তম্ভ	Colonna di Ferro
ডেভিড ডয়েচ	David Deutsch
দক্ষিণ কোরিয়া জাতীয় ফুটবল দল	Nazionale di calcio della Corea del Sud
প্রাচীন গ্রিসে সমকামিতা	Omosessualità nell'antica Grecia
টম হুইটেকার	Tom Whittaker
এরাসমুস রাইনহোল্ড	Erasmus Reinhold
২০০৮ গ্রীষ্মকালীন অলিম্পিকে দৌড়বাজী – পুরুষদের ৩০০০ মিটার স্টিপলচেজ	Atletica leggera ai Giochi della XXIX Olimpiade - 3000 metri siepi maschili
জাহানদার শাহ	Jahandar Shah
কর্নেল উলরিচ	Cornell Woolrich
মার্তিন লোপেজ-জুবেরো	Martín López-Zubero
বাহাদুর শাহ প্রথম	Bahadur Shah I
জ্যাক রাউলি	Jack Rowley
বার্টি মি	Bertie Mee
বাংলাদেশ-মায়ানমার সীমান্ত	Confine tra il Bangladesh e la Birmania
কোয়ালকম	Qualcomm
উইলিয়াম টমাস ব্লানফোর্ড	William Thomas Blanford
বৃহদারণ্যক উপনিষদ্‌	Bṛhadāraṇyaka Upaniṣad
ভূতুরে বাড়ি	Casa stregata
মাস্কারা, আলজেরিয়া	Mascara (Algeria)
নিরমালী	Nirmali
হ্যারি গ্রেগ	Harry Gregg
অস্থি মজ্জা	Midollo osseo
উই পোকা	Isoptera
ঘাসান মাসুদ	Ghassan Massoud
বনজাঈ	Clerodendrum
নান্দুরা	Nandura
ইলডেফনস সিরদা	Ildefons Cerdà i Sunyer
জয়সিংপুর	Jaysingpur
মৌগঞ্জ	Mauganj
রিচার্ড ফোর্ড	Richard Ford
এরিক টেম্পল বেল	Eric Temple Bell
আলিপুরদুয়ার	Alipurduar
জর্জ কিংস্‌লি জিফ	George Kingsley Zipf
হুগলি জেলা	Distretto di Hooghly
আলবার্তো সুপ্পিসি	Alberto Horacio Suppici
পশ্চিম দিল্লি জেলা	Distretto di Delhi Ovest
লা ডিসপোটা	Disputa del Sacramento
ক্যালাবি-ইয়ো বহুধা	Varietà di Calabi - Yau
নোরা জোন্স	Norah Jones
মুভমেনট ফর ওয়াননেস অ্যান্ড জিহাদ ইন ওয়েস্ট আফ্রিকা	Movimento per l'Unicità e il Jihad nell'Africa Occidentale
ফায়ারফক্স অপারেটিং সিস্টেম	Firefox OS
ডোরেমন: অ্যা গ্রান্ডমাদারস রিকালেকশনস	Obā-chan no omoide
স্টারউড হোটেলস এন্ড রিসোর্টস ওয়ার্ল্ডওয়াইড	Starwood Hotels & Resorts Worldwide
করসায়ার মেমোরি	Corsair Memory
দাউদ ইব্রাহিম	Dawood Ibrahim
পুরনো গোয়া	Goa Velha
শেন ওয়ার্ন	Shane Warne
বসপ্পা ধনপ্পা জত্তী	Basappa Danappa Jatti
ব্রডকম	Broadcom
সালমান আল ফারিসী	Salman al-Farisi
সামি ইউসুফ	Sami Yusuf
আর্যদেব	Āryadeva
দর্শন ইন্দ্রিয়	Apparato visivo
মকবুল ফিদা হুসেন	Maqbool Fida Husain
মাথাপিছু	Pro capite
সাদরুদ্দিন আয়নি	Sadriddin Ayni
সুগুমি ওহতা	Tsugumi Ōba
গুগগুল	Bdellio
কিউইক্স	Kiwix
গুব্বি	Gubbi
ফর‌রুখসিয়ার	Farrukh Siyar
নভোখেয়াযান মিশনসমূহের তালিকা	Lista delle missioni dello Space Shuttle
এলিহু থমসন	Elihu Thomson
দিশানায়াকা মুদিয়ানসেনাগে জয়রত্নে	D. M. Jayaratne
মুহাম্মদ নাসিরুদ্দীন আল-আলবানী	Muhammad Nasir al-Din al-Albani
উদয় চোপড়া	Uday Chopra
জেমস হ্যাভেন	James Haven
গি ফোর্জে	Guy Forget
পৃথ্বীরাজ কাপুর	Prithviraj Kapoor
বরিস পোডলস্কি	Boris Podolsky
জোয়ান ফুস্টার	Joan Fuster
তায়েব সালিহ	Tayeb Salih
প্রশান্তচন্দ্র মহালনবিশ	Prasanta Chandra Mahalanobis
অ্যানতোনেল্লো ভেনেডিত্তি	Antonello Venditti
হোসে এমিলিও পাচেকো	José Emilio Pacheco
ইয়াদগির	Yadgir
ইকরিমা ইবনে আবি জাহল	Ikrima ibn Abi Jahl
অম্ল মৃত্তিকা	Reazione del terreno
দ্য লীগ অফ এক্সট্রাঅর্ডিনারি জেন্টলম্যান	La leggenda degli uomini straordinari
নিউটন (দ্ব্যর্থতা নিরসন)	Newton
নরকান্দ	Narkanda
ব্লুমসবারি পাবলিশিং প্রাইভেট লিমিটেড	Bloomsbury Publishing
মাগরিবের নামাজ	Maghrib
চিরস্থায়ী বন্দোবস্ত	Permanent Settlement
সিলাত	Silat
সুলু ধনেশ	Anthracoceros montani
সুলাওয়েসি ধনেশ	Rhabdotorrhinus exarhatus
স্ট্রিট হক	Il falco della strada
নিকারাগুয়ার ভূগোল	Geografia del Nicaragua
৫৬৬৮ ফুকো	5668 Foucault
ওয়াটারহুইল (উদ্ভিদ)	Aldrovanda vesiculosa
এল মিস্তি	El Misti
কদম	Neolamarckia cadamba
২০০৮ গ্রীষ্মকালীন অলিম্পিকে ব্যাডমিন্টন - মহিলাদের একক	Badminton ai Giochi della XXIX Olimpiade - Singolo femminile
বিলেফেল্ট শ্‌টাটবান	Stadtbahn di Bielefeld
এ্যান্টি-ডুরিং	Anti-Dühring
হেনরী আয়রিং	Henry Eyring
হ্যারি মগার	Harry Moger
ধলাকোমর মুনিয়া	Lonchura striata
এন্টিক্রাইস্ট	Antichrist (film)
গুগল চশমা	Google Glass
ফিফাভুক্ত দেশসমূহের কোডের তালিকা	Lista dei codici nazionali della FIFA
অ্যালোট্রা ডুবুরি	Tachybaptus rufolavatus
অ্যান্টিগুয়া এবং বার্বুডার সামরিক বাহিনী	Royal Antigua and Barbuda Defence Force
কসমস	Cosmos bipinnatus
পশ্চিমা উল্লুক	Hoolock hoolock
টাস্কোলা, ইলিনয়	Tuscola (Illinois)
ড্যানভিল, ইলিনয়	Danville (Illinois)
লেপ্টোপ্টাইলোস	Leptoptilos
ইফতার	Iftar
শিকাগো সান-টাইমস	Chicago Sun-Times
কার্বনডেল, ইলিনয়	Carbondale (Illinois)
ম্ঙ্গা'-রিস বিভাগ	Prefettura di Ngari
ব্লুমিংটন, ইলিনয়	Bloomington (Illinois)
শ্যাম্পেইন, ইলিনয়	Champaign
রন রিভেস্ট	Ronald Rivest
ক্যানকাকি, ইলিনয়	Kankakee
মাইকেল লুকাস (চিত্র পরিচালক)	Michael Lucas
ঘোষ তালব্য ঊষ্মধ্বনি	Fricativa palatale sonora
নেভাদো মিসমি	Nevado Mismi
২০০৮ গ্রীষ্মকালীন অলিম্পিকে সাঁতার – পুরুষদের ১০০ মিটার বাটারফ্লাই	Nuoto ai Giochi della XXIX Olimpiade - 100 metri farfalla maschili
এএন-৩২ (ক্লাইন)	Antonov An-32
আফ্রিকার অর্থনীতি	Economia dell'Africa
১৯২০ গ্রীষ্মকালীন অলিম্পিকে ভারত	India ai Giochi della VII Olimpiade
১৯৩২ গ্রীষ্মকালীন অলিম্পিকে ভারত	India ai Giochi della X Olimpiade
মালেগাঁও	Malegaon
দ্য বোন কালেক্টর	Il collezionista di ossa (film)
আরকোলা, ইলিনয়	Arcola (Illinois)
১৯২৪ গ্রীষ্মকালীন অলিম্পিকে ভারত	India ai Giochi della VIII Olimpiade
জেবারগি	Jevargi
সাতারা	Satara
প্রোগ্রামার দিবস	Giorno dei programmatori
খেম করন	Khemkaran
রেনডরি	Randori
দেশি কালো ভ্রমর	Xylocopa violacea
কূর্মপুরাণ	Kūrma Purāṇa
পেরিফেতেস	Perifete (Poseidone)
আমবড়া	Ambada
আম্বাসা	Ambassa
আসান খুর্দ	Asankhurd
অমৃতসর ক্যান্টনমেন্ট	Amritsar Cantonment
আকোদা	Akodia
আন্দুল	Andul
আর্কলগুদ	Arkalgud
বাবলারি দেওয়ানগঞ্জ	Bablari Dewanganj
আমলোহ	Amloh
আস্তা	Ashta
ঔরদ	Aurad
আলিরাজপুর	Alirajpur
আরামবাগ	Arambag
অকালতারা	Akaltara
আরেরাজ	Areraj
আর্সিকেরে	Arsikere
জো কিড	Joe Kidd
আজাইগড়	Ajaigarh
বাধাগাছি	Badhagachhi
অবিনিস্‌সেরী	Avinissery
উলফিয়ান বাহিকা	Dotto di Wolff
বড়রওয়াস	Badarwas
বাদকুচি	Badkuhi
বড়ওয়াদা	Badawada
আমলা (মধ্য প্রদেশ)	Amla
অক্কেম	Aquem
আমলাই	Amlai
আসানধ	Assandh
অনুপনগর	Anup Nagar
কাঁকসা	Kanksa
আলি পুর	Ali Pur
আমানগঞ্জ	Amanganj
আলিপুরদুয়ার রেলওয়ে জাংশান	Alipurduar Railway Junction
রঘোগড়-বিজয়পুর	Raghogarh-Vijaypur
অনুপগড়	Anupgarh
আমেত	Amet
আরগাড়ি	Argari
আযিকোদে ঔয়াং	Azhikode North
আথাগাদ	Athagad
বড় মালহেরা	Bada Malhera
আম্বিকানগর	Ambikanagara
ইচালকরনজি	Ichalkaranji
আলোট	Alot
আম্বা	Ambah
আলনাবার	Alnavar
আলাৱলপুর	Alawalpur
আম্বাদ	Ambad
অঙ্কোলা	Ankola
অঞ্জনগাঁও	Anjangaon
আথনি	Athni
আম্বরনাথ	Ambarnath
আজরা	Ajra
আম্বেজোগাই	Ambejogai
মানা (ব্যান্ড)	Maná
ওয়ারোরা	Warora
উদুপি	Udupi
এইচআর ৮৭৯৯	HR 8799
অধিনায়ক (ক্রীড়া)	Capitano (sport)
মন্টারে উপসাগর	Baia di Monterey
মাজিথা	Majitha
আহমাদপুর	Ahmadpur
আলদোনা	Aldona
বড়গোওয়ান	Badagoan
বাদনাওয়ার	Badnawar
বাধারঘাট	Badharghat
বাদুড়িয়া	Baduria
আলপ্পুঝা	Alappuzha
এস-ট্রেন (ডেনমার্ক)	S-tog
বাধনি কলন	Badhni Kalan
আম্বিওয়ালি টার্ফ ওয়ানখাল	Ambivali Tarf Wankhal
অজনল	Ajnala
ববিয়াল	Babiyal
আইসতলা	Aistala
অন্তরি	Antari
অমরওয়ারা	Amarwara
আযিকোদে খা	Azhikode South
আইহো	Aiho
আঞ্জাদ	Anjad
আউফবাউ নীতি	Principio dell'Aufbau
অকালগড়, পাঞ্জাব	Akalgarh
ব্রুকহ্যাভেন ন্যাশনাল ল্যাবরেটরী	Brookhaven National Laboratory
অন্তাহ	Antah
আমবালা সদর	Ambala Sadar
কোরা (বাদ্যযন্ত্র)	Kora
পটারমোর	Pottermore
গোল্ডেন গ্লোব পুরস্কার (সেরা পরিচালক - চলচ্চিত্র)	Golden Globe per il miglior regista
মানব ক্লোনিং	Clonazione umana
নয়া গড়	Nayagarh
রাজাভি খোরসন প্রদেশ	Razavi Khorasan
অকলেরা	Aklera
ময়নাগুড়ি	Mainaguri
মুহাম্মদ, মেসেঞ্জার অফ গড	Il messaggio
খড়গপুর, পশ্চিমবঙ্গ	Kharagpur
আররাহ	Arrah
বাদলাপুর	Badlapur
অথমল্লিক	Athmallik
আশিকা	Asika
আনেকাল	Anekal
বডোদা	Badoda
বডোদ	Badod
পুতুল নাচ	Teatro dei burattini
বাগবাহারা	Bagbahara
আরূর	Aroor
অকথিয়ুর	Akathiyoor
আলুভা	Aluva
অমরকণ্টক	Amarkantak
বড়ে বাচেলী	Bade Bacheli
অনুপপুর	Anuppur
আমালনের	Amalner
অশোকনগর	Ashoknagar
আন্নিগেরী	Annigeri
আহমেদগড়	Ahmedgarh
আনন্দপুর	Anandapur
অকোট	Akot
বাভুলগাঁও	Babhulgaon
শাহাপুর	Shahapur
বেলফেগর (ব্যান্ড)	Belphegor
আলান্দি	Alandi
আনন্দপুর সাহিব	Anandpur Sahib
অমরপুর	Amarpur
আঁকুড়হাটি	Ankurhati
আনচরকন্দ্য	Ancharakandy
আমকুলা	Amkula
অমরপাতান	Amarpatan
অরঙ্গ	Arang
আমবালা ক্যান্টনমেন্ট	Ambala Cantonment
আসিন্দ	Asind
অসরগঞ্জ	Asarganj
অতেলি	Ateli
আমোদঘাট	Amodghata
আম্বাগড় চৌকি	Ambagarh Chowki
বাবর পুর	Babar Pur
২০০৮ গ্রীষ্মকালীন অলিম্পিকে জুডো – মহিলাদের ৭৮ কেজি	Judo ai Giochi della XXIX Olimpiade - 78 kg femminile
জ্যাক রিচার	Jack Reacher - La prova decisiva
বাআল	Baal
আহমদপুর	Ahmadpur (Maharashtra)
ভাঙ্গা (বিহার)	Bagaha
গোরমি	Gormi
বাদামি	Badami
বড়নগর	Badnagar
ফারহান আখতার	Farhan Akhtar
তেহরান প্রদেশ	Regione di Teheran
চিত্রগ্রহণ	Cinema
ঔসা	Ausa (città)
ভারতীয় হাতি	Elephas maximus indicus
কুরুদ	Kurud
মাদ্দুর	Maddur
মেতিওন	Metione
তিরা সুজনপুর	Tira Sujanpur
ক্যারিবীয় প্রবাল হাঙর	Carcharhinus perezi
লাম-রিম	Lam Rim
