Африк	Africa
Актөбе	Aqtöbe
Талукан	Taloqan
Евгений Гришин	Evgenij Grišin
Хүжин зам	Via dell'incenso - città nel deserto del Negev
Златибор аймаг	Distretto di Zlatibor
Coritiba Foot Ball Club	Coritiba Foot Ball Club
Таншоннят олон улсын нисэх онгоцны буудал	Aeroporto Internazionale Tan Son Nhat
Зураг	Immagine
Дээд палеолит	Paleolitico superiore
Халимагийн морьт корпус	Kalmucken Kavallerie Korps
Сүвоний Самсон Блюуингз	Suwon Samsung Bluewings Football Club
Блинк-182	Blink-182
Олон ангит кино	Drama coreano
Ки Бу-бэ	Ki Bo-bae
Азербайжан үндэстэн	Azeri
Нани	Luís Carlos Almeida da Cunha
Эдвин ван дер Сар	Edwin van der Sar
Зохиолч	Autore
Пари Сен-Жермен	Paris Saint-Germain Football Club
Паоло Мальдини	Paolo Maldini
Робинзон Крузо	Robinson Crusoe
Узбек үндэстэн	Uzbeki
Хуан Сонь-хун	Hwang Sun-Hong
Ван Ги-чүнь	Wang Ki-chun
Цэнгэлдэх хүрээлэн	Stadio
Бен Аффлек	Ben Affleck
Анхны хайр (солонгос кино)	Cheotsarang
Петр Чех	Petr Čech
Олон Улсын Славяны Суваг	Slavonic Channel International
Эй-Пинк (A Pink) хамтлаг	A Pink
Никкүн Бук Хорвечкүл	Nichkhun
Серхио Рамос	Sergio Ramos
Сан-Паулугийн метро	Metropolitana di San Paolo
Ким Жан-ми	Kim Jangmi
Мөрөөдлөөс ч илүү	Dream High
Бичлэгийн төрөл зүйл	Genere (arte)
Рио Фердинанд	Rio Ferdinand
Усан оргилуур	Fontana
Азийн наадам	Giochi asiatici
Тажик үндэстэн	Tagiki
Филлах	Villaco
Өмнөд Холбооны тойрог	Distretto Federale Meridionale
Химийн зэвсэг	Guerra chimica
Ча Тэ-хёнь	Cha Tae-hyun
Лука Модрич	Luka Modrić
Гонсало Игуаин	Gonzalo Higuaín
Туркийн хөлбөмбөгийн үндэсний шигшээ баг	Nazionale di calcio della Turchia
Чех улсын хөлбөмбөгийн шигшээ баг	Nazionale di calcio della Repubblica Ceca
Төвдийн Бурханы шашин	Buddhismo tibetano
Жэк Блэк	Jack Black
И Гю-хёк	Lee Kyou-Hyuk
S.M. Entertainment	S.M. Entertainment
Кирк Хэмметт	Kirk Hammett
И Сү-мань	Lee Soo Man
Төмөрийн улс	Impero timuride
Перс үндэстэн	Persiani
Хархалпак орон	Karakalpakstan
Манлайлал	Leadership
Чингиз Айтматов	Čyngyz Ajtmatov
Keane	Keane (gruppo musicale)
Дэвид Духовны	David Duchovny
Фабио Коэнтрао	Fábio Coentrão
Сун Ган-ху	Song Kang-ho
Алматын метро	Metropolitana di Almaty
Хүн-аалз (кино)	Spider-Man (film)
Бамияны бурхан багш	Buddha di Bamiyan
Солонгос үндэстэн	Coreani
Түркмен үндэстэн	Turkmeni
Киргиз үндэстэн	Kirghisi
Ким Жи-үнь	Kim Ji-Woon
Жаред Лето	Jared Leto
Ю Сан-чоль	Yoo Sang-Chul
Чон Да-бинь	Jeong Da-bin
Ли Хо Сок	Lee Ho-suk
Кристин Лагард	Christine Lagarde
Итан Хоук	Ethan Hawke
Шугаман тэгшитгэл	Equazione lineare
Леон (кино)	Léon (film)
Харганат	Qarağandı
Альборзын нуруу	Elburz
Су Жи-соб	So Ji-sub
Луи Саа	Louis Saha
И Ёнь-хый	Lee Yeon-hee
Ань Жэ-үк	Ahn Jae Wook
Лассана Диарра	Lassana Diarra
Нил Патрик Харрис	Neil Patrick Harris
Башгир ястан	Baschiri
Шымкент	Šymkent
Александр Дедюшко	Aleksandr Viktorovič Dedjuško
Үллөн-гүнь	Ulleung
Customer relationship management	Customer relationship management
Пепе	Képler Laveran Lima Ferreira
Юн Сок Ён	Yun Suk-Young
Европын хөлбөмбөгийн Аваргуудын лиг - 2012/2013	UEFA Champions League 2012-2013
Балкан муж	Provincia di Balkan
Глонасс байршил тогтоох систем	GLONASS
Павлодар	Pavlodar
Саха ястан	Jakuti
Нарийн аймаг	Provincia di Naryn
Ким Жэ-вонь	Kim Jae-won
Тараз	Taraz
Борис Гельфанд	Boris Gelfand
Үнэт цаасны хоёрдогч зах зээл	Mercato finanziario secondario
Математик загварчлал	Modello matematico
Виктор Цой	Viktor Coj
Ян Смекенс	Jan Smeekens
Лебап муж	Provincia di Lebap
Эйлий	Ailee
Дашогуз муж	Provincia di Daşoguz
Мары муж	Provincia di Mary
Иссык-Күл аймаг	Provincia di Ysykköl
Орал	Oral
Арда Туран	Arda Turan
Цагадай	Chagatai
Сон Юү-ри	Sung Yu-ri
Баткен аймаг	Provincia di Batken
Андижан	Andijan (città)
Дашогуз	Daşoguz (città)
Түркменабат	Türkmenabat
Жалал-Абад	Žalalabad
Цагаадайн улс	Khanato Chagatai
Мазер	Maser
Чу Сон-му	Jo Sungmo
Хань Жи-хеэ	Han Ji-hye
Фетхуллах Гюлен	Fethullah Gülen
Петропавл	Petropavl
У Жинь-хёк	Oh Jin-hyek
Костанай	Qostanay
Ким Жон-ынь	Kim Jung-eun
Рафаэль Варан	Raphaël Varane
Эрнст Энд Янг	Ernst & Young
Славен Билич	Slaven Bilić
Антонио Адан	Antonio Adán
Молекулын физик	Fisica molecolare
Пэк Жи-ён	Baek Ji-young
Дэлхийн долоон гайхамшиг	Sette meraviglie del mondo
Хивын хант улс	Khanato di Khiva
Наманган	Namangan (città)
Нийлүүлэлтийн гинжин удирдлага	Gestione della catena di distribuzione
Эндрэй Блатч	Andray Blatche
Франсиско Хенто	Francisco Gento
Андре Драммонд	Andre Drummond
Мүнжун ван (Курё)	Munjong di Goryeo
Сун Дэ-Нам	Song Dae-Nam
Казанийн метро	Metropolitana di Kazan'
Чон Ил-ү	Jung Il-woo
Нар сарны тэврэлт	Hareul pum-eun dal
II Чонжун ван	Jeongjong II di Goryeo
Пак Бом	Park Bom
SK групп	Gruppo SK
Чан На-ра	Jang Nara
Ли Гын Хо	Lee Keun-Ho
Эрчим (хөлбөмбөгийн баг)	Erchim
Ким Ю Шин	Kim Yushin
Цэн тогоруу	Grus vipio
Юү Сын-ху	Yoo Seung-ho
I Селим	Selim I
Бахайн ертөнцийн төв ордон	Centro mondiale bahai
Exo	EXO
Юүнь Ынь-хеэ	Yoon Eun-hye
Сүвоний цэнгэлдэх хүрээлэн	Suwon World Cup Stadium
Вонь Бинь	Won Bin
Андреа Ражи	Andrea Raggi
2002 оны Азийн наадам	XIV Giochi asiatici
Фудань их сургууль	Università Fudan
Пүсань Ай-Парк	Busan IPark Football Club
Галатасарай (хөлбөмбөгийн баг)	Galatasaray Spor Kulübü
2014 оны Азийн наадам	XVII Giochi asiatici
Тиара (T-ara) хамтлаг	T-ara
G-Dragon	G-Dragon
Өмнөд Солонгос улс Олимпод	Corea del Sud ai Giochi olimpici
Пун Жүнь-ху	Bong Joon-ho
Солонгосын сагсан бөмбөгийн үндэсний шигшээ баг	Nazionale di pallacanestro della Corea del Sud
Чан Юнь-жон	Jang Yoon Jeong
Ким Бом	Kim Bum
Ким Су-ынь	Kim So-eun
Хань Га-инь	Han Ga-in
Ким Сү-хён	Kim Soo-hyun (attore 1988)
Пак Шин Хе	Park Shin-hye
Бендиго	Bendigo
Александр Романович Беляев	Aleksandr Romanovič Beljaev
Хэзээ? Хаана? Юу?	Che cosa? Dove? Quando?
Антонио Байлетти	Antonio Bailetti
Цагаан дэвлээ	Ardeola bacchus
Жимми Батлер	Jimmy Butler
Макмөрдо	Stazione McMurdo
Дифлимп	Giochi olimpici silenziosi
Гегард	Geghard
Тёркс ба Кайкосын арлуудын хөлбөмбөгийн үндэсний шигшээ баг	Nazionale di calcio di Turks e Caicos
Цасны богшоодой	Montifringilla nivalis
Андреас Лингер	Andreas Linger
Кусейр Амра	Qusayr Amra
Испани хан бүргэд	Aquila adalberti
Олимпийн дугуйн тэмцээн	Ciclismo ai Giochi olimpici
Андреас Вайман	Andreas Weimann
Кхулна муж	Divisione di Khulna
Леон Андреасен	Leon Andreasen
Начо (1990 онд төрсөн хөлбөмбөгчин)	José Ignacio Fernández Iglesias
Артур Таймазов	Artur Taymazov
Крис Прэтт	Chris Pratt
Онги гол	Ongi
Шуналтай алгоритм	Algoritmo greedy
Тунисын ерөнхийлөгч	Presidenti della Tunisia
1995 оны Фахд хааны цом	Coppa re Fahd 1995
Як-38	Yakovlev Yak-38
Як-42	Yakovlev Yak-42
Олон улсын физикийн олимпиад	Olimpiadi internazionali della fisica
Як-40	Yakovlev Yak-40
Химийн уураар тунадасжуулах	Deposizione chimica da vapore
Як-1	Yakovlev Yak-1
Юрген Крой	Jürgen Croy
Лагранжийн теорем (бүлгийн онол)	Teorema di Lagrange (teoria dei gruppi)
Ту-104	Tupolev Tu-104
Леньер Домингес	Leinier Domínguez
Франсиско Алькасер	Francisco Alcácer
Райан Уитинг	Ryan Whiting
Вольфганг Лингер	Wolfgang Linger
Маркос Рохо	Marcos Rojo
Уго Кампаньяро	Hugo Campagnaro
Хайбэй тойрог	Prefettura autonoma tibetana di Haibei
Эндрю Уайбрехт	Andrew Weibrecht
Дидье Дешам	Didier Deschamps
Перо Антич	Pero Antić
Рамон Сешнс	Ramon Sessions
Хуан Куадрадо	Juan Cuadrado
Ли Зяньжоу	Li Jianrou
Деррик Фейворс	Derrick Favors
Рожер Эспиноза	Roger Espinoza
Жо Смит	Joe Smith
Эммануэль Агеманг-Баду	Emmanuel Agyemang-Badu
Мөрдөгч Деррик	L'ispettore Derrick
Олон Улсын Бялдаржууллын Холбоо	International Federation of BodyBuilding & Fitness
Дерек Друэн	Derek Drouin
Жерри Паласиос	Jerry Palacios
Рики Ламберт	Rickie Lambert
Андрис Шицс	Andris Šics
Эзекил Фрайерс	Ezekiel Fryers
Үчишиба Масато	Masato Uchishiba
Файл сервер	File server
Таньчонь	Tanch'ŏn
Гранит Жака	Granit Xhaka
Апелла	Apella
Пол Миллсэп	Paul Millsap
Удонис Хаслем	Udonis Haslem
Форд-А 1930	Ford Model A (1927)
Нейромаркетинг	Neuromarketing
Андре Айю	André Ayew
Родни Стаки	Rodney Stuckey
Марвин Уильямс	Marvin Williams
Ража Наингголан	Radja Nainggolan
Тайлер Хэнсбро	Tyler Hansbrough
Зуун цэцэг дэлгэрэг	Campagna dei cento fiori
Жорж Хилл (сагсан бөмбөгчин)	George Hill (cestista)
1991-1992 оны НБА-гийн улирал	National Basketball Association 1991-1992
Андре Гомиш	André Gomes
Констан Жакпа	Constant Djakpa
Доминик Ландертингер	Dominik Landertinger
Андре Хан	André Hahn
Мигель Анхель Мойя	Miguel Ángel Moyà
Ченнинг Фрай	Channing Frye
Антон Шипулин	Anton Šipulin
Тай Лоусон	Ty Lawson
Ник Коллисон	Nick Collison
Вилдполдсрайд	Wildpoldsried
Оскар Вендт	Oscar Wendt
Шарль Амлен	Charles Hamelin
Ян Маинми	Ian Mahinmi
Коста Куфос	Kosta Koufos
Эл Хорфорд	Al Horford
Тайвань улс Олимпод	Cina Taipei ai Giochi olimpici
Стив Керр	Steve Kerr
Мэтт Боннер	Matt Bonner
Шейн Баттье	Shane Battier
Бастиан Очипка	Bastian Oczipka
Ян Худек	Jan Hudec
Энди Нахар	Andy Najar
Велигтон	Weligton Oliveira
Голограф	Olografia
Killzone 3	Killzone 3
Барүто Кайто	Baruto Kaito
Эшли Уильямс	Ashley Williams (calciatore)
Рональдо	Ronaldo
Цэцэрлэг хот	Cecerleg
Милан Бишевац	Milan Biševac
Ажман хот	ʿAjmān
Испанийн алтан үе	Siglo de Oro
1994-95 оны УЕФА-гийн цом	Coppa UEFA 1994-1995
Ники Билли Нильсен	Nicki Bille Nielsen
Хуан Ань Дүонь	Hoàng Anh Tuấn
Кака	Kaká
Бено Удрих	Beno Udrih
Жей Жей Хиксон	J.J. Hickson
Тяньшуй	Tianshui
Жючуань	Jiuquan
Шани Дэвис	Shani Davis
Тел Беер Шеба	Tel Be'er Sheva
Шар хошуут нугас	Anas undulata
Хөх хот	Hohhot
Аида Роман	Aída Romàn
Лолита (1962 оны кино)	Lolita (film 1962)
Ганган хар (1994 оны кино)	Black Beauty (film 1994)
Хөлөн нуур	Lago Hulun
Юрий Лончаков	Jurij Valentinovič Lončakov
Эрл Монро	Earl Monroe
Маргот Бур	Margot Boer
Ирина Хакамада	Irina Mucuovna Chakamada
Прохорвкийн тулалдаан	Battaglia di Prochorovka
Хараа гол	Haraa gol
Ричард Хьюз	Richard Hughes (batterista)
Нийлүүлэлт	Offerta
Өмнө Солонгос улсын хөлбөмбөгийн шигшээ баг	Nazionale di calcio della Corea del Sud
Шумад аймаг	Distretto di Šumadija
Майк Миньола	Mike Mignola
Маркус Фойльнер	Markus Feulner
Албан ёсны хэлнүүдийн жагсаалт (улс орноор)	Lista di lingue ufficiali
Як-7	Yakovlev Yak-7
Чөмөг	Midollo osseo
Жеймс Честер	James Chester
Улаанбаатар хотын дүүргүүд	Dùùrėg
Хоэль Роблес	Joel Robles
Coldplay хамтлагийн бүтээлүүд	Discografia dei Coldplay
Од хамарт сохор номин	Condylura cristata
Майкл Оловоканди	Michael Olowokandi
Хэжэнгэ аймаг	Kižinginskij rajon
Resistance: Retribution	Resistance: Retribution
Николай Мюллер	Nicolai Müller
SAP	SAP (azienda)
Осман Чавес	Osman Chávez
Жефф Тиг	Jeff Teague
Стив Блэйк	Steve Blake
Жордан Хилл	Jordan Hill
Жавейл Макги	JaVale McGee
Кори Брюэр	Corey Brewer (1986)
Патрик Херрман	Patrick Herrmann
Ронни Эберсон Фуртадо де Араужо	Ronny Heberson Furtado de Araújo
Даррен Коллисон	Darren Collison
Жаррет Жек	Jarrett Jack
Шон Ливингстон	Shaun Livingston
Мануэль Шмидебах	Manuel Schmiedebach
Мэтт Барнс	Matt Barnes
Дэнни Грин	Danny Green
Тони Янчке	Tony Jantschke
Рыбен Хаукес	Ruben Houkes
Квинси Эйси	Quincy Acy
Валентин Штокер	Valentin Stocker
Рик Адельман	Rick Adelman
Расул Бокиев	Rasul Boqiev
Эрик Ёнсен	Erik Johnsen
Даниэл Ковальски	Daniel Kowalski
Аслей Гонсалес	Asley González
Франтишек Янда-Сук	František Janda-Suk
Валерий Люкин	Valerij Ljukin
Боб Ричардс	Bob Richards
Жэк Лавлок	Jack Lovelock
Жо Делоч	Joe DeLoach
Рой Мата	Roi Mata
Владимир Петляков	Vladimir Michajlovič Petljakov
Эмиль Войт	Emil Voigt (atleta)
Льюис Шелдон	Lewis Sheldon
Мохаммед Алим Хан	Mohammed Alim Khan
Тогрул Аскеров	Toğrul Əsgərov
Хенри Карр	Henry Carr
Энар Яагер	Enar Jääger
Майк Мур	Mike Moore
Болгарын Чака	Čaka di Bulgaria
Алекс Родригес	Alexander Rodriguez
Константин Хабенский	Konstantin Jur'evič Chabenskij
Тишон Тайлор	Tyshawn Taylor
Хайду	Kaidu
Ник Ван Эксел	Nick Van Exel
Хартмут Бризеник	Hartmut Briesenick
Мичел (хөлбөмбөгчин)	Míchel
Игорь Шалимов	Igor' Šalimov
Харолд Озборн	Harold Osborn
Жамбын Батмөнх	Jambyn Batmönkh
Сакаи Гоотокү	Gōtoku Sakai
Доод түвшний програмчлалын хэл	Linguaggio di programmazione a basso livello
Едигей	Edigu
Одил Ахмедов	Odil Ahmedov
Лууха	Liao (fiume)
Марко Сау	Marco Sau
Майкон Перейра Роке	Maicon Pereira Roque
Лукаш Юткевич	Lukas Jutkiewicz
Робин Лопес	Robin Lopez
Асфер линз	Lente asferica
Нолан Ру	Nolan Roux
Дадли Жуниор Кэмпбелл	Dudley Campbell
Мавлет Батиров	Mavlet Batirov
Фредрик Линдстрём	Fredrik Lindström
Деннис Дикмайер	Dennis Diekmeier
Майкл Тернер	Michael Thomas Turner
Горка Элустондо	Gorka Elustondo
Реваз Миндорашвили	Revazi Mindorashvili
Жовани дос Сантос	Giovani dos Santos
Виллиам Холланд	William Holland
Як-9	Yakovlev Yak-9
Пайтим Касами	Pajtim Kasami
Ухаалаг зурагт	Smart TV
Монголын Иргэний Агаарын Тээвэр	MIAT Mongolian Airlines
Роберт Снодграсс	Robert Snodgrass
PEST	Analisi PEST
Бугат хот	Baotou
Калка голын тулалдаан	Battaglia del fiume Kalka
Эргэх түгжээ (Spinlock)	Spinlock
Үхай хот	Wuhai
Рикарду Карвалио	Ricardo Carvalho
Улаанхад	Chifeng
Тонляо хот	Tongliao
Ордос хот	Ordos (Mongolia Interna)
Жанго эрх чөлөөгөө олсон нь	Django Unchained
Хөлөнбуйр	Hulunbuir
Баяннуур хот	Baynnur
Улаанцав	Ulaan Chab
Йенс Хегелер	Jens Hegeler
Антарктид далайн хав	Arctocephalus gazella
Галапагос далайн хав	Arctocephalus galapagoensis
Нью Жерси Нетс	Brooklyn Nets
Соне Алуко	Sone Aluko
Мөрөн	Môrôn
Шилийн Гол аймаг	Lega di Xilin Gol
Есүхэй баатар	Yesugei
Ян Кирхгофф	Jan Kirchhoff
Антони Модест	Anthony Modeste
Пьер-Мишель Ласогга	Pierre-Michel Lasogga
Сайрам	Sayram
Ачааллыг тэнцвэржүүлэх	Load balancing
Келвин Дэвис	Kelvin Davis
Осман Нури Топбаш	Osman Nuri Topbaş
Кооно Таканори	Takanori Kōno
Кайл О'Куин	Kyle O'Quinn
Харрисон Аффул	Harrison Afful
Бухарын хант улс	Khanato di Bukhara
Киргизийн парламент	Consiglio supremo del Kirghizistan
Хурган нуур	Hurgan nuur
Лабрадор нугас	Camptorhynchus labradorius
Санжак	Sangiaccato
Эльяким Мангала	Eliaquim Mangala
Ват Пхоу	Vat Phou
Ан-32	Antonov An-32
Програмистуудын өдөр	Giorno dei programmatori
Жей Родригес	Jay Rodriguez
Дебрецений тулалдаан	Battaglia di Debrecen
Үд (Тасеевын цутгал)	Čuna
Агаарын шүүлтүүр	Filtro dell'aria
Санах ойн хаягийн регистр	Memory Address Register
Импульс өргөний модуляц	Pulse-width modulation
Том Тибодо	Tom Thibodeau
Киренга	Kirenga
Шейху Куяте	Cheikhou Kouyaté
Фабрис Абриэль	Fabrice Abriel
Тужя	Tujia
BAe 146	British Aerospace BAe 146
Агуу хүчит Оз	Il grande e potente Oz
Антон Кушнир	Anton Kušnir
Ираклис Тессалоники (хөлбөмбөгийн баг)	Podosfairiki Anonymi Etaireia Iraklis Gymnastikos Syllogos Thessalonikis
Ламрим	Lam Rim
Наран шаршуу	Eophona migratoria
Алексис Пентюро	Alexis Pinturault
Пловдивийн Ботев	Profesionalen Futbolen Klub Botev Plovdiv
Тул	Hucho taimen
Акна	Lago Akna
Гүн цэнхэр тэнгис (1999 оны кино)	Blu profondo
Брандтын сарьсан багваахай	Myotis brandti
1990-1991 оны НБА-гийн улирал	National Basketball Association 1990-1991
Австрали улс Олимпод	Australia ai Giochi olimpici
Карибын далайн хав	Monachus tropicalis
Тони Дуглас	Toney Douglas
Худалдаа	Commercio
Гай Бэрримэн	Guy Berryman
Азийн онгорхой хошуут өрөвтас	Anastomus oscitans
Роберто Фирмино	Roberto Firmino
1969-1970 оны НБА-гийн улирал	National Basketball Association 1969-1970
Юйшү тойрог	Prefettura autonoma tibetana di Yushu
Хэтбуха	Kitbuga Noyan
Согсоот гоорбис	Pernis ptilorhynchus
Жэй-Жэй Окоча	Jay-Jay Okocha
Хиагт аймаг	Kjachtinskij rajon
Ан-30	Antonov An-30
Иррационал тоо	Numero irrazionale
Үндсэн таталт	Stacco da terra
Killzone 2	Killzone 2
Тарик Эльюнусси	Tarik Elyounoussi
I.N.V.U.	I.N.V.U.
Дорелл Райт	Dorell Wright
Бост нуур	Lago Bosten
Грег Монро	Greg Monroe
Никола Миротич	Nikola Mirotić
1900 оны олимпийн крокетын тэмцээн	Croquet ai Giochi della II Olimpiade
Серик Сапиев	Serik Sapiev
Perfetti Van Melle	Perfetti Van Melle
Роберт Кочарян	Ṙobert K'očaryan
Кюүмарү	Type 90
Ту-114	Tupolev Tu-114
АНТ-40/СБ/ПС-40/ПС-41	Tupolev ANT-40
ТУ-4	Tupolev Tu-4
ТУ-28/ТУ-128П	Tupolev Tu-28
ТУ-142	Tupolev Tu-142
ТУ-2	Tupolev Tu-2
АНТ-6/ТБ-3	Tupolev ANT-6
Каземиро	Casemiro
ТУ-334	Tupolev Tu-334
Оскар Гарсиа	Óscar Boniek García
Баянхар уул	Bayan Kara Ula
Союз-2	Sojuz 2
Залаат бүргэд	Morphnus guianensis
Тагнын нуруу	Monti Tannu-Ola
Байшинтайн район	Gorodovikovskij rajon
Лиди	Lidia
Александр Попов	Aleksandr Popov
Чи-Ха танк	Type 97 Chi-Ha
Александер Мадлунг	Alexander Madlung
Жру Холидей	Jrue Holiday
Киргизийн хөлбөмбөгийн холбоо	Federazione calcistica del Kirghizistan
Дамиан Лиллард	Damian Lillard
Ла-Платын далайн гахай	Pontoporia blainvillei
Агаарын бөмбөлгөөр 5 долоо хоног аялсан нь	Cinque settimane in pallone
Зүрхэн судар	Sutra del Cuore
Харсүүлт цахлай	Larus crassirostris
Сэйгийн хууль	Legge di Say
Умардын далайн заан	Mirounga angustirostris
Хавч идэгч далайн хав	Lobodon carcinophagus
Өмнө Хуанхэ	Sud Hwanghae
Шинэ Зеландын кака	Nestor meridionalis
Viva la Vida	Viva la vida (Coldplay)
Туркийн нарс	Pinus brutia
Хусандай	Leccinum scabrum
Убонрачатхани аймаг	Provincia di Ubon Ratchathani
Леонид Кучма	Leonid Kučma
Жеймс Форрест	James Forrest (calciatore 1991)
Ногайн Орд	Orda Nogai
1979-1980 оны НБА-гийн улирал	National Basketball Association 1979-1980
Олимпийн бобслейн тэмцээн	Bob ai Giochi olimpici
Зүүнгарын хаалга	Porta di Zungaria
Патрик Окс	Patrick Ochs
Хийцийн инженерийн байгууламж	Ingegneria strutturale
Союз Т-9	Sojuz T-9
Риверслэй	Riversleigh
Gears of War	Gears of War
АНТ-9/ПС-9	Tupolev ANT-9
Ишии Хироши	Hiroshi Ishii
1961 оны жүдогийн дэлхийн аварга шалгаруулах тэмцээн	Campionati mondiali di judo maschile 1961
Хэрлэн гол	Hėrlėn
Гэрэлт ирээдүй	A Better Tomorrow (film 1986)
Омь	Om'
И-16	Polikarpov I-16
Хырдалан	Xırdalan
Штефан Айгнер	Stefan Aigner
Чойр	Čojr
Туул гол	Tuul Gol
Австралийн халуун орны ойн зүүн нөөц газар	Riserve della foresta pluviale centro orientale
Сан-Томе ба Принсипийн хөлбөмбөгийн үндэсний шигшээ баг	Nazionale di calcio di São Tomé e Príncipe
Волга Нижний Новгород	Futbol'nyj Klub Volga Nižnij Novgorod
Хималайн хажир	Gyps himalayensis
Багдадын батарей	Batteria di Baghdad
Софийн Славия	Profesionalen Futbolen Klub Slavija Sofija
Хуулийн жүжиг	Film giudiziario
Талас хот	Talas (Kirghizistan)
Харш хот	Karshi
Мотиваци	Motivazione (psicologia)
Агаарын спорт	Sport dell'aria
Тарвагатай тойрог	Prefettura di Tacheng
Хятад хороолол (1974 оны кино)	Chinatown (film)
Аргентины волейболын эрэгтэйчүүдийн үндэсний шигшээ баг	Nazionale di pallavolo maschile dell'Argentina
Квантуны Арми	Armata del Kwantung
Эх оронч (кино)	Il patriota
Ник Симмондс	Nick Symmonds
Мадагаскар нөмрөг бүргэд	Haliaeetus vociferoides
Хуанми	Juanmi Jiménez
Resistance: Burning Skies	Resistance: Burning Skies
Костас Манолас	Kōstas Manōlas
Кино (хамтлаг)	Kino (gruppo musicale sovietico)
Большевик арал	Isola Bolscevica
Тамын хүү II: Алтан арми	Hellboy: The Golden Army
Осакагийн их сургууль	Università di Osaka
Дорадус	Dourados
Контент-анализ	Analisi del contenuto
Арикленес Феррейра да Силва	Ariclenes da Silva Ferreira
Богд хан уул	Bogd Han uul
Филиппин нугас	Anas luzonica
1958 оны жүдогийн дэлхийн аварга шалгаруулах тэмцээн	Campionati mondiali di judo maschile 1958
Шар хошуут өрөвтас	Mycteria ibis
Тельма Луиз хоёр	Thelma & Louise
Хармай хот	Karamay
УАЗ	Ul'janovskij Avtomobil'nyj Zavod
Мансур Исаев	Mansur Isaev
Деко	Anderson Luís de Souza
Никола Вучевич	Nikola Vučević
Силос	Insilato
Лексус RX	Lexus RX
Guetta Blaster	Guetta Blaster
Силвио Мартинелло	Silvio Martinello
Олимпийн гимнастикийн тэмцээн	Ginnastica ai Giochi olimpici
Даниель Бём	Daniel Böhm
Маради	Maradi
Рикардо Родригес	Ricardo Rodríguez (calciatore)
Дариус Моррис	Darius Morris
Янн Зоммер	Yann Sommer
Жей Ар Смит	J.R. Smith
Жеймс Жонсон (сагсан бөмбөгчин)	James Johnson (cestista)
Зэд аймаг	Džidinskij rajon
Дрю Бэрримор	Drew Barrymore
Мачу Пикчу	Machu Picchu
Италийн хөлбөмбөгийн үндэсний шигшээ баг	Nazionale di calcio dell'Italia
Шилүүс	Lynx (zoologia)
Баянзаг	Bajanzag
Пурнулулу үндэсний хүрээлэн	Parco nazionale Purnululu
Mylo Xyloto	Mylo Xyloto
Гелат хийд	Monastero di Gelati
Нямбаярын Төгсцогт	Nyambayaryn Tögstsogt
Симон Шемпп	Simon Schempp
Тагнуул (кино)	La talpa (film 2011)
Наньжингийн их сургууль	Università di Nanchino
Хар бүс	Cintura nera
Үл хөдлөх хөрөнгө	Bene immobile
Абдельазиз Баррада	Abdelaziz Barrada
Абеба Арегави	Abeba Aregawi
Ойрд	Oirati
Ханс-Петер Пол	Hans-Peter Pohl
Вернер Маттле	Werner Mattle
Бруно Риси	Bruno Risi
Пулково нисэх онгоцны буудал	Aeroporto di San Pietroburgo-Pulkovo
Манас	Manas (poema)
Микатагахарагийн тулалдаан	Battaglia di Mikatagahara
Хулиан Сперони	Julián Speroni
Хөөмий	Canto armonico
Мобиком	Mobicom Corporation
Шкодран Мустафи	Shkodran Mustafi
Карл Марксын одон	Ordine di Karl Marx
Флориан Кляйн	Florian Klein
Ярра гол	Yarra
Хавайн далайн хав	Monachus schauinslandi
Атлас баавгай	Ursus arctos crowtheri
Боргио	Rapida
Хатан хааны үзэсгэлэнгийн барилга	Royal Exhibition Building
Хазар Ланкаран	Xəzər-Lənkəran Futbol Klubu
Ингэдэй	Ingoda
И-15	Polikarpov I-15
Версаче	Gianni Versace (azienda)
Давид Мендес да Силва	David Mendes da Silva
Өмнөд Сахалины арал	Prefettura di Karafuto
Зөөврийн тоглуулагч	Lettore MP3
Мэнзян	Mengjiang
Ким Ынь-гүк	Kim Un Guk
Аррон Аффлало	Arron Afflalo
Накажима Ки-27	Nakajima Ki-27
Эрик Френцель	Eric Frenzel
Карим Беллараби	Karim Bellarabi
Ник Янг	Nick Young
Эмиль Иёнссон	Emil Jönsson
Мохигийн тулалдаан	Battaglia di Mohi
Ом Юнь-чол	Om Yun-Chol
Аллан Макгрегор	Allan McGregor
Дрю Даути	Drew Doughty
Марко Русс	Marco Russ
Локийдийн хэрэг	Scandalo Lockheed
C гепатитын вирус	Hepatitis C virus
Alors on danse	Alors on danse
Артурын Шинэ жил	Il figlio di Babbo Natale
Де-факто	De facto
Улс орнууд хүн амын тоогоор	Stati per popolazione
Крис Мартин	Chris Martin
Санта Изабель арал	Santa Isabel (Isole Salomone)
Федерико Фернандес	Federico Fernández
Уилфрид Заха	Wilfried Zaha
Душан Тадич	Dušan Tadić
Берам Кайал	Beram Kayal
Уилсон Чендлер	Wilson Chandler
Натаниэл Клайн	Nathaniel Clyne
Торган Азар	Thorgan Hazard
Лука Россеттини	Luca Rossettini
Ираклий Цирекидзе	Irakli Tsirekidze
Зөв олон өнцөгт	Poligono regolare
Тейде үндэсний цэцэрлэгт хүрээлэн	Parco nazionale del Teide
Альберт Демченко	Al'bert Demčenko
Дурлах нас	Love Generation (serie televisiva)
Энес Кантер	Enes Kanter
