Naakaii Łizhiní Bikéyah	Africa
Náátsʼózídę́ę́ʼ toohjįʼ ndiigaii	Egretta eulophotes
Łóóʼtsoh (Ałtsʼáʼáztiin)	Balena (disambigua)
Dlǫ́ʼii łizhiní	Mustela nigripes
Wóláchííʼ yildeełí łizhin dóó łigaígíí	Tamandua
Lókʼaatah bisóodi	Potamochoerus larvatus
Hodíłchʼil tłʼízí	Capricornis sumatraensis
Hakʼaz Dineʼé Bikéyahdę́ę́ʼ tábąąstííntsoh	Eumetopias jubatus
Dziłtah dlǫ́ʼii	Mustela altaica
Naayééʼ tsídiitsoh	Dinornithidae
Atseełtsoii	Buteo jamaicensis
Tóniłhę́ęshii (dééł)	Grus americana
Naaltsoos Mormon Wolyéhígíí	Libro di Mormon
Dlǫ́ʼátah néʼéshjaaʼ	Athene cunicularia
Naʼashǫ́ʼii bijáád ádinígíí	Amphisbaenia
Naʼatłʼoʼii (chʼosh)	Embioptera
Dííłdzid yiyání	Staphylinidae
Tʼiisbáí	Populus tremuloides
Tłʼéeʼgo mágí	Aotidae
Tsʼíʼii jáádnézí	Tipulidae
Chʼil ditsʼozíłchííʼ	Nephelium lappaceum
Mágíłtsooí bináázhiní	Saimiri sciureus
Taʼneeskʼání	Melone di Cantalupo
Tsídiiłtsooí bitʼaʼ łizhinígíí	Spinus tristis
Tsʼíʼii noodǫ́zí	Aedes albopictus
Anaasází	Anasazi
Chʼééh digháhiitsoh	Chelonoidis niger
Yeenaʼałkǫ́ʼíłániichilí	Remipedia
Naʼnízhoozhí Bił Hahoodzo	Contea di McKinley
Mąʼii Deeshgiizh Bił Hahoodzo	Contea di Sandoval
Naatoohí Bił Hahoodzo	Contea di Cibola
Tábąąstííntsoh łikizhígíí	Phoca largha
Ooljééʼ yiikááʼ nandahí	Allunaggio
Toohjįʼ noołnahii yázhí	Butorides virescens
Báshdo	Barstow (California)
Łóóʼ hashkéhé bíchį́į́hnézí	Mitsukurina owstoni
Tłʼiishtsiiʼí (łóóʼ)	Channidae
Chéłchaaʼ bideeneezígíí	Dynastes hercules
Déłí	Grus canadensis
Tsétah chaaʼ	Aplodontia rufa
Sighóla	Socorro (Nuovo Messico)
Chéłchaaʼ disxǫsígíí	Buprestidae
Naalʼeełí dootłʼizhí	Anas discors
Béíyózhin	Paiute
Tsin naabąąs	Carro coperto
Tó Hasłeeh	Mancos
Dlǫ́tsʼósí łichííʼígíí	Galidia elegans
Jádídlǫ́ʼii	Troglodytes aedon
Tłʼohchintó	Hotevilla-Bacavi
Tséʼédǫ́ʼii	Muscidae
Dahsání dah Yikahjí Tsin Deigházhígíí	Hystricomorpha
Níyolgi naʼałkǫ́ʼígíí (tónteel tsídii)	Pelecanoides
Tsinaʼayąʼii biyázhí	Zoraptera
Tłʼízíʼilí	Capra d'Angora
Naatooh Sikʼaiʼí	Grants
Tsooʼtsʼiní (łóóʼ)	Osteoglossidae
Tsinaʼayąʼii	Isoptera
Náʼagéédí bíchį́į́h sǫʼ nahalinígíí	Condylura cristata
Naaléełchííʼ	Rhynchopsitta pachyrhyncha
Naaʼahóóhai disxǫsígíí	Lophophorus
Náhookǫsdę́ę́ʼ tsétah dibé	Ovis dalli
Naʼnízhoozhí	Gallup
Neeshchʼíínímazí	Nocciola
Łóóʼ binááʼtsohí	Priacanthidae
Tsisteeł bikʼosneezígíí	Chelidae
Kilim	Kilim
Ałtaʼneetsʼéhii	Xanthium
Wáláchíʼétah nahachagiichilí	Myrmecophilidae
Yáhashjool yił aheełtʼéhii	Eurypyga helias
Tsintah bisóoditsoh	Hylochoerus meinertzhageni
Zééjíjinii	Chauna torquata
Tóikałí	Artemisia frigida
Kááʼtsʼiní ditłʼooígíí	Chaetophractus
Naalkʼįhíchilí (bizaʼazis hólónígíí)	Acrobates pygmaeus
Dlǫ́ʼii yił aheełtʼéhii łibáhígíí	Herpestes edwardsii
Adijiłii yił aheełtʼéhí	Echinops telfairi
Łóóʼ hashkéhé bitseeneezígíí	Alopias vulpinus
Chį́į́shłigaií dóó Naalʼeełítsoh	Anserinae
Jádí biniiʼtsʼózí	Alcelaphus buselaphus
Tábąąh jádí	Kobus ellipsiprymnus
Jádí binááʼ dį́įʼii	Beatragus hunteri
Tó wónaanídę́ę́ʼ dlǫ́ʼáyázhí	Spermophilus citellus
Ásáí Dineʼé Bikéyahdę́ę́ʼ mąʼiitsoh	Canis lupus arabs
Dlǫ́iitsoh bíchį́į́hdzísgaiígíí	Paguma larvata
Aniłtʼánii yázhí	Psyllidae
Sǫʼ tsisteeł	Astrochelys radiata
Mąʼii dootłʼizhí	Bassariscus astutus
Táłkááʼ dilwoʼítsʼóóz	Hydrometridae
Łeʼesoołii (nahachaʼígíí)	Machilida
Tóidoozohii bidaaʼ łigaiígíí	Fulica
Chéłchaaʼtsoh	Dynastinae
Wódisxǫsí	Scutelleridae
Tsisteeł hashkéhé	Chelydridae
Naʼastsʼǫǫsí bizaʼazis hólóní	Antechinus
Tsídiidą́ą́ʼ	Phlox
Wóniłchxoní	Pentatomidae
Tsiikʼánii (tsídii)	Scopus umbretta
Nahatʼeʼii niłchxoní	Hypsiprymnodon moschatus
Náátsʼózídę́ę́ʼ tsiidootłʼizhii	Argusianus argus
Tábąąh bisóodiłchíiʼii	Potamochoerus porcus
Kéyah Dańlínídę́ę́ʼ naalʼeełí	Anas luzonica
Kézhoozhʼilí (tsin yigházhígíí)	Ctenodactylidae
Jádí bideeneezígíí	Oryx
Beehai	Apache Jicarilla
Tsísʼná náʼagéédígíí	Anthophorini
Mágíłbáhí	Cercopithecus mitis
Jaaʼditłʼoʼí naalkʼįhígíí (bizaʼazis hólónígíí)	Petauroides volans
Nahatʼeʼiitsoh yázhí	Thylogale
Séí tiníléítsoh	Varanus gouldii
Dlǫ́ʼii yił aheełtʼéhítsʼózí	Galerella sanguinea
Tółání	Laguna (Nuovo Messico)
Łóóʼ bigháhootʼíní	Ambassidae
Tónhidigaii	Silverton (Colorado)
Chʼosh áłtʼą́ą́ʼígíí	Lygaeidae
Dééłtsoh	Ardeotis kori
Shádiʼááhdę́ę́ʼ dahsání	Coendou prehensilis
Nahatʼeʼiitsoh Danilínígíí	Macropodiformes
Dlǫ́ʼii bitseenézí	Mustela frenata
Kéyahígíí nidineesdzaʼ	Dust Bowl
Nahachagii dootłʼizhí	Tettigoniidae
Tsé Bíyah Aniiʼáhí	Parco nazionale storico della cultura Chaco
Nahatʼeʼiitsoh Bikéyahdę́ę́ʼ biyázhí neiyéhé	Trichosurus vulpecula
Tsísʼnádą́ą́ʼ	Gaillardia
Jeeshóóʼ ałchozhígíí	Gypohierax angolensis
Łóóʼ adiłdoní	Toxotidae
Dlǫ́ʼii yił aheełtʼéhii łitsxooígíí	Cynictis penicillata
Naakaii Łizhiní Bikéyahdę́ę́ʼ nahatʼeʼii	Pedetes capensis
Táłtłʼááh chʼosh chʼééh digháhii bitsʼaʼ ádinígíí	Nudibranchia
Tiníléítsoh noodǫ́zígíí	Varanus niloticus
Naʼashǫ́ʼii bideewozhii	Uromastyx
Chʼał ntsxaaígíí	Conraua goliath
Naalʼeełí (bílaʼashdlaʼii bilį́į́ʼ)	Anas platyrhynchos domesticus
Yáhashjool	Botaurus lentiginosus
Dlǫ́ʼii yił aheełtʼéhii yázhí	Helogale parvula
Nahatʼeʼiitsoh Bikéyahdę́ę́ʼ tábąąstííntsoh	Neophoca cinerea
Mąʼiiłtsooí yázhí	Vulpes macrotis
Gałbáhí	Sylvilagus
Tsékááʼgóó naagháhii (chʼosh)	Mantophasmatodea
Tłʼohtahilzhahí	Cariamidae
Táłtłʼááh tsxilghááhtsoh	Cryptobranchidae
Dibé dághaaʼígíí	Capricornis crispus
Chʼééh digháhii bitsiiʼntsxaaígíí	Platysternon megacephalum
Tsékʼi naʼałkǫ́ʼii	Galemys pyrenaicus
Kéyah Dańlínídę́ę́ʼ dzeeh dóó bįįh	Rusa
Naʼastsʼǫǫsítsoh (chʼosh yildeełígíí)	Solenodon paradoxus
Chʼagii	Agelaius phoeniceus
Łéʼétsoh diwozhí	Echinosorex gymnura
Łéʼétsoh bizaʼazis hólóní	Dasyuroides byrnei
Dlǫ́ʼiitsoh noodǫ́zígíí	Hemigalus derbyanus
Tábąąstííntsoh łizhin dóó łigaiígíí	Histriophoca fasciata
Jeeshóóʼ bitsiiłgaiígíí	Trigonoceps occipitalis
Tábąądijádí	Charadrius vociferus
Shádiʼááhdę́ę́ʼ niłchiis	Galictis
Naʼazísí	Geomyidae
Łeeyiʼ chʼał dichʼízhí	Rhinophrynus dorsalis
Táłtłʼááh naatʼáʼii	Dactylopteridae
Naakaii Dootłʼizhí Dabikéyah	Asia meridionale
Ńdaʼatʼaałii bideeʼ dahólónígíí	Pecora (infraordine)
Naaldlooshii	Quadrupede
Kinteel (Yootó Hahoodzo)	Aztec
Néʼétsah azeeʼ	Conyza canadensis
Atsá diłhiłígíí	Ictinaetus malayensis
Ąąʼąʼii dootłʼizhígíí	Cissa chinensis
Bisóodi dághaaʼígíí	Sus barbatus
Iichʼąhii biyázhí	Aleyrodidae
Kin Noodǫ́ǫ́z	Bernalillo
Hashtłʼishdi tádíʼnéehii	Oxudercinae
Tsiikʼánii (łóóʼ ooshgę́ęzhii)	Rhinobatidae
Mágí biniiłgaígíí	Pithecia pithecia
Wónaʼałtéhii	Asilidae
Tłʼoh azihii	Ephedra
Kʼaalógii bitʼaʼ disxǫsgo łikizhígíí	Riodinidae
Tiníléítsoh bikʼosnézí	Varanus griseus
Shádiʼááhdę́ę́ʼ gahniiʼí ntsxaaígíí	Dolichotis
Łéʼétsoh bitseetłʼooígíí	Petromus typicus
Tsídii bizééʼ naashchʼąąʼí	Tragopan
Tábąąsdísíłbáí	Limnodromus
Dilzhę́ʼii	Cyanocitta stelleri
Mágí naashchʼąąʼígíí	Pygathrix nemaeus
Łeeyiʼ bitiiní	Arvicolinae
Atsáłbáí	Falco mexicanus
Tsʼánídílzhiʼí	Aphelocoma californica
Iichʼąh	Convulsione
Kiisʼáanii	Pueblo (popolo)
Dlǫ́ʼii noodǫ́zígíí	Poecilogale albinucha
Tiníléítsoh dootłʼizhígíí	Varanus prasinus
Yáázhłání (naaldlooshii)	Tenrec ecaudatus
Łéʼétsoh yił aheełtʼéhii	Octodontidae
Tábąąh łéʼétsoh	Hydromys chrysogaster
Ghą́ą́ʼdiʼilii (tsin yigházhígíí)	Lophiomys imhausi
Lókʼaaʼ yigházhígíí	Thryonomys
Tsídii bitʼaʼ dah adadootłʼizhígíí	Polyplectron
Dichin	Inedia
Chį́į́hʼadeeʼii (łóóʼ)	Polyodontidae
Hazéíntsxaaígíí	Ratufa
Kéyah Dańlínídę́ę́ʼ bisóodi bizęęs hastání	Sus cebifrons
Chąąneiłmaasii	Scarabeo stercorario
Chʼałniiʼí (łóóʼ)	Batrachoididae
Dah Naatʼaʼí Bééhoʼdílzin	Pledge of Allegiance
Tó bichʼosh (tsiiyaago naʼałkǫ́ʼígíí)	Notonectidae
Tónteel táshchozhii	Sterninae
Naʼastsʼǫǫsí noodǫ́zígíí	Lemniscomys
Dóliiłchííʼ	Sialia mexicana
Łóóʼ binááʼ ádiní	Amblyopsidae
Naabiʼání	Bloomfield (Nuovo Messico)
Mágí bichį́į́łgaígíí	Cercopithecus ascanius
Tábąąh chʼosh	Saldidae
Naakaii Bikéyahdę́ę́ʼ bįįh yázhí	Mazama
Naʼashǫ́ʼii dootłʼizhí (naaldeehii)	Crotaphytus collaris
Naʼashǫ́ʼiiłbáhí	Dipsosaurus dorsalis
Dlǫ́tsʼósí noodǫ́zígíí	Galidictis grandidieri
Łéʼétsoh gahjaaʼígíí	Hypogeomys antimena
Chʼoshtsoh bíláshgaanʼilí	Kiwa hirsuta
Anáʼálwoʼ:Bee hadítʼéhígíí	Aiuto:Aiuto
Moháábii dinéʼiʼ	Mohave
Hodíílid	Dolores (Colorado)
Néʼéshjaaʼkálii	Micrathene whitneyi
Tsídii bitʼaʼ hózhóón	Paradisaea (zoologia)
Tiníléítsoh łikizhígíí	Varanus giganteus
Tiníléítsoh bíchį́į́h dikʼání	Varanus albigularis
Chʼiyíítʼogii	Tyrannus
Dloziłgaii	Tamiasciurus
Tsísʼná dootłʼizhí	Chrysididae
Halchíítah	Deserto Dipinto (Stati Uniti d'America)
Wóósitsʼílí	Cimex lectularius
Tsʼahgi naalnoodí	Sceloporus graciosus
Łéʼétsoh binááʼ ádiní	Spalax (genere)
Dlǫ́ʼiitsoh bizééʼ noodǫ́zí	Viverra tangalunga
Jaaʼabaní	Microchiroptera
Wóláchííʼ yildeełí	Vermilingua
Hastiin Chʼil Haajiní (Manuelito)	Manuelito
Dlozishzhiin	Sciurus aberti
Tó Sido Háálį́	Pagosa Springs
Tó Diłhił Biih Yílį́	Snowflake (Arizona)
Yoołgai (Hoozdoh Hahoodzo)	Superior (Arizona)
Tsé Noodǫ́ǫ́z	Springerville
Kin Łání (Dibé Nitsaa Hahoodzo)	Durango (Colorado)
Tségháhoodzání	Window Rock
Tsé Yaatóhí	Cortez (Colorado)
Tótaʼ	Farmington (Nuovo Messico)
Tó Naneesdizí	Tuba City
Tséhootsooí	Fort Defiance
Chʼínílį́	Chinle
Lókʼaaʼdeeshjin	Keams Canyon
Tséyiʼ (Chʼínílį́įgiʼígíí)	Canyon de Chelly
Chʼoshtsoh bíláshgaantsohí (tónteelgiʼígíí)	Nephropidae
Tábąąstííntsoh bighaaʼ díłchʼilígíí	Arctocephalinae
Dlǫ́ʼiiłtsooí	Martes melampus
Tsísʼnáłtsooí	Vespula
Azeeʼ hókánii łibáhígíí	Sonchus asper
Jélii łóóʼ daʼhólzhaʼígíí	Salpida
Gólízhii binághah dah łigaiígíí	Mephitis macroura
Dloziłbáhí	Sciurus griseus
Bikétłʼááh Hoolzhólígíí	Tylopoda
Tǫ́ʼgaaʼ	Cochiti
Oozéí Hasáanii	Old Oraibi
Táłtłʼááh séigoʼ bitsʼaʼígíí	Limulus polyphemus
Nááʼnoodǫ́ǫzii	Thlaspi
Tóidoozohii dootłʼizhígíí	Porphyrio
Jáád neishoodítsʼóóz	Ichneumonidae
Bitsiichįįshgahí	Nucifraga columbiana
Naʼashǫ́ʼii naatʼaʼí	Draco (zoologia)
Gólízhii bíchį́į́h tʼáá łichíiʼii	Conepatus
Iichʼąhii naashchʼąąʼígíí	Chrysiridia rhipheus
Wóóseetsʼiniiniłhiní	Rhaphidophoridae
Biniiʼnoodǫ́zí (tsin yigázhígíí)	Lagostomus maximus
Tsísʼnátsoh diłhiłígíí	Xylocopa
Shádiʼááhdę́ę́ʼ chʼoshtsoh bíláshgaantsohí	Parastacidae
Zábąąhnteelii (łóóʼ ooshgę́ęzhii)	Rhina ancylostoma
Sílátsoh (chʼil)	Rudbeckia laciniata
Gahjaaʼí bitseeneezígíí	Lagidium
Tłʼiish kʼaaʼ	Racer
Naaldlooshii Bikéshgaan Dahólónígíí	Ungulati
Nóódaʼí	Ute (popolo)
Tó Dínéeshzheeʼ	Kayenta
Táłkááʼ dilwoʼí yázhí	Veliidae
Néʼézhiin	Sphyrapicus nuchalis
Dlǫ́ʼii yił aheełtʼéhii diłhiłígíí	Galerella pulverulenta
Chʼosh bitsʼaʼ doolghasígíí	Pectinidae
Hashkʼaan bichʼosh	Prodoxidae
Tádídíín yiyání łizhinígíí	Timarcha
Niʼbéshjah	Amorpha
Tsídii bidaatsoh naashchʼąąʼí	Ramphastidae
Chʼał bikéshgaan hólóní	Xenopus
Tó bichʼosh (ałchozhígíí)	Corixidae
Nahashchʼidí yił aheełtʼéhii yázhí	Melogale
Dáánézí (łóóʼ)	Centriscidae
Tłʼiish bichóhí	Crotalus cerastes
Tsékʼi yaʼiiʼáhii	Manduca sexta
Táłkááʼ sikaadí	Cerastium arvense
Táłtłʼááh chʼosh chʼééh digháhii bitsiiʼ dikʼání	Cephalaspidea
Atʼaʼ éljołí nahalinígíí (táłtłʼááh chʼosh)	Sabellidae
Tʼááłáhági átʼéego:Bééshbichʼahí	Categoria:Germania
Tʼááłáhági átʼéego:Wááshindoon bikéyah ałhidadiidzooígíí	Categoria:Stati Uniti d'America
Táłtłʼááh kʼaaʼ (łóóʼ)	Fistularia
Tʼááłáhági átʼéego:Dibé diníí bikéyah	Categoria:Spagna
Tʼááłáhági átʼéego:Naakaii Bikéyah	Categoria:Messico
Wóódeʼełchíhii	Coreidae
Naʼashǫ́ʼii diwozhígíí	Smaug giganteus
Chʼóyáázh nahalinígíí (táłtłʼááh chʼosh)	Spirobranchus giganteus
Naatsédlózii	Geococcyx
Tʼááłáhági átʼéego:Bidił daazdoígíí dóó daʼałtʼoʼígíí	Categoria:Mammiferi
Tʼááłáhági átʼéego:Naaldlooshii dadichʼízhii	Categoria:Rettili
Tʼááłáhági átʼéego:Biyáázh Tsʼǫʼasánígíí	Categoria:Anfibi
Tʼááłáhági átʼéego:Tsídii	Categoria:Uccelli
Tʼááłáhági átʼéego:Chʼosh doo yitʼíinii dláádí dóó Ábishjaaʼ	Categoria:Fungi
Tʼááłáhági átʼéego:Chʼil	Categoria:Piante
Tʼááłáhági átʼéego:Nátʼą́ą́ʼ náháneʼ	Categoria:Storia
Tʼááłáhági átʼéego:Naʼalkaah	Categoria:Scienza
Tsétaʼkin	San Ildefonso Pueblo
Góóhníinii	Havasupai
Azeeʼ ndootʼeezhítsoh	Monarda fistulosa
Tsísʼná disxǫsígíí	Euglossini
Łóóʼtsoh bizábąąh shiyishí	Eubalaena
Tʼiis Názbąs	Teec Nos Pos
Kiisʼáanii Naakáí yikʼéʼ daʼdéísdlį́į́h	Rivolta Pueblo
Tsin bizęęs	Polyporus
Tó hájiiloh	Santo Domingo Pueblo
Naashashí (Yootó Hahoodzo)	Santa Clara Pueblo
Táłtłʼááh chʼosh chʼééh digháhii bikeeʼ nteelígíí	Naticidae
Aniłtʼánii łibáhígíí	Nabidae
Wóótsʼóóz	Alydidae
Jádító	Jeddito
Iichʼąhii	Falena
Chʼoshtsoh yázhí bíláshgaantsohí	Galatheidae
Roman dinéʼiʼ	Civiltà romana
Naadą́ą́ʼ bichʼosh	Diabrotica virgifera virgifera
Dlodziłgai bichʼil	Ipomopsis aggregata
Azeeʼ ndootʼeezhí	Monarda punctata
Dziłíjiin	Black Mesa (Arizona)
Naabeehó	Riserva Navajo
Chʼosh ałchozhii (iichʼąhii)	Tarma
Wóóchį́į́hnézí	Fulgoridae
Anaashashi dinéʼiʼ	Tewa
Tʼááłáhági átʼéego:Ałtsʼáʼáztiin	Categoria:Pagine di disambiguazione
Tsintah bįįhchilí	Tragulus
Tʼiistsʼóóz	Populus angustifolia
Naatʼáanii Nééz	Shiprock
Juan de Oñate	Juan de Oñate
Hastiin Antonio de Espejo	Antonio de Espejo
Gad diltáłii	Juniperus deppeana
Tsʼah	Artemisia tridentata
Tłʼoh Łikizhí	Tesuque Pueblo
Dibé łizhiní dinéʼiʼ	San Felipe Pueblo
Dził Łigaii (Dibé Nitsaa Hahoodzo)	Montagne San Juan
Tʼiistsʼóóz Ńdeeshgizh	Crownpoint
Naashtʼézhí (Yootó Hahoodzo)	Zuni Pueblo
Tséchʼil	Quercus gambelii
Ndilnaʼii	Folivora
Tsísʼnáyázhí	Halictidae
Oozéí Hayázhí	Moenkopi
Bíina	Ignacio
Tsé Dootłʼizh (Hoozdoh Hahoodzo)	Peridot (Arizona)
Dą́ʼáchaan	Ustilago
Wóláchííʼ azeeʼ	Dyssodia
Nátʼoh Dził	Altopiano del Kaibab
Kin Dootłʼizhí	Towaoc
Wóótʼą́hí	Aradidae
Woodiniih azeeʼ (chʼil)	Thelesperma
Íijeehí	Lappula
Biʼééʼ dootłʼizhgo disxǫsígíí	Pharomachrus
Tʼááłáhági átʼéego:Stubs	Categoria:Stub
Tʼááłáhági átʼéego:Chidí naatʼaʼí	Categoria:Aeromobili
Bee álnééhí:User uk-2	Template:Utente uk-2
Kin Łichííʼ (Yootó Hahoodzo)	San Juan Pueblo
Tó bichʼosh (dichʼízhígíí)	Gelastocoridae
Chʼóshgai (dził)	Montagne Chuska
Tónteel zhį́ʼii	Phalacrocoracidae
Niłtsínii bikétłʼóól dijoolí (daadánígíí)	Brassica rapa rapa
Tsídii bitseeʼ naashchʼąąʼí	Pavo
Bee álnééhí:Tl	Template:Tl
Tʼááłáhági átʼéego:Bee Hazʼáanii	Categoria:Diritto
Tʼááłáhági átʼéego:Kéyah daʼnaaznilígíí dóó kéyah biłhaʼdaʼhaasdzoígíí	Categoria:Nazioni
Wikiibíídiiya:Dahwéetʼaahígíí	Wikipedia:Amministratori
Wikiibíídiiya:Botígíí beehazʼą́ąnii	Wikipedia:Bot
Ííjip	Egitto
Bee álnééhí:Bot	Template:Bot
Deeteel Bikéyah	Canada
Wikiibíídiiya:Baa haneʼ	Wikipedia:Sala stampa/Wikipedia
Tʼááłáhági átʼéego:Béésh bichʼahníí bikéyah	Categoria:Stati dell'Europa
Tʼááłáhági átʼéego:Choyoołʼįįhí Bizaad	Categoria:Utenti per lingua
Anáʼálwoʼ:Wikiibíídiiya beehazʼą́ąnii	Wikipedia:Raccomandazioni e linee guida
Tséłnííʼjí (chʼil)	Adiantum capillus-veneris
Bee álnééhí:Softredirect	Template:Soft redirect
Chʼosh chʼééh digháhii	Gastropoda
Tʼááłáhági átʼéego:Saad	Categoria:Lingue
Wikiibíídiiya:General disclaimer	Wikipedia:Avvertenze generali
Tʼááłáhági átʼéego:Noindexed pages	Categoria:Pagine non indicizzate
Tʼááłáhági átʼéego:Living people	Categoria:Persone viventi
Tʼááłáhági átʼéego:Béésh bee akʼeʼelchíhí tʼáá bí nitsékeesígíí	Categoria:Applicazioni dell'informatica
Bee álnééhí:Bots	Template:Bots
Tʼááłáhági átʼéego:Naaltsoos	Categoria:Libro
Bee álnééhí:Wikisource	Template:Wikisource
Bee álnééhí:Babel	Template:Babel
Bee álnééhí:Commons	Template:Commons
Bee álnééhí:Reflist	Template:References
Tábąąh mąʼii bíchį́į́h nineezí	Coati
Bee álnééhí:Stub	Template:S
Bee álnééhí:User af-1	Template:Utente af-1
Bee álnééhí:User als-1	Template:Utente als-1
Bee álnééhí:User ar-1	Template:Utente ar-1
Bee álnééhí:User az	Template:Utente az
Bee álnééhí:User eo-1	Template:Utente eo-1
Bee álnééhí:See also	Template:Vedi anche
Bee álnééhí:User da-2	Template:Utente da-2
Bee álnééhí:User da	Template:Utente da
Bee álnééhí:User ca-1	Template:Utente ca-1
Bee álnééhí:User be-2	Template:Utente be-2
Bee álnééhí:User da-1	Template:Utente da-1
Bee álnééhí:User cs-1	Template:Utente cs-1
Bee álnééhí:User bg-1	Template:Utente bg-1
Bee álnééhí:User eo-3	Template:Utente eo-3
Bee álnééhí:User de	Template:Utente de
Bee álnééhí:User de-1	Template:Utente de-1
Bee álnééhí:User eu-4	Template:Utente eu-4
Bee álnééhí:User eu	Template:Utente eu
Bee álnééhí:User et-1	Template:Utente et-1
Bee álnééhí:User el	Template:Utente el
Bee álnééhí:User es	Template:Utente es
Bee álnééhí:User de-3	Template:Utente de-3
Bee álnééhí:User en-3	Template:Utente en-3
Bee álnééhí:User el-1	Template:Utente el-1
Bee álnééhí:User en-1	Template:Utente en-1
Bee álnééhí:User en-2	Template:Utente en-2
Bee álnééhí:User eo-2	Template:Utente eo-2
Bee álnééhí:User en-4	Template:Utente en-4
Bee álnééhí:User fi	Template:Utente fi
Bee álnééhí:User en-0	Template:Utente en-0
Bee álnééhí:User es-4	Template:Utente es-4
Bee álnééhí:User en	Template:Utente en
Bee álnééhí:User de-2	Template:Utente de-2
Bee álnééhí:User es-1	Template:Utente es-1
Bee álnééhí:User fa	Template:Utente fa
Bee álnééhí:User fi-1	Template:Utente fi-1
Bee álnééhí:User fr-1	Template:Utente fr-1
Bee álnééhí:User ia-2	Template:Utente ia-2
Bee álnééhí:User hi-1	Template:Utente hi-1
Bee álnééhí:User hr	Template:Utente hr
Bee álnééhí:User he-2	Template:Utente he-2
Bee álnééhí:User he-1	Template:Utente he-1
Bee álnééhí:User hu	Template:Utente hu
Bee álnééhí:User id-3	Template:Utente id-3
Bee álnééhí:User io-3	Template:Utente io-3
Bee álnééhí:User it-3	Template:Utente it-3
Bee álnééhí:User grc-1	Template:Utente grc-1
Bee álnééhí:User ja-4	Template:Utente ja-4
Bee álnééhí:User sk	Template:Utente sk
Bee álnééhí:User tr-2	Template:Utente tr-2
Bee álnééhí:User fr-2	Template:Utente fr-2
Bee álnééhí:User tr	Template:Utente tr
Bee álnééhí:User ja	Template:Utente ja
Bee álnééhí:User ja-1	Template:Utente ja-1
Bee álnééhí:User it-1	Template:Utente it-1
Bee álnééhí:User hr-1	Template:Utente hr-1
Bee álnééhí:User fr	Template:Utente fr
Bee álnééhí:User he	Template:Utente he
Tʼááłáhági átʼéego:Chʼosh bijáád hastánígíí	Categoria:Insetti
Tʼááłáhági átʼéego:Choyoołʼįįhí uk	Categoria:Utenti uk
Tʼááłáhági átʼéego:Choyoołʼįįhí uk-N	Categoria:Utenti uk-M
Tʼááłáhági átʼéego:Chʼiyáán	Categoria:Alimenti
Bee álnééhí:User sv	Template:Utente sv
Bee álnééhí:User it	Template:Utente it
Bee álnééhí:User uk	Template:Utente uk
Bee álnééhí:User es-2	Template:Utente es-2
Tʼááłáhági átʼéego:Choyoołʼįįhí ms	Categoria:Utenti ms
Tʼááłáhági átʼéego:Choyoołʼįįhí fr-1	Categoria:Utenti fr-1
Bee álnééhí:Image label	Template:Etichetta immagine
Bee álnééhí:User ms	Template:Utente ms
Tʼááłáhági átʼéego:Atsá dóó Giní Ndahalinígíí	Categoria:Falconiformes
Tʼááłáhági átʼéego:Choyoołʼįįhí en-4	Categoria:Utenti en-4
Tʼááłáhági átʼéego:Choyoołʼįįhí en	Categoria:Utenti en
Tʼááłáhági átʼéego:Choyoołʼįįhí zh	Categoria:Utenti zh
Tʼááłáhági átʼéego:Choyoołʼįįhí zh-N	Categoria:Utenti zh-M
Tʼááłáhági átʼéego:Choyoołʼįįhí en-2	Categoria:Utenti en-2
Bee álnééhí:User eo	Template:Utente eo
Bee álnééhí:User zh	Template:Utente zh
Bee álnééhí:User ru-4	Template:Utente ru-4
Bee álnééhí:User sr	Template:Utente sr
Bee álnééhí:GeoTemplate	Template:GeoTemplate
Bee álnééhí:User nl-1	Template:Utente nl-1
Bee álnééhí:User nl-2	Template:Utente nl-2
Tʼááłáhági átʼéego:Choyoołʼįįhí hi	Categoria:Utenti hi
Tʼááłáhági átʼéego:Choyoołʼįįhí ms-N	Categoria:Utenti ms-M
Tʼááłáhági átʼéego:Dził	Categoria:Montagne
Bee álnééhí:User ru	Template:Utente ru
Tʼááłáhági átʼéego:Kéyah yádiłhił biiʼ dahólónígíí	Categoria:Pianeti del sistema solare
Tʼááłáhági átʼéego:Kéyah dah siʼánígíí	Categoria:America
Tʼááłáhági átʼéego:Choyoołʼįįhí bizaad-Templates	Categoria:Template Babel
Bee álnééhí:Archive	Template:Archivio
Bee álnééhí:User eo-4	Template:Utente eo-4
Bee álnééhí:PD-US-gov	Template:PD-USGov
Tʼááłáhági átʼéego:Siláołtsooí	Categoria:Forze armate
Tʼááłáhági átʼéego:Naʼashǫ́ʼii	Categoria:Sauri
Bee álnééhí:User pt-1	Template:Utente pt-1
Bee álnééhí:Pt elements	Template:Tavola periodica
Bee álnééhí:User pl	Template:Utente pl
Bee álnééhí:User nl	Template:Utente nl
Bee álnééhí:User no-2	Template:Utente no-2
Bee álnééhí:Image label end	Template:Etichetta immagine fine
Bee álnééhí:Userpage	Template:Pagina utente
Bee álnééhí:Emergency-bot-shutoff	Template:Pulsante di emergenza bot
Bee álnééhí:User pl-1	Template:Utente pl-1
Bee álnééhí:Image label small	Template:Etichetta immagine piccola
