Afríka	Africa
Blákarpi	Polyprion americanus
Lena Philipsson	Lena Philipsson
Anja Rubik	Anja Rubik
470 (kæna)	470 (natante)
Abbie Cornish	Abbie Cornish
Anna Belknap	Anna Belknap
Suðurkeilan	Cono Sud
Fellibylurinn Gustav	Uragano Gustav
Jóhanna af Valois	Giovanna di Valois (1464-1505)
Alexandra Marinina	Aleksandra Marinina
Gnómon	Gnomone
Kólumkilli	Columba di Iona
Taílenskt letur	Alfabeto thai
Stymfalsfuglar	Uccelli del lago Stinfalo
Olivia Munn	Olivia Munn
Beau Garrett	Beau Garrett
478 f.Kr.	478 a.C.
Sextos Empeirikos	Sesto Empirico
Keltneskar þjóðir	Nazioni celtiche
Formerkisfall	Funzione segno
Kay Panabaker	Kay Panabaker
Paget Brewster	Paget Brewster
Adeliza af Louvain	Adeliza di Lovanio
Linda Maria Baros	Linda Maria Baros
Elisabeth Harnois	Elisabeth Harnois
Larisa Oleynik	Larisa Oleynik
Tónik	Acqua tonica
Unnur Birna Vilhjálmsdóttir	Unnur Birna Vilhjálmsdóttir
Donna Leon	Donna Leon
Tress MacNeille	Tress MacNeille
Moira Kelly	Moira Kelly
Sameignarstefna	Collettivismo
Kvarsít	Quarzite
Alexander 2. Skotakonungur	Alessandro II di Scozia
Klipping (kvikmyndagerð)	Montaggio
Sjökonungaríkið	Eptarchia anglosassone
499 f.Kr.	499 a.C.
49er	49er
Minnesota-háskóli	Università del Minnesota
Borgarljósin	Luci della città
Hyrnuskeljar	Scaphopoda
Jason	Giasone
Simon Pegg	Simon Pegg
Hermesarstafurinn	Caduceo
Hafsbotnsskorpa	Crosta oceanica
Mangystáfylki	Oblys di Mañğystau
Moon Bloodgood	Moon Bloodgood
Molly Shannon	Molly Shannon
Bambi	Bambi (disambigua)
Lily Donaldson	Lily Donaldson
Phou Bia	Phou Bia
Davíð 2. Skotakonungur	Davide II di Scozia
Alek Wek	Alek Wek
Málgjörð	Teoria degli atti linguistici
VSÍ	VSI
Nólsey	Nólsoy
Vaurien	Vaurien
Kári	Kåre
Y (bær)	Y (Francia)
500 f.Kr.	500 a.C.
Limp Bizkit	Limp Bizkit
Joan Rivers	Joan Rivers
505 (kæna)	505 (natante)
Brjóstmynd	Busto (scultura)
Antígóna (Sófókles)	Antigone (Sofocle)
Ferit Orhan Pamuk	Orhan Pamuk
509 f.Kr.	509 a.C.
Kambönd	Lophodytes cucullatus
Söluviðurkenning fyrir tónlist	Certificazione delle vendite di dischi musicali
Brad Friedel	Brad Friedel
Norðurland eystra	Norðurland eystra
Lesitín	Lecitina
Handklæðisdagur	Towel Day
Mínos (Platon)	Minosse (dialogo)
Sanaa Lathan	Sanaa Lathan
Evrópukeppnin í knattspyrnu 2008	Campionato europeo di calcio 2008
Efsta deild karla í knattspyrnu 1935	Meistaraflokkur 1935
OMIM	Mendelian Inheritance in Man
Hummus	Hummus
Lambda-reikningur	Lambda calcolo
Tamíl Ílam	Tamil Eelam
Homininae	Homininae
Peisistratos	Pisistrato
Andhverfanlegt fylki	Matrice invertibile
Hekatajos	Ecateo di Mileto
Bóholhaf	Mar di Bohol
Hera	HERA
Zemfira	Zemfira
Flæmingjar (þjóðflokkur)	Fiamminghi
IANA	Internet Assigned Numbers Authority
Leah Remini	Leah Remini
Judy Reyes	Judy Reyes
Diane Neal	Diane Neal
Meja	Meja
Raquel Zimmermann	Raquel Zimmermann
Chasey Lain	Chasey Lain
Bertrade de Montfort	Bertrada di Montfort
Klettafjallageit	Oreamnos americanus
Natalie Maines	Natalie Maines
Kathleen Hanna	Kathleen Hanna
Sarah Lancaster	Sarah Lancaster
Jane Jensen	Jane Jensen (scrittrice)
Patricia Churchland	Patricia Churchland
Foxy Brown	Foxy Brown (rapper)
Rena Sofer	Rena Sofer
Mary Ainsworth	Mary Ainsworth
Meredith Monroe	Meredith Monroe
Khandi Alexander	Khandi Alexander
Ísabella af Gloucester	Isabella di Gloucester
Margaret Cavendish	Margaret Cavendish
Naomi Novik	Naomi Novik
Genevieve Cortese	Genevieve Cortese
Mary McCormack	Mary McCormack
Naima Mora	Naima Mora
La Concorde	La Concorde
Erekþeion	Eretteo
Fyllimengi	Insieme complemento
Toni Basil	Toni Basil
Haskell	Haskell
Egg	EGG
Treasure Island	Treasure Island
Lynwood	Lynwood
Sin City	Sin City (disambigua)
Ver	VER
Lincolnhaf	Mare di Lincoln
Publius Papinius Statius	Publio Papinio Stazio
Misvísun	Declinazione magnetica
Kí-kvaðratsdreifing	Distribuzione chi quadrato
546 f.Kr.	546 a.C.
George J. Stigler	George Stigler
Iðnhönnun	Disegno industriale
Sherlock Holmes: Skuggaleikur	Sherlock Holmes - Gioco di ombre
Fjölkvæni	Poliginia
Alfred Jules Ayer	Alfred Jules Ayer
Skaði	Skaði
Diablo II	Diablo II
Dvergþorskur	Trisopterus minutus
Fædon (Platon)	Fedone
Campione d'Italia	Campione d'Italia
Flóðhæna	Porphyrio martinicus
Hefðarfrúin og umrenningurinn 2: Vaskur í ævintýraleit	Lilli e il vagabondo II - Il cucciolo ribelle
Andlitsókenni	Prosopagnosia
Subway	Subway (azienda)
Brainfuck	Brainfuck
Ultimate Frisbee	Ultimate (sport)
Samsetning falla	Composizione di funzioni
Djúprista	Pescaggio
Tekanna	Teiera
Herstöð	Base militare
Ewood Park	Ewood Park
Vænghaf	Apertura alare
Bolzanosetningin	Teorema dei valori intermedi
Þríhyrningstala	Numero triangolare
Brem-sur-Mer	Brem-sur-Mer
King's College London	King's College London
Flugsund	Delfino (nuoto)
William Styron	William Styron
Borgaklasi	Conurbazione
Foxtrot (dans)	Foxtrot (danza)
Samsett orð	Composizione (linguistica)
Zynga	Zynga
Frosinn	Frozen - Il regno di ghiaccio
De Oratore	De oratore
Sveinn Ástríðarson	Sweyn II di Danimarca
Angelicum	Pontificia università @@@u0026San Tommaso d'Aquino"
Warner Communications	Warner Communications
Aelius Donatus	Elio Donato
Braghvíld	Cesura
Pro Tools	Pro Tools
Framfarir	Progresso (filosofia)
Flugfélag Íslands	Air Iceland
Lahti L-35	Lahti L-35
Dwarf Fortress (tölvuleikur)	Dwarf Fortress
Viðarkveif	Galerina marginata
Þorskur	Gadus
Vorlyng	Erica carnea
Avro	Avro
H2	H2
LAT	LAT
Mussolini	Mussolini (disambigua)
Pundsmerki	Simbolo della sterlina
Dís	DIS
Oyster-kort	Oyster Card
Tudor	Tudor (disambigua)
Ágrip af Noregskonungasögum	Ágrip af Nóregskonungasögum
Keila	Keila
Ágætis byrjun	Ágætis byrjun
Frúarkirkjan í Freiburg	Cattedrale di Friburgo in Brisgovia
Nóra	Nora (nome)
Anthony Kenny	Anthony Kenny
Týdeifur	Tideo
Merkjasending	Alfabeto semaforico
Amstetten	Amstetten (Austria)
Rauði herinn	Armata Rossa
Frelsi, jafnrétti, bræðralag	Liberté, Égalité, Fraternité
Ángel Di María	Ángel Di María
Hrekkjavaka	Halloween
Hrökkbrauð	Knäckebröd
Sveitarfélagið Árborg	Árborg
Árneshreppur	Árnes
Árnessýsla	Árnessýsla
Árni Gautur Arason	Árni Gautur Arason
Árni Magnússon	Árni Magnússon
Ásahreppur	Ásahreppur
Ásbyrgi	Ásbyrgi
Ásgeir Sigurvinsson	Ásgeir Sigurvinsson
Fyrsta meginlandsþingið	Primo congresso continentale
Graflax	Gravlax
Aðventukrans	Corona d'Avvento
Djúpsjávarfiskur	Pesce abissale
SÍF	SIF
Míla	Miglio (unità di misura)
Discworld	Mondo Disco
Alþjóðaknattspyrnusambandið	Fédération Internationale de Football Association
Lageröl	Lager (birra)
Samningsbundið nám	Apprendistato
Berengaría af Portúgal	Berengaria del Portogallo
Einkaleyfi	Brevetto
Egypska karlalandsliðið í handknattleik	Nazionale di pallamano maschile dell'Egitto
Eddie Izzard	Eddie Izzard
Krímstríðið	Guerra di Crimea
Slipknot	Slipknot
Rúst	Rust
Þjóðskrá	Registro dello stato civile
Lén (aðgreining)	LEN
Papa Roach	Papa Roach
Rosalia mey	Santa Rosalia
Einslögun (stærðfræði)	Similitudine (geometria)
Einar Benediktsson	Einar Benediktsson
Ronnie Coleman	Ronnie Coleman
Älvsbyn	Älvsbyn
Ofurpaur	Root (utente)
Rush Hour	Rush Hour - Due mine vaganti
Stofnbrot	Frazione unitaria
Djassrapp	Jazz rap
Beinabúr	Ossario monumentale
Málskipti	Commutazione di codice
Aðþrengdar eiginkonur (1. þáttaröð)	Episodi di Desperate Housewives (prima stagione)
Hallein	Hallein
Fet (aðgreining)	FET
Geislaálag	Dose equivalente
Skeiðará	Skeiðará
Flikruberg	Ignimbrite
Vallarfoxgras	Phleum pratense
Fúnksjónalismi	Funzionalismo (antropologia)
Elisabeth Andreassen	Elisabeth Andreassen
BÍN	BIN
Hænugæs	Cereopsis novaehollandiae
Margaret Cho	Margaret Cho
Rín	RIN
Hliðrænt sjónvarp	Televisione analogica
Tanka	Tanka
Gyðla	Ninfa (zoologia)
Caroline Graham	Caroline Graham
In Flames	In Flames
Tarsan 2	Tarzan 2
Ustersbach	Ustersbach
Motorola	Motorola
Gällivare	Gällivare
Michael Ventris	Michael Ventris
Ástralskur dalur	Dollaro australiano
Kvikskurður	Vivisezione
Norn	Stregoneria
Theatiner-kirkjan í München	Chiesa di San Gaetano (Monaco di Baviera)
Eddard Stark	Eddard Stark
Wandel-haf	Mare di Wandel
Listi yfir lönd og útliggjandi yfirráðasvæði eftir stærð	Stati per superficie
Flokkur:Þýsk fyrirtæki	Categoria:Aziende tedesche
Traun	Traun
Steyr	Steyr
Chewbacca-vörnin	Difesa Chewbacca
Holugeitungur	Vespula vulgaris
Haraldur gilli	Harald IV di Norvegia
Nirvana	Nirvana (disambigua)
Övertorneå	Övertorneå
Borgarhliðin í München	Isartor
Spilasalur	Sala giochi
Býkúpugröf	Thòlos (tomba)
Matthew Meselson	Matthew Meselson
Apófyllít	Apofillite
Muse Watson	Muse Watson
Hōryū-ji	Hōryū-ji
Kimmería	Cimmeria (continente)
Líkrán	Furto di cadaveri
Pamela	Pamela (nome)
Elizabeth Loftus	Elizabeth Loftus
Blátjald	Chroma key
Louise Lombard	Louise Lombard
Amy Sedaris	Amy Sedaris
Tiiu Kuik	Tiiu Kuik
Lauren Lee Smith	Lauren Lee Smith
Navi Rawat	Navi Rawat
Rachel Miner	Rachel Miner
Birgitta Haukdal	Birgitta Haukdal
Nicki Lynn Aycox	Nicki Aycox
Yrsa Sigurðardóttir	Yrsa Sigurðardóttir
Elizabeth Peña	Elizabeth Peña
Penelope Lively	Penelope Lively
Adrianne Palicki	Adrianne Palicki
Höfundaréttur	Copyright
Barbara Kruger	Barbara Kruger
Ingibjörg Sólrún Gísladóttir	Ingibjörg Sólrún Gísladóttir
Farrelly-bræðurnir	Peter e Bobby Farrelly
Les Paul	Les Paul
Antósýanefni	Antociani
Kath Soucie	Kath Soucie
Íslenski hesturinn	Cavallo islandese
Lill Lindfors	Lill Lindfors
Kaliforníuháskóli í Santa Barbara	Università della California, Santa Barbara
Bertrand Gille	Bertrand Gille
Kreml	Cremlino
Floria Sigismondi	Floria Sigismondi
Alona Tal	Alona Tal
Nóta (tónlist)	Nota musicale
Robert Maxwell Ogilvie	Robert Maxwell Ogilvie
Alejandro Jodorowsky	Alejandro Jodorowsky
Nu metal	Nu metal
International Harvester	International Harvester
Fullstytt brot	Frazione ai minimi termini
Huskvarna	Huskvarna
Emperor	Emperor (gruppo musicale)
Kastalavirkið í Graz	Schlossberg Graz
Gorgías (Platon)	Gorgia (dialogo)
Common Gateway Interface	Common Gateway Interface
Gianni Versace	Gianni Versace
Grænþörungar	Chlorophyta
Sódavatn	Acqua gassata
Marcia Wallace	Marcia Wallace
Um skáldskaparlistina	Poetica (Aristotele)
Aileen Wuornos	Aileen Wuornos
Menningarkimi	Subcultura
Afstæður aldur	Cronologia relativa
Vadstena	Vadstena
Bein	Osso
Ólafur hungur	Olaf I di Danimarca
Concrete	Concrete (Fear Factory)
Iamamiwhoami	Iamamiwhoami
Wayne Rooney	Wayne Rooney
Portolanokort	Portolano
Stepmom	Nemiche amiche
Mandy Patinkin	Mandy Patinkin
Angíótensín II	Angiotensina
Ivar Lo-Johansson	Ivar Lo-Johansson
Teketill Russells	Teiera di Russell
Þvottaklemma	Molletta da bucato
Rafhlaða	Pila (elettrotecnica)
Kríton (Platon)	Critone
Póststrúktúralismi	Post-strutturalismo
Oxfam	Oxfam
Westwood Studios	Westwood Studios
Mankala	Mancala
Darwin	Darwin
Efsta deild karla í knattspyrnu 1924	Meistaraflokkur 1924
Screen Actors Guild-verðlaun	Screen Actors Guild Awards
Wireless Markup Language	Wireless Markup Language
Sporger ferill	Curva ellittica
Marilyn Waring	Marilyn Waring
Alþjóðasteindarfræðisamtökin	Associazione Mineralogica Internazionale
Hugo Banzer	Hugo Banzer
Tatiana Samoilova	Tat'jana Samojlova
Svaneðlur	Plesiosauria
Fimmta konungsættin	V dinastia egizia
Fanir (sveppir)	Lamella (micologia)
Georg 5.	Giorgio V del Regno Unito
Eldgosið í Eyjafjallajökli 2010	Eruzione dell'Eyjafjöll del 2010
Suffocation	Suffocation
Enska úrvalsdeildin 2005-06	FA Premier League 2005-2006
Járnfrúin (kvikmynd)	The Iron Lady
Don Rickles	Don Rickles
Hryðjuverkin 29. mars 2010	Attentato del 29 marzo 2010 alla Metropolitana di Mosca
Sjötta konungsættin	VI dinastia egizia
Rockefeller-háskóli	Università Rockefeller
Apple TV	Apple TV
Pétur Pan (kvikmynd 1953)	Le avventure di Peter Pan
Vampire Knight	Vampire Knight
Scream 2	Scream 2
Írskt pund	Sterlina irlandese
Persónuleikaröskun	Disturbo di personalità
Silt	Silt
Opinbert fyrirtæki	Impresa pubblica
Kjúlli litli	Chicken Little - Amici per le penne
Åmål	Åmål
Ånge	Ånge
Åre	Åre
Konungur Ítalíu	Re d'Italia
Årjäng	Årjäng
Herkúles (kvikmynd)	Hercules (film 1997)
Pýtonslanga	Python (zoologia)
Åseda	Åseda
Åsele	Åsele
Åstorp	Åstorp
Åtvidaberg	Åtvidaberg
Jaboatão dos Guararapes	Jaboatão dos Guararapes
Hallgrímskirkja (Reykjavík)	Hallgrímskirkja
Daryl Sabara	Daryl Sabara
Strandfura	Pinus pinaster
Fiskinet	Rete da pesca
Þríforkur	Tridente
Katekólamín	Catecolamina
James Mill	James Mill
Charles Le Brun	Charles Le Brun
Flotfræði	Reologia
Mýósín	Miosina
Karen	Karen (etnia)
Sinfónísk ljóð	Poema sinfonico
Próklos	Proclo
Ducati	Ducati
Thích Quảng Đức	Thích Quảng Đức
Fjárlög	Bilancio dello Stato
Franska Miðbaugs-Afríka	Africa equatoriale francese
Kaupmáttur	Potere d'acquisto
Skattaskjól	Paradiso fiscale
Skógláp	Shoegaze
Van Morrison	Van Morrison
Jill Johnson	Jill Johnson
Endanlegt mengi	Insieme finito
Samgæði	Beni pubblici
Tíðindalaust á vesturvígstöðvunum	All'ovest niente di nuovo
John L. Austin	John Langshaw Austin
Fatboy Slim	Fatboy Slim
Gallsteinar	Colelitiasi
John Hancock	John Hancock
Híerónýmusarklaustrið (Lissabon)	Monastero dos Jerónimos
Epidót	Epidoto
Rómverskar nafnavenjur	Onomastica romana
Kazuo Ishiguro	Kazuo Ishiguro
The Elephant Man	The Elephant Man
Jakob 2. Skotakonungur	Giacomo II di Scozia
Telma Hopkins	Telma Hopkins
Eivør Pálsdóttir	Eivør Pálsdóttir
Ciara Bravo	Ciara Bravo
Kristen Schaal	Kristen Schaal
Estelle Harris	Estelle Harris
Joan Cusack	Joan Cusack
Robert Patrick	Robert Patrick
Símonídes frá Keos	Simonide
Martini (kokkteill)	Martini (cocktail)
Keke Palmer	Keke Palmer
R. Kelly	R. Kelly
Skutur	Poppa
Klippari	Clipper (nave)
Lýsa	Merlangius merlangus
Högnun	Arbitraggio
Reykelsi	Incenso
Emerson, Lake & Palmer	Emerson, Lake & Palmer
Skotbakvörður	Guardia tiratrice
Amintore Fanfani	Amintore Fanfani
Sangria	Sangria
Hlutheildun	Integrazione per parti
Ítalíustríðin	Guerre d'Italia del XVI secolo
Úfur	Ugola
Málsvörn Sókratesar (Platon)	Apologia di Socrate
Seneca eldri	Lucio Anneo Seneca il Vecchio
Göngu-Hrólfur	Rollone
Fjórvegur	Quadrivio
Hrúga (tölvunarfræði)	Heap binario
Patrick Pearse	Patrick Pearse
Spælegg	Uovo all'occhio di bue
Bakarí	Panificio
Forsætisráðherra Japans	Primo ministro del Giappone
Listi yfir þjóðhöfðingja Navarra	Re di Navarra
Súmersk trúarbrögð	Mitologia sumera
Baksund	Dorso (nuoto)
Captain America: The First Avenger	Captain America - Il primo Vendicatore
Ullserkur	Coprinus comatus
Caernarfonkastali	Castello di Caernarfon
Scratch	Scratch (informatica)
Propylaea	Propileo
Fíkjutré Benjamíns	Ficus benjamina
Marouane Fellaini	Marouane Fellaini
O Clone	O clone
Brútus (Cicero)	Brutus (Cicerone)
Kasímír hrif	Effetto Casimir
Skíði (hvalir)	Fanone
Hallatala	Coefficiente angolare
Textarýni	Ecdotica
Skjávarpi	Videoproiettore
Smurbrauð	Smørrebrød
Brjóskgljáfiskar	Chondrostei
Kirsten Vangsness	Kirsten Vangsness
Gliese 581 e	Gliese 581 e
90210	90210
Skáli	Padiglione (architettura)
Jim Varney	Jim Varney
Húsapuntur	Elytrigia repens
Joe Mantegna	Joe Mantegna
H. Jon Benjamin	H. Jon Benjamin
Marens	Meringa
A Cinderella Story	Cinderella Story
Skrímsli	Mostro
Paul Rudd	Paul Rudd
Ameríkudeildin (NFL)	American Football Conference
Gambit (2012 kvikmynd)	Gambit - Una truffa a regola d'arte
Ismail Ibn Sharif	Mulay Isma'il (Marocco)
Balíhaf	Mar di Bali
Suðaustur-Asíubandalagið	Southeast Asia Treaty Organization
Panic! At The Disco	Panic! at the Disco
Kakemono	Kakemono
Loona	Loona
Estrógen	Estrogeno
Mödling	Mödling
AFC Norður	AFC North
Doppler	Doppler (disambigua)
Hvalfjarðarsveit	Hvalfjarðarsveit
Samdrykkjan (Xenofon)	Simposio (Senofonte)
Málsvari andskotans	Advocatus diaboli
Edward	Edward
Frúarkirkjan í Ágsborg	Cattedrale di Augusta
Mitch Pileggi	Mitch Pileggi
Béla Kiss	Béla Kiss
Fjölnotatæki	Stampante multifunzione
Meistaradeild Evrópu 1998-99	UEFA Champions League 1998-1999
Ungmennafélagið Stjarnan	Ungmennafélagið Stjarnan
Geena Davis	Geena Davis
A4	A4
Péturskirkjan í Regensburg	Duomo di Ratisbona
CNRS	Centre national de la recherche scientifique
Aþenodóros frá Kanönu	Atenodoro Cananita
Listi yfir CSI:Miami (5. þáttaröð)	Episodi di CSI: Miami (quinta stagione)
Brennisteinsalda	Brennisteinsalda
Georg 6. Bretlandskonungur	Giorgio VI del Regno Unito
Tímon frá Flíos	Timone di Fliunte
Degu	Octodon degus
André Franquin	André Franquin
Pípuorgel	Organo (strumento musicale)
Batman (aðgreining)	Batman (disambigua)
Dynjandi	Dynjandi
Kawaii	Kawaii
Hans Egede	Hans Egede
Vilberg	Gestione del talento
Bandamanna saga	Bandamanna saga
Roma (Svíþjóð)	Roma (Gotland)
Barónett	Baronetto
Íverufall	Inessivo
Hið fullkomna morð	Delitto perfetto
Helgisaga Ólafs Haraldssonar	Saga Leggendaria di Sant'Olaf
Afstæðiskenning	Relativity
Yu Suzuki	Yu Suzuki
Ábendingarfornafn	Pronome dimostrativo
Mangoldtsfallið	Funzione di von Mangoldt
BOPE	Batalhão de Operações Policiais Especiais
Alucard (Hellsing)	Alucard (Hellsing)
Trent Reznor	Trent Reznor
Corona (hljómsveit)	Corona (gruppo musicale)
Mugello	Mugello
Höfn	Porto
Private Practice	Private Practice
Langisjór	Langisjór
Alfons 5.	Alfonso V di León
Sæmundur fróði Sigfússon	Sæmundr Sigfússon
Bein ræða	Discorso diretto
Carol Gilligan	Carol Gilligan
Lola Glaudini	Lola Glaudini
Creative Commons-leyfi	Licenze Creative Commons
Árjúratímabilið	Giurassico inferiore
Karneades	Carneade
Hið alsjáandi auga	Occhio della Provvidenza
Lill-Babs	Lill-Babs
Siw Malmkvist	Siw Malmkvist
Imelda Marcos	Imelda Marcos
Indverski flughundur	Pteropus giganteus
Medea (Evripídes)	Medea (Euripide)
BLAST	Basic local alignment search tool
Fiera di Primiero	Fiera di Primiero
ABC-ríkin	Patto ABC
Abbas 2.	'Abbas II
Diane Farr	Diane Farr
Samantha Ferris	Samantha Ferris
Liz Vassey	Liz Vassey
Rebecca Pidgeon	Rebecca Pidgeon
Liza Lapira	Liza Lapira
The Hives	The Hives
Akademisk Boldklub	Akademisk Boldklub
The Canterville ghost	Il fantasma di Canterville
Gordy	Gordy
Emily Browning	Emily Browning
G.I. Joe: The Rise of Cobra	G.I. Joe - La nascita dei Cobra
Omar Benson Miller	Omar Benson Miller
Jaakko Hintikka	Jaakko Hintikka
Guðleysi	Agnosticismo
Marjorie Estiano	Marjorie Estiano
Bleklar	Coprinus
Huri	Huri
Grigno	Grigno
Sjóvá-Almennra deild karla í knattspyrnu 1995	1. deild 1995 (Islanda)
1. deild karla í knattspyrnu 1991	1. deild 1991 (Islanda)
Codex Ephraemi Rescriptus	Codex Ephraemi Rescriptus
Imèr	Imer
Evrópumeistaramót karla í handknattleik 1994	Campionato europeo di pallamano maschile 1994
Miðhálendið	Altopiani d'Islanda
Marjorie Bruce	Marjorie Bruce
Leonora Dori	Leonora Dori Galigai
Greta Salóme Stefánsdóttir	Gréta Salóme
Cristina Scabbia	Cristina Scabbia
Íþróttabandalag Akureyrar	Íþróttabandalag Akureyrar
Íþróttabandalag Akraness	Íþróttabandalag Akraness
Íþróttabandalag Vestmannaeyja	Íþróttabandalag Vestmannaeyja
Íþróttafélagið Fylkir	Íþróttafélagið Fylkir
Ísafjarðarbær	Ísafjarðarbær
AFC Austur	AFC East
Ísleifur Gissurarson	Ísleifur Gissurarson
Hið íslenska fornritafélag	Íslenzk Fornrít
Listeria monocytogenes	Listeria monocytogenes
Ásgarður (aðgreining)	Asgard
Poison	Poison (disambigua)
AFS	American Field Service
Demodex	Demodex
Monte Carlo (aðgreining)	Monte Carlo (disambigua)
Hólmfríður Karlsdóttir	Hólmfríður Karlsdóttir
Ódáðahraun	Ódáðahraun
Ólafur Arnalds	Ólafur Arnalds
Ólafur Jóhann Ólafsson	Ólafur Jóhann Ólafsson
Ólafur Jóhannesson (f. 1913)	Ólafur Jóhannesson
Oscar De La Hoya	Óscar de la Hoya
Ödeshög	Ödeshög
Ödípús í Kólonos	Edipo a Colono (Sofocle)
Krítías	Crizia
Emilia Plater	Emilia Plater
Allsherjarregla	Ordine pubblico
Boz	BOZ
Sía	SIA
Yb	YB
JAR	JAR
Fit	FIT
Mihai Ghimpu	Mihai Ghimpu
Ögmundur Jónasson	Ögmundur Jónasson
Róbert 3. Skotakonungur	Roberto III di Scozia
Aulus Gellius	Aulo Gellio
César Azpilicueta	César Azpilicueta
Matthew Morrison	Matthew Morrison
David Caruso	David Caruso
Jay Sean	Jay Sean
Richard Pryor	Richard Pryor
James Randi	James Randi
Aþenajos	Ateneo di Naucrati
Jerry Lewis	Jerry Lewis
William Randolph Hearst	William Randolph Hearst
John Searle	John Searle
Johnny Knoxville	Johnny Knoxville
John Leguizamo	John Leguizamo
Clyde Drexler	Clyde Drexler
G.E. Moore	George Edward Moore
Vistsvæði	Ecoregione
Mezzano	Mezzano
Perla	Perla (disambigua)
Camille Flammarion	Camille Flammarion
Paul Stanley	Paul Stanley
Rif	RIF
Ammoníos	Ammonio (disambigua)
FSH	FSH
VPN	VPN
Tala	Tala
Aveiro	Aveiro
Orrustan við Beneventum	Battaglia di Benevento
Victor Moses	Victor Moses
César Cielo	César Cielo Filho
Tom Hiddleston	Tom Hiddleston
Carlos Saura	Carlos Saura
Jon Favreau	Jon Favreau
George Herbert Mead	George Herbert Mead
Sam Harris	Sam Harris
Klement Gottwald	Klement Gottwald
George Pólya	George Polya
Cory Monteith	Cory Monteith
Rob Lowe	Rob Lowe
Jon Lovitz	Jon Lovitz
Blake Clark	Blake Clark
Alistair Darling	Alistair Darling
Mark Harmon	Mark Harmon
Sveitarfélagið Ölfus	Ölfus
Ölfusá	Ölfusá
Chace Crawford	Chace Crawford
Bam Margera	Bam Margera
Gaius Sempronius Gracchus	Gaio Sempronio Gracco
Giovanni Giolitti	Giovanni Giolitti
Valdimar mikli Knútsson	Valdemaro I di Danimarca
Ed Westwick	Ed Westwick
Wacław Sierpiński	Wacław Sierpiński
Kerry King	Kerry King
David Moyes	David Moyes
Pródíkos	Prodico
Panætíos	Panezio
Ferdínand 1. de' Medici	Ferdinando I de' Medici
Vashti Bunyan	Vashti Bunyan
Philippa Foot	Philippa Ruth Foot
Léonin	Léonin
Tom Morello	Tom Morello
Nemanja Matić	Nemanja Matić
Öregrund	Öregrund
Friðrik V	Federico V
Eyrarsundsbrúin	Ponte di Øresund
Örkelljunga	Örkelljunga
Lee Strasberg	Lee Strasberg
Fred Thompson	Fred Thompson
Joss Whedon	Joss Whedon
Davíð Oddsson	Davíð Oddsson
Öræfajökull	Öræfajökull
Lucius Aemilius Paullus Macedonicus	Lucio Emilio Paolo Macedonico
Willow Smith	Willow Smith
Kleon	Cleone
John Wayne Gacy	John Wayne Gacy
Thomas Keneally	Thomas Keneally
Österbymo	Österbymo
Jeffrey Dahmer	Jeffrey Dahmer
Rahm Emanuel	Rahm Emanuel
Isiah Thomas	Isiah Thomas
Saul Kripke	Saul Kripke
Austurríki í Söngvakeppni evrópskra sjónvarpsstöðva	Austria all'Eurovision Song Contest
Pat Morita	Pat Morita
Billy Connolly	Billy Connolly
Alkman	Alcmane
Hippasos	Ippaso di Metaponto
Phil Lynott	Philip Lynott
Tom Kenny	Tom Kenny
Peter MacNicol	Peter MacNicol
Steiking	Frittura
Kvöld í klúbbnum	A Night at the Roxbury
Kenning um réttlæti	Una teoria della giustizia
Hundastelling	Posizione da dietro
IPhone 3G S	IPhone 3GS
Make	Make
Freenode	Freenode
Foobar2000	Foobar2000
IPhone 3G	IPhone 3G
Aalter	Aalter
Maísíld	Alosa alosa
Flokkunarkerfi Aarne-Thompson	Aarne-Thompson
New Super Mario Bros.	New Super Mario Bros.
Bartolomeo Cristofori	Bartolomeo Cristofori
Stefni	Prua
Sigmundur Brestisson	Sigmundur Brestisson
Fyrrum Sovétlýðveldi	Stati post-sovietici
Móhnefla	Russula xerampelina
Oh, Inverted World	Oh, Inverted World
1. deild karla í knattspyrnu 1963	1. deild 1963
Aaron Swartz	Aaron Swartz
Upernavik	Upernavik
Sjóvár-Almennra deild karla í knattspyrnu 1996	1. deild 1996 (Islanda)
Hræbjöllur	Silphidae
Aspromonte	Aspromonte
Austurríska karlalandsliðið í handknattleik	Nazionale di pallamano maschile dell'Austria
Skriðdýrin	I Rugrats
Innvængjur	Oligoneoptera
Spákvistur	Radioestesia
Póstlisti	Mailing list
Ísöld (kvikmynd)	L'era glaciale
Íslenskir stjórnmálaflokkar	Partiti politici in Islanda
Hällefors	Hällefors
Quidditch	Quidditch
IBook	IBook
Pwd	Pwd (Unix)
Hugin	Hugin (software)
IWork	IWork
Cairo	Cairo (grafica)
Múm	Múm
ISight	ISight
Betalaktam-lyf	Beta-lattamici
EMac	Famiglia eMac
Alfaamýlasi	Α-amilasi
Example.net	Example.com
W3m	W3m
Betasundrun	Decadimento beta
Austræn heimspeki	Filosofie orientali
Mart Laar	Mart Laar
Överkalix	Överkalix
Öxarfjörður	Öxarfjörður
Öxará	Öxará
Eftirskjálfti	Legge di Omori
Drift	Deriva (moto)
Fráleiðsla	Abduzione
James Gandolfini	James Gandolfini
Hillingar	Miraggio
Kvenhatur	Misoginia
Mac Pro	Famiglia Mac Pro
