Hĭ-ciŭ	Africa
Duâi-tàu-giáng	Lente d'ingrandimento
Gă-ngiê (gâing)	Contea di Chiayi
Ĭ-gŭng	Nonno
Puái-dáu	Mezzogiorno (parte del giorno)
Huōi-căi	Incendio
Chiū-ló̤h	Guanto
Nagasaki-gâing	Prefettura di Nagasaki
Hâ-dièu	Dinastia Xia
Cá̤-nàng	Jinan
Dṳ̆ng-guók Káung-nĭk Ciéng-cĕng	Seconda guerra sino-giapponese
Sarawak	Sarawak
Hŭng-cūi	Feng shui
Chiéu	Risata
Ngô̤-mâng gâe̤ng Piĕng-giéng	Orgoglio e pregiudizio
Oda Nobunaga	Oda Nobunaga
Lī Sìng-uāng	Syngman Rhee
Iòng-bék-chó̤	Gomma per cancellare
Nàng-chiŏng	Nanchang
Tokugawa Ieyasu	Tokugawa Ieyasu
Bók-séu-gáung	Acciaio inossidabile
Sáu-chiū	Scopa (strumento)
Dŭk-cài	Autocrazia
Kŭng-dièu	Condizionatore d'aria
Diòng-să	Changsha
Pèng	Vernice
Mìng-dê Tiĕng-huòng	Meiji
Kă-âu-dăng	Tallone (anatomia)
Ā-mò̤-sê̤ṳ-cṳ̆	Libro di Amos
Ŏ̤-bă-dī-ā-cṳ̆	Libro di Abdia
Itō Hirobumi	Hirobumi Itō
Nguŏh	Giada
Só-gé̤ṳ-kó guāng-lī hiê-tūng	Database management system
Dâu-hô	Tōfu
Mì-hèu	Macaca
Mī-giă-cṳ̆	Libro di Michea
Bù-sák	Bodhisattva
Hăk-gĭ-cṳ̆	Libro di Aggeo
Ī-să̤-giék	Libro di Ezechiele
Chiū-biēu	Orologio da polso
ASP.NET	ASP.NET
Iók-nā-cṳ̆	Libro di Giona
Sabah	Sabah
Ià-lé-mī-ăi-gŏ̤	Libro delle Lamentazioni
Tái-gáng	Eunuco
Nàng-nìng	Nanning
Ê-só	Glutammato monosodico
Nā-ŭng-cṳ̆	Libro di Naum
Hăk-bă-gók-cṳ̆	Libro di Abacuc
Sák-gā-lé-ă-cṳ̆	Libro di Zaccaria
Guók-gê̤ṳng Nô̤i-ciéng	Guerra civile cinese
Uŏk-nàng Gê̤ṳng-huò-guók	Vietnam del Sud
Chiĕu-chê	Supermercato
Ciŏng Cṳ̄-ì	Zhang Ziyi
Lák-tàu	Alopecia androgenetica
Gulliver Lṳ̄-hèng-gé	I viaggi di Gulliver
Gŏ̤-hṳ̀ng	Kaohsiung
Naha-chê	Naha
Buŏk-hāi	Mare di Bohai
Báh-chói	Sbadiglio
Hâung Ṳ̄	Xiang Yu
Putrajaya	Putrajaya
Kŏng-mìng	Kunming
Nĭk-guŏng-dĕng	Lampada fluorescente
Jane Eyre	Jane Eyre
Johor	Johor
Ngâung	Ritardo mentale
Huòi-cŭk	Hui (popolo)
Làng-ciŭ	Lanzhou
Hŏ̤-să̤-cṳ̆	Libro di Osea
Tiék-cĭng	Ruggine
Dĕ̤ng-kiĕ	Sepiida
Lìng Cáik-sṳ̀	Lin Zexu
Săng-guók	Tre Regni
Chŭng-chiŭ Sì-dâi	Periodo delle primavere e degli autunni
Ciéng-guók Sì-dâi	Periodo dei regni combattenti
Puō-ngì	Pu Yi
Mā-lăk-gă	Malacca
Oracle	Oracle
Hăk-bùi	Hefei
Huák-lùng-gŭng	Falun Dafa
Kelantan	Kelantan
Lŏk-iòng	Luoyang
Toyotomi Hideyoshi	Toyotomi Hideyoshi
Kana	Kana
Câung-cŭk	Tibetani
Pulau Pinang	Penang
Hamasaki Ayumi	Ayumi Hamasaki
Să̤-huăng-ngā-cṳ̆	Libro di Sofonia
Dâi-nĭk-buōng Dá̤-guók	Impero giapponese
Hṳ̆ng-nù	Xiongnu
Mâing-cṳ̄	Mencio
Kedah	Kedah
Perak	Perak
Hŏk-ôi	Laurea
Gié-lìng	Guilin
Terengganu	Terengganu
Selangor	Selangor
Iòng (dông-ŭk)	Caprinae
Hāi-kāu	Haikou
Chāu-buōng sĭk-ŭk	Erba
Pahang	Pahang
Bă-là̤ Séng-mū-iêng (Siēu-siók)	Notre-Dame de Paris (Victor Hugo)
Chiông-gì	Xiangqi
Yun Chi-ho	Yun Chi-Ho
Gói-iòng	Guiyang
Gáung-bék	Penna stilografica
Ngù Dìng-iēng	Ngô Đình Diệm
Gô-dā̤	Passato
Dĭng-hiŏng-kó̤	Engraulidae
Miêng	Noodles
Hiêng-câi	Presente (tempo)
Lèng-gēng	Dimocarpus longan
Mì-lĕk-hŭk	Maitreya
Guăng-ĭng	Avalokitesvara
Bìng-dĕ̤ng	Contea di Pingtung
Gēu-gī	Lycium barbarum
Lĕ̤k-dèu-gáuk	Costa (anatomia)
Dâng Sìng-gŭng	Koxinga
Nguŏk-biāng	Torta lunare
Cṳ̆-gák Liông	Zhuge Liang
Ció-ĭng Hù-hô̤	Bopomofo
Tù-kēng	Gryllotalpidae
Dṳ̆ng-guók Ìng-mìng Gāi-huóng-gŭng	Esercito Popolare di Liberazione
Sìng-ū Tiĕng-huòng	Jinmu
Ciē-chái	Nori
Dennis Rodman	Dennis Rodman
È̤ng-dà	Tè nero
Cò̤ Chó̤	Cáo Cāo
Tài-tàu	Decapitazione
Cūi-ngù	Cerambycidae
Buŏi	Volo
Ŭi-nà̤-sṳ̆ Sĕng-lī-nè̤ng	Il mercante di Venezia
Ū-ì-săng	Monte Wuyi
Ŭ-sŭ-lī-gĕ̤ng	Ussuri
Tiĕng-huòng	Imperatore del Giappone
Kăi-hŭng	Kaifeng
Sĭng-dài-bê	Dollaro taiwanese
Nguòng Sié-kāi	Yuan Shikai
John Wesley	John Wesley
Siăh	Alimentazione
Perlis	Perlis
Negeri Sembilan	Negeri Sembilan
Labuan	Labuan
Lṳ̀ng	Drago cinese
Iòng-iù-gàu	Lampada a cherosene
Cần Thơ	Cần Thơ
Gĭng-cŭk	Việt
Ciĕng-bò̤	Champa
Diòng-gáu-sê̤ṳ	Missionario
Uōng-dâi Cièng-tiàng	Grandi speranze
Niōng-bēng	Soffitto
Rasŏn	Rasŏn
Guăng Ṳ̄	Guan Yu
Ŭ-gŭi	Testudines
Tá̤	Cassetto
Gê̤ṳng-huò-dōng	Partito Repubblicano
Bō̤-dâi Huòng-dá̤	Bảo Đại
Siê-iù	Salsa di soia
Ŭ-lṳ̀ng-dà	Oolong
Gê̤ṳng-sāng-dōng	Partito comunista
Chái Ĭng-ùng	Tsai Ing-wen
Ŏ̤-mì-tò̤-hŭk	Amitabha Buddha
Ngiè-làng	Contea di Yilan
Ciŭ Giĕk-lùng	Jay Chou
Orhan Pamuk	Orhan Pamuk
Carpineto Romano	Carpineto Romano
Ngū-dâi Sĕk-guók	Cinque dinastie e dieci regni
Cō̤	Ziziphus jujuba
Tā̤-ṳ̆k	Educazione fisica
Sĭng-báe̤k	Nuova Taipei
Dài-dṳ̆ng	Taichung
Làu Bê	Liu Bei
Huă-lièng	Contea di Hualien
Gĭng-muòng	Kinmen
Dài-dĕ̤ng	Contea di Taitung
Sĭng-dé̤ṳk (chê)	Hsinchu
Gă-ngiê (chê)	Chiayi
Giĕ-lè̤ng	Keelung
Jun Ji-hyun	Jun Ji-hyun
Dièu-siēng Gŏ̤-cŭng	Gojong di Corea
Gáuk-gáuk	Osso
Amuro Namie	Namie Amuro
Diêng-tù	Pila (elettrotecnica)
Gê̤ṳ-gê̤ṳ	Stampella
Nakashima Mika	Mika Nakashima
Hù-lì-mà	Mustela sibirica
Gŏ̤-ák-guŏ	Pentola a pressione
Chagang Dô̤	Chagang
Sŏng-ngù	Regno Wu
Băh-cŭk	Bai (popolo)
Â-dáu	Pomeriggio
Huòng Tái-gĭk	Huang Taiji
Guŏng-sê̤ṳ Huòng-dá̤	Guangxu
Alan Dawa Dolma	Alan Dawa Dolma
Ngù-mō̤-ngù-giāng	Chiocciola
Takeshi Kaneshiro	Takeshi Kaneshiro
Sông-dê Huòng-dá̤	Shunzhi
Sŏng Guòng	Sun Quan
Cò̤ Pī	Cao Pi
Ciōng Gĭng-guók	Chiang Ching-kuo
Uòng Mì	Wang Wei
Lī Dĕng-hŭi	Lee Teng-hui
Ṳ̆ng-céng Huòng-dá̤	Yongzheng
Dùng-dê Huòng-dá̤	Tongzhi
Dŭng-huòng	Dunhuang
Să-mŏk	Erg (deserto)
Hiŏng-iòng-guă	Sechium edule
Uòng Ăng-sĭk	Wang Anshi
Tokugawa Yoshimune	Tokugawa Yoshimune
Săng-ā	Sanya
Dài-uăng Mìng-ciō-guók	Repubblica di Taiwan (1895)
Guók-ngṳ̄	Lingua nazionale
Sṳ̆k-háng	Regno Shu
Cò̤-ngôi	Regno Wei
Hiŏng-gŭ	Lentinula edodes
Mŭk-ngī	Auricularia auricula-judae
Gă-kéng Huòng-dá̤	Jiaqing
Dô̤-guŏng Huòng-dá̤	Daoguang
Hièng-hŭng Huòng-dá̤	Xianfeng
Gĭng-kiŏk	Opera di Pechino
Bău Cīng	Bao Zheng
Báik-guá	Bagua
Sṳ̆-mā Hé	Sima Yi
Áng-pŭng	Ampulex compressa
Hŭng-sṳ̆k	Convenzione (diritto)
Ièu-cŭk	Yao (popolo)
Bĭng-sĭng	Bing Xin
Biék	Trionychidae
Báik-nguŏk-cáik	Festa di metà autunno
Liŏh-chiông-gĭ	Videoregistratore
Dâng-chái	Mytilidae
Gā-cō̤	Siphonaptera
Dài-uăng Muāng-chĭng Sì-dâi	Taiwan sotto il dominio della dinastia Qing
Mā-tái Hók Ĭng	Vangelo secondo Matteo
Sĕk-cê-gá	Croce cristiana
Ī-hók-sū Cṳ̆	Lettera agli Efesini
Sìng	Sing
Mā-cū (Sìng)	Dea dei Mari
Mìng	Ming (disambigua)
Uŏk-nàng Gê̤ṳng-sāng-dōng	Partito Comunista del Vietnam
10000	10000
Kū-guă	Momordica charantia
Mìng-miâng Huòng-dá̤	Minh Mạng
Chék Gié-guŏng	Qi Jiguang
Ì-cŭk	Yi (popolo)
Gāu-nguŏk-gāu	Giorno dei crisantemi
Dâing Lâ̤-gŭng	Teresa Teng
Mìng-sìng Huòng-hâiu	Myeongseong di Joseon
Sê̤ṳ-dáik Huòng-dá̤	Tự Đức
Cṳ̀-ciŏng	Piastrella
Gŏ̤ Dé-sêng	Gao Zhisheng
Hàng Hàng	Han Han
Ók-dāu	Ferro da stiro
Liŏh-dà	Tè verde
Liŏh-dâu	Vigna radiata
Dièu-siēng-cŭk	Coreani
Hŭk-dáng Dâi-hŏk	Università Fudan
Kŭmgang-săng Guăng-guŏng Dê-kṳ̆	Regione turistica di Kŭmgangsan
Gă-săk-giāng	Superutilitaria
Gái-chái	Brassica juncea
Siông-hāi Gău-tŭng Dâi-hŏk	Università Jiao Tong di Shanghai
Bù-sìng	Muscidae
Ciū-ciòng	Jiuquan
Hŭ-huò-hô̤-dĕk	Hohhot
Hà-iù	Salsa di pesce
Băh-ngiê	Isoptera
Băh-uâ-cê	Pe̍h-ōe-jī
Páu-diông	Miccetta
Hṳ̆ng-dòng	Torace
Mā-cū (Dō̤)	Isole Matsu
Să̤-cŏng	Abito completo da uomo
Ìng-cṳ̄	Figlio dell'uomo
Hiroshima-gâing	Prefettura di Hiroshima
Hwanghae Nàng-dô̤	Sud Hwanghae
Siĕu-ciū	Baijiu
Dùng-cé	Compagno (politica)
Hŭng-tiŭ	Pompa per bicicletta
Káh-gă	Hakka (popolo)
Bâng-ā	Mutismo
Nàng-gĭng Dâi-hŏk	Università di Nanchino
Chék-nguŏk-buáng	Ullambana
Uòng Sĭng-lìng	Cyndi Wang
Hù-siŭ	Misgurnus anguillicaudatus
Cò̤ Sĭk	Cao Zhi
Mìng-nàng-nè̤ng	Hoklo
Buò-gì	Livistona chinensis
Dièu-siēng Buáng-dō̤ lĭk-sṳ̄	Storia della Corea
Cáe̤ng	Zongzi
Sinŭiju Dĕk-biék Hèng-céng-kṳ̆	Regione amministrativa speciale di Sinuiju
Tūng-ék Sĭng-lò̤	Unificazione Silla
Dìng Gīng-ê̤ṳng	Chen Jingrun
Lìng Chṳ̆	Lin Shu
Hók-gióng tū-làu	Tulou
Chĭng-mìng	Festa di Qingming
Nê-hù	Erhu
Siă-cŭk	She (popolo)
Mē̤ng-giāng	Psychodidae
Mĭk-pŭng	Apidae
Okinawa-gâing	Prefettura di Okinawa
Diòng-lŏ̤h	Changle
Nàng-ā	Asia meridionale
Báh-uŏk	Yue (popolo)
Gŭng-sĭ	Azienda
Tì-kŭ	Scomber japonicus
Nàng-uŏk-guók	Nanyue
Hâ-uă	Eva
Chèng-chṳ̄	Arvicolinae
Kiŏng-cŭk	Qiang
Wiki Bô-lâung-diòng	Wikimedia Incubator
Bĭng-dê̤ṳ	Ghiacciolo (gelato)
Wikipedia:Sū-iū ngṳ̄-ngiòng bēng-buōng gì Wikipedia	Wikipedia:Tutte le lingue
Ngṳ̆k-huòng-dâi-dá̤	Imperatore di Giada
Ngù-sāi-gŭi	Scarabeo stercorario
À̤-liák	Pantofola
Cé̤ṳk	Congee
Pàng-hù Gùng-dō̤	Isole Penghu
Muōi-sì	Eleocharis dulcis
Ôi	Stomaco
Hāi-gēu	Arctocephalinae
Sibu	Sibu
Cṳ̆-dó̤h	Scrivania
Siông Ièng	Shō En
Aragaki Yui	Yui Aragaki
Siông Tái-giū	Shō Taikyū
Siĕu	Dizi
Mā-lái-iè	Heteropoda venatoria
Káh-dièu	Gioco
Siŏh-màng	Ieri
Gák-lì	Vongola
Dṳ̀-huák	Divisione (matematica)
Hù-lù	Lagenaria siceraria
Diêng-dĕng	Lampadina
Siông Bă-cé	Shō Hashi
Ùng-dé̤ṳk	Asparagus setaceus
分類:Dáik-guók	Categoria:Germania
分類:É-dâi-lé	Categoria:Italia
分類:Mī-guók	Categoria:Stati Uniti d'America
分類:Ngò̤-lò̤-sṳ̆	Categoria:Russia
分類:Dṳ̆ng-guók	Categoria:Cina
分類:Nĭk-buōng	Categoria:Giappone
分類:Ó̤-ciŭ	Categoria:Australia
分類:Éng-nà̤	Categoria:Indonesia
分類:Hàng-guók	Categoria:Corea del Sud
分類:Tái-guók	Categoria:Thailandia
分類:Uŏk-nàng	Categoria:Vietnam
分類:Buô-ṳ̄ dông-ŭk	Categoria:Mammiferi
分類:Bà-hèng dông-ŭk	Categoria:Rettili
分類:Cēu	Categoria:Uccelli
分類:Cĭng-kṳ̄ng	Categoria:Fungi
分類:Sĭk-ŭk	Categoria:Piante
分類:Ŭk-lī	Categoria:Fisica
分類:Huá-hŏk	Categoria:Chimica
分類:Lĭk-sṳ̄	Categoria:Storia
分類:Dê-lī	Categoria:Geografia
分類:Siâ-huôi	Categoria:Società
分類:Mī-sŭk	Categoria:Arti visive
分類:Cŭng-gáu	Categoria:Religione
分類:Tā̤-ṳ̆k	Categoria:Sport
分類:Kuŏ-hŏk	Categoria:Scienza
分類:Gióng-dé̤ṳk-ŭk	Categoria:Edifici
Gū Lò̤-mā	Civiltà romana
Regina Duarte	Regina Duarte
Cūi-kì	Lumaca
分類:Sĕng-tái	Categoria:Ecologia
分類:Disambig	Categoria:Pagine di disambiguazione
分類:Diék-hŏk	Categoria:Filosofia
分類:Sĭng-lī	Categoria:Psicologia
分類:Hŭk-gáu	Categoria:Buddhismo
分類:Gĭ-dók-gáu	Categoria:Cristianesimo
分類:Ĭ-sṳ̆-làng-gáu	Categoria:Islam
分類:Iù-tái-gáu	Categoria:Ebraismo
Mā-cū	Matsu
Hô-dê̤ṳ	Yuba (cibo)
Gùng	Gonna
Tuyên Quang	Provincia di Tuyen Quang
Iraq gâe̤ng Levant Ĭ-sṳ̆-làng-guók	Stato Islamico
Â-muòng-uâ	Lingua amoy
Tău-dò̤-nó̤h	Furto
Ciĕ-muài	Sesamum indicum
Abu Bakr al-Baghdadi	Abu Bakr al-Baghdadi
分類:Ùng-huá	Categoria:Cultura
分類:Dê-cék	Categoria:Geologia
模板:Tái-iòng-hiê	Template:Sistema solare
Kō̤-cṳ̆	Test standardizzato
Ciē-sáik	Porpora
Gâng	Sudorazione
Ák	Anatra
Duâi-tàu-chái	Brassica rapa rapa
Huăng-siông	Mangifera indica
分類:Dáik-guók ìng-ŭk	Categoria:Tedeschi
分類:Mī-guók ìng-ŭk	Categoria:Statunitensi
分類:Iēng-uòng	Categoria:Attori
分類:Ĭng-guók ìng-ŭk	Categoria:Britannici
分類:Huák-guók ìng-ŭk	Categoria:Francesi
模板:Chess diagram	Template:Diagramma scacchi
模板:Tl	Template:Tl
分類:Guók-gă	Categoria:Nazioni
Wikipedia:Hèng-céng Ìng-uòng	Wikipedia:Amministratori
分類:Dṳ̆ng-guók mìng-cŭk	Categoria:Gruppi etnici in Cina
分類:Ìng-ŭk	Categoria:Persone
分類:Cék-ngiĕk	Categoria:Professioni
Wikipedia:Gĭ-ké-nè̤ng	Wikipedia:Bot
分類:Sì-găng	Categoria:Tempo
分類:Gĕ̤ng-tiàng	Categoria:Ingegneria
分類:Cài-lâiu	Categoria:Materiali
分類:Ĭ-hŏk	Categoria:Medicina
分類:Céng-dê	Categoria:Politica
分類:Gáu-ṳ̆k	Categoria:Educazione
Ăi-gĭk	Egitto
模板:Bot	Template:Bot
Nizhneleninskoye	Nižneleninskoe
Gă-nā-dâi	Canada
分類:Iù-hié	Categoria:Giochi
分類:Ĕu-ciŭ guók-gă	Categoria:Stati dell'Europa
分類:Ĕu-ciŭ	Categoria:Europa
模板:Documentation	Template:Man
分類:Ê̤ṳng-hô	Categoria:Utenti per lingua
Sìng Câi-gĭ	Sung Jae-gi
模板:Softredirect	Template:Soft redirect
Wikipedia:維基數據	Aiuto:Wikidata
模板:Chēng	Template:Cancella subito
分類:Ngṳ̄-ngiòng	Categoria:Lingue
分類:Lĭk-huák	Categoria:Calendari
分類:Wikipedia	Categoria:Wikipedia
Wikipedia:Mò̤ hô-cáik sĭng-mìng	Wikipedia:Avvertenze generali
分類:未索引其頁面	Categoria:Pagine non indicizzate
Huòng-huō Diòng-siàng	Great Firewall
模板:Smallcaps	Template:Maiuscoletto
模板:Nowrap	Template:Tutto attaccato
Wikipedia:Ék-chiék Wikipedia dŭ găi-dŏng ô gì ùng	Wikipedia:Lista delle voci che tutte le Wikipedie dovrebbero avere
分類:Hĭ-ciŭ	Categoria:Africa
模板:Wikisource	Template:Wikisource
模板:Babel	Template:Babel
模板:Commons	Template:Commons
模板:Reflist	Template:References
Wikipedia:列明來源	Aiuto:Uso delle fonti
模板:Stub	Template:S
模板:User eo-1	Template:Utente eo-1
模板:User eo-3	Template:Utente eo-3
模板:User de	Template:Utente de
模板:User de-1	Template:Utente de-1
模板:User es	Template:Utente es
模板:User de-3	Template:Utente de-3
模板:User en-3	Template:Utente en-3
模板:User en-1	Template:Utente en-1
模板:User en-2	Template:Utente en-2
模板:User eo-2	Template:Utente eo-2
模板:User en-4	Template:Utente en-4
模板:User en	Template:Utente en
模板:User de-2	Template:Utente de-2
模板:User es-1	Template:Utente es-1
模板:User fr-1	Template:Utente fr-1
模板:User it-3	Template:Utente it-3
模板:User fr-2	Template:Utente fr-2
模板:User ja	Template:Utente ja
模板:User ja-1	Template:Utente ja-1
模板:User it-1	Template:Utente it-1
模板:User fr	Template:Utente fr
分類:Ā-ciŭ	Categoria:Asia
分類:Nàng Mī-ciŭ	Categoria:America meridionale
分類:Mā-lài-să̤-ā	Categoria:Malesia
模板:Mod	Template:Mod
模板:User it	Template:Utente it
模板:User es-2	Template:Utente es-2
模板:Huăng-ngìng	Template:Benvenuto
分類:Dièu-lâiu	Categoria:Condimenti
分類:User fr-1	Categoria:Utenti fr-1
模板:Image label	Template:Etichetta immagine
模板:Wiki gĕ̤ng-tiàng	Template:Wikimedia
模板:Steady	Template:Stabile
模板:Guók-gă	Template:Stato
模板:Cite journal	Template:Cita pubblicazione
模板:Infobox 公司	Template:Azienda
模板:Hō̤ gì ùng-ciŏng	Template:Vetrina
分類:User en-4	Categoria:Utenti en-4
分類:User en	Categoria:Utenti en
分類:User zh	Categoria:Utenti zh
分類:User zh-M	Categoria:Utenti zh-M
分類:User en-2	Categoria:Utenti en-2
模板:Infobox	Template:Infobox
模板:User eo	Template:Utente eo
模板:User zh	Template:Utente zh
分類:Gáuk-guók gì lĭk-sṳ̄	Categoria:Storia per nazione
Wikipedia:Dŏng-nièng gĭng-dáng/09 nguŏk 23 hô̤	Template:PaginaPrincipale/Attualita/23 settembre
Wikipedia:Dŏng-nièng gĭng-dáng/09 nguŏk 22 hô̤	Template:PaginaPrincipale/Attualita/22 settembre
模板:Legend	Template:Legenda
Wikipedia:Dŏng-nièng gĭng-dáng/09 nguŏk 17 hô̤	Template:PaginaPrincipale/Attualita/17 settembre
Wikipedia:Dŏng-nièng gĭng-dáng/10 nguŏk 15 hô̤	Template:PaginaPrincipale/Attualita/15 ottobre
模板:Cite web	Template:Cita web
Wikipedia:Dŏng-nièng gĭng-dáng/09 nguŏk 28 hô̤	Template:PaginaPrincipale/Attualita/28 settembre
Wikipedia:Dŏng-nièng gĭng-dáng/10 nguŏk 22 hô̤	Template:PaginaPrincipale/Attualita/22 ottobre
Wikipedia:Dŏng-nièng gĭng-dáng/11 nguŏk 2 hô̤	Template:PaginaPrincipale/Attualita/2 novembre
Wikipedia:Dŏng-nièng gĭng-dáng/11 nguŏk 9 hô̤	Template:PaginaPrincipale/Attualita/9 novembre
Wikipedia:Dŏng-nièng gĭng-dáng/10 nguŏk 1 hô̤	Template:PaginaPrincipale/Attualita/1 ottobre
Wikipedia:Dŏng-nièng gĭng-dáng/10 nguŏk 5 hô̤	Template:PaginaPrincipale/Attualita/5 ottobre
Wikipedia:Dŏng-nièng gĭng-dáng/10 nguŏk 8 hô̤	Template:PaginaPrincipale/Attualita/8 ottobre
分類:Īng-sĭk	Categoria:Alimentazione
模板:MongolUnicode	Template:MongolUnicode
Wikipedia:Dŏng-nièng gĭng-dáng/10 nguŏk 6 hô̤	Template:PaginaPrincipale/Attualita/6 ottobre
Wikipedia:Dŏng-nièng gĭng-dáng/10 nguŏk 17 hô̤	Template:PaginaPrincipale/Attualita/17 ottobre
Wikipedia:Dŏng-nièng gĭng-dáng/10 nguŏk 2 hô̤	Template:PaginaPrincipale/Attualita/2 ottobre
Wikipedia:Dŏng-nièng gĭng-dáng/09 nguŏk 16 hô̤	Template:PaginaPrincipale/Attualita/16 settembre
Wikipedia:Dŏng-nièng gĭng-dáng/09 nguŏk 19 hô̤	Template:PaginaPrincipale/Attualita/19 settembre
Wikipedia:Dŏng-nièng gĭng-dáng/10 nguŏk 25 hô̤	Template:PaginaPrincipale/Attualita/25 ottobre
Wikipedia:Dŏng-nièng gĭng-dáng/11 nguŏk 10 hô̤	Template:PaginaPrincipale/Attualita/10 novembre
Wikipedia:Dŏng-nièng gĭng-dáng/10 nguŏk 21 hô̤	Template:PaginaPrincipale/Attualita/21 ottobre
Wikipedia:Dŏng-nièng gĭng-dáng/09 nguŏk 15 hô̤	Template:PaginaPrincipale/Attualita/15 settembre
Wikipedia:Dŏng-nièng gĭng-dáng/09 nguŏk 4 hô̤	Template:PaginaPrincipale/Attualita/4 settembre
Wikipedia:Dŏng-nièng gĭng-dáng/09 nguŏk 8 hô̤	Template:PaginaPrincipale/Attualita/8 settembre
Wikipedia:Dŏng-nièng gĭng-dáng/10 nguŏk 4 hô̤	Template:PaginaPrincipale/Attualita/4 ottobre
Wikipedia:Dŏng-nièng gĭng-dáng/09 nguŏk 1 hô̤	Template:PaginaPrincipale/Attualita/1 settembre
Wikipedia:Dŏng-nièng gĭng-dáng/09 nguŏk 6 hô̤	Template:PaginaPrincipale/Attualita/6 settembre
Wikipedia:Dŏng-nièng gĭng-dáng/09 nguŏk 25 hô̤	Template:PaginaPrincipale/Attualita/25 settembre
Wikipedia:Dŏng-nièng gĭng-dáng/09 nguŏk 10 hô̤	Template:PaginaPrincipale/Attualita/10 settembre
Wikipedia:Dŏng-nièng gĭng-dáng/09 nguŏk 26 hô̤	Template:PaginaPrincipale/Attualita/26 settembre
Wikipedia:Dŏng-nièng gĭng-dáng/09 nguŏk 20 hô̤	Template:PaginaPrincipale/Attualita/20 settembre
Wikipedia:Dŏng-nièng gĭng-dáng/11 nguŏk 4 hô̤	Template:PaginaPrincipale/Attualita/4 novembre
Wikipedia:Dŏng-nièng gĭng-dáng/09 nguŏk 30 hô̤	Template:PaginaPrincipale/Attualita/30 settembre
Wikipedia:Dŏng-nièng gĭng-dáng/10 nguŏk 7 hô̤	Template:PaginaPrincipale/Attualita/7 ottobre
Wikipedia:Dŏng-nièng gĭng-dáng/10 nguŏk 19 hô̤	Template:PaginaPrincipale/Attualita/19 ottobre
Wikipedia:Dŏng-nièng gĭng-dáng/09 nguŏk 27 hô̤	Template:PaginaPrincipale/Attualita/27 settembre
Wikipedia:Dŏng-nièng gĭng-dáng/09 nguŏk 11 hô̤	Template:PaginaPrincipale/Attualita/11 settembre
Wikipedia:Dŏng-nièng gĭng-dáng/11 nguŏk 8 hô̤	Template:PaginaPrincipale/Attualita/8 novembre
Wikipedia:Dŏng-nièng gĭng-dáng/11 nguŏk 1 hô̤	Template:PaginaPrincipale/Attualita/1 novembre
Wikipedia:Dŏng-nièng gĭng-dáng/11 nguŏk 7 hô̤	Template:PaginaPrincipale/Attualita/7 novembre
Wikipedia:Dŏng-nièng gĭng-dáng/10 nguŏk 11 hô̤	Template:PaginaPrincipale/Attualita/11 ottobre
Wikipedia:Dŏng-nièng gĭng-dáng/11 nguŏk 3 hô̤	Template:PaginaPrincipale/Attualita/3 novembre
Wikipedia:Dŏng-nièng gĭng-dáng/10 nguŏk 20 hô̤	Template:PaginaPrincipale/Attualita/20 ottobre
Wikipedia:Dŏng-nièng gĭng-dáng/10 nguŏk 16 hô̤	Template:PaginaPrincipale/Attualita/16 ottobre
Wikipedia:Dŏng-nièng gĭng-dáng/10 nguŏk 14 hô̤	Template:PaginaPrincipale/Attualita/14 ottobre
Wikipedia:Dŏng-nièng gĭng-dáng/10 nguŏk 18 hô̤	Template:PaginaPrincipale/Attualita/18 ottobre
Wikipedia:Dŏng-nièng gĭng-dáng/10 nguŏk 24 hô̤	Template:PaginaPrincipale/Attualita/24 ottobre
Wikipedia:Dŏng-nièng gĭng-dáng/10 nguŏk 3 hô̤	Template:PaginaPrincipale/Attualita/3 ottobre
Wikipedia:Dŏng-nièng gĭng-dáng/09 nguŏk 7 hô̤	Template:PaginaPrincipale/Attualita/7 settembre
分類:Săng	Categoria:Montagne
模板:IPA	Template:IPA
分類:Céng-dê-gă	Categoria:Politici
分類:Mī-ciŭ	Categoria:America
Tàng	Espettorato
分類:Gáuk-guók gì ìng-ŭk	Categoria:Persone per nazionalità
模板:Wiki-huá	Template:W
分類:Gŭng-sê̤ṳ	Categoria:Forze armate
模板:Increase	Template:Aumento
模板:Ciŭ-gĭ-biēu	Template:Tavola periodica
模板:User nl	Template:Utente nl
模板:Infobox 網站	Template:Sito web
Wikipedia:Dŏng-nièng gĭng-dáng/10 nguŏk 12 hô̤	Template:PaginaPrincipale/Attualita/12 ottobre
模板:Decrease	Template:Diminuzione
模板:User no-2	Template:Utente no-2
模板:Image label end	Template:Etichetta immagine fine
Wikipedia:Dŏng-nièng gĭng-dáng/11 nguŏk 5 hô̤	Template:PaginaPrincipale/Attualita/5 novembre
Wikipedia:Dŏng-nièng gĭng-dáng/10 nguŏk 13 hô̤	Template:PaginaPrincipale/Attualita/13 ottobre
Wikipedia:Dŏng-nièng gĭng-dáng/09 nguŏk 3 hô̤	Template:PaginaPrincipale/Attualita/3 settembre
Wikipedia:Dŏng-nièng gĭng-dáng/09 nguŏk 24 hô̤	Template:PaginaPrincipale/Attualita/24 settembre
模板:Purge	Template:Purga
模板:Lang-la	Template:Latino
分類:Cìng-gāng	Categoria:Emozioni e sentimenti
