Áfríkà	Africa
15492 Nyberg	15492 Nyberg
22843 Stverak	22843 Stverak
12567 Herreweghe	12567 Herreweghe
STS-55	STS-55
STS-42	STS-42
9323 Hirohisasato	9323 Hirohisasato
7655 Adamries	7655 Adamries
37601 Vicjen	37601 Vicjen
89739 Rampazzi	89739 Rampazzi
5891 Gehrig	5891 Gehrig
21661 Olgagermani	21661 Olgagermani
2310 Olshaniya	2310 Olshaniya
21546 Konermann	21546 Konermann
4732 Froeschlé	4732 Froeschlé
Chérif Souleymane	Chérif Souleymane
15945 Raymondavid	15945 Raymondavid
9164 Colbert	9164 Colbert
9993 Kumamoto	9993 Kumamoto
5104 Skripnichenko	5104 Skripnichenko
3864 Søren	3864 Søren
3266 Bernardus	3266 Bernardus
8436 Leucopsis	8436 Leucopsis
5605 Kushida	5605 Kushida
9386 Hitomi	9386 Hitomi
7344 Summerfield	7344 Summerfield
14214 Hirsch	14214 Hirsch
6022 Jyuro	6022 Jyuro
9863 Reichardt	9863 Reichardt
5186 Donalu	5186 Donalu
19446 Muroski	19446 Muroski
Juan Bautista Aznar-Cabañas	Juan Bautista Aznar Cabañas
7551 Edstolper	7551 Edstolper
2324 Janice	2324 Janice
5583 Braunerová	5583 Braunerová
7401 Toynbee	7401 Toynbee
4997 Ksana	4997 Ksana
Giovanni Lanza	Giovanni Lanza
José Sánchez-Guerra y Martínez	José Sánchez Guerra
15126 Brittanyanderson	15126 Brittanyanderson
8269 Calandrelli	8269 Calandrelli
2347 Vinata	2347 Vinata
10092 Sasaki	10092 Sasaki
2170 Byelorussia	2170 Byelorussia
5588 Jennabelle	5588 Jennabelle
7681 Chenjingrun	7681 Chenjingrun
7548 Engström	7548 Engström
8964 Corax	8964 Corax
5829 Ishidagoro	5829 Ishidagoro
Oskari Mantere	Oskari Mantere
9013 Sansaturio	9013 Sansaturio
8608 Chelomey	8608 Chelomey
4935 Maslachkova	4935 Maslachkova
16215 Venkatraman	16215 Venkatraman
81203 Polynesia	81203 Polynesia
9156 Malanin	9156 Malanin
7230 Lutz	7230 Lutz
5074 Goetzoertel	5074 Goetzoertel
2301 Whitford	2301 Whitford
9717 Lyudvasilia	9717 Lyudvasilia
Mátsù Píktsù	Machu Picchu
5380 Sprigg	5380 Sprigg
8235 Fragonard	8235 Fragonard
16226 Beaton	16226 Beaton
4795 Kihara	4795 Kihara
3324 Avsyuk	3324 Avsyuk
Isaías Medina Angarita	Isaías Medina Angarita
9104 Matsuo	9104 Matsuo
21715 Palaniappan	21715 Palaniappan
Àsìá ilẹ̀ Karelia	Bandiera della Repubblica di Carelia
9684 Olieslagers	9684 Olieslagers
6910 Ikeguchi	6910 Ikeguchi
14572 Armando	14572 Armando
2528 Mohler	2528 Mohler
10042 Budstewart	10042 Budstewart
2829 Bobhope	2829 Bobhope
5149 Leibniz	5149 Leibniz
Jẹ́ọ́gráfì ilẹ̀ Làìbéríà	Geografia della Liberia
9676 Eijkman	9676 Eijkman
7711 Říp	7711 Říp
8677 Charlier	8677 Charlier
8067 Helfenstein	8067 Helfenstein
7361 Endres	7361 Endres
13125 Tobolsk	13125 Tobolsk
19591 Michaelklein	19591 Michaelklein
14570 Burkam	14570 Burkam
5561 Iguchi	5561 Iguchi
2414 Vibeke	2414 Vibeke
7193 Yamaoka	7193 Yamaoka
5704 Schumacher	5704 Schumacher
8834 Anacardium	8834 Anacardium
8839 Novichkova	8839 Novichkova
8446 Tazieff	8446 Tazieff
13084 Virchow	13084 Virchow
8275 Inca	8275 Inca
3180 Morgan	3180 Morgan
3676 Hahn	3676 Hahn
7516 Kranjc	7516 Kranjc
21710 Nijhawan	21710 Nijhawan
16203 Jessicastahl	16203 Jessicastahl
5471 Tunguska	5471 Tunguska
3224 Irkutsk	3224 Irkutsk
5458 Aizman	5458 Aizman
6987 Onioshidashi	6987 Onioshidashi
Manuel Pardo	Manuel Pardo
2591 Dworetsky	2591 Dworetsky
8268 Goerdeler	8268 Goerdeler
21641 Tiffanyko	21641 Tiffanyko
4554 Fanynka	4554 Fanynka
5908 Aichi	5908 Aichi
5847 Wakiya	5847 Wakiya
3049 Kuzbass	3049 Kuzbass
8857 Cercidiphyllum	8857 Cercidiphyllum
3629 Lebedinskij	3629 Lebedinskij
4600 Meadows	4600 Meadows
9493 Enescu	9493 Enescu
8370 Vanlindt	8370 Vanlindt
46793 Phinney	46793 Phinney
7232 Nabokov	7232 Nabokov
8546 Kenmotsu	8546 Kenmotsu
10321 Rampo	10321 Rampo
7994 Bethellen	7994 Bethellen
30418 Jakobsteiner	30418 Jakobsteiner
5421 Ulanova	5421 Ulanova
2848 ASP	2848 ASP
8470 Dudinskaya	8470 Dudinskaya
10529 Giessenburg	10529 Giessenburg
8356 Wadhwa	8356 Wadhwa
11798 Davidsson	11798 Davidsson
2382 Nonie	2382 Nonie
11248 Blériot	11248 Blériot
15499 Cloyd	15499 Cloyd
3161 Beadell	3161 Beadell
3646 Aduatiques	3646 Aduatiques
(7120) 1989 AD3	7120 Davidgavine
2396 Kochi	2396 Kochi
10132 Lummelunda	10132 Lummelunda
2667 Oikawa	2667 Oikawa
Ìpínlẹ̀ Kánò	Kano (stato)
ISO 1073-1	OCR-A
Real Time Streaming Protocol	Real Time Streaming Protocol
Gemini 3	Gemini 3
STS-4	STS-4
Humat Al Hima	Humat al-Hima
Ìpínlẹ̀ Jígàwà	Jigawa
Ìpínlẹ̀ Ẹdó	Edo (stato)
Ìpínlẹ̀ Ọ̀ṣun	Osun
2684 Douglas	2684 Douglas
Das Schloß (Ìwé)	Il castello
7787 Annalaura	7787 Annalaura
Ìpínlẹ̀ Yòbè	Yobe (stato)
3413 Andriana	3413 Andriana
3976 Lise	3976 Lise
3189 Penza	3189 Penza
9171 Carolyndiane	9171 Carolyndiane
5306 Fangfen	5306 Fangfen
3721 Widorn	3721 Widorn
9153 Chikurinji	9153 Chikurinji
7766 Jododaira	7766 Jododaira
Frankie Lymon	Frankie Lymon
21840 Ghoshchoudhury	21840 Ghoshchoudhury
Rafael Núñez	Rafael Núñez (politico)
20898 Fountainhills	20898 Fountainhills
Mọ́ṣálásí Olókìkí Djenné	Grande moschea di Djenné
35403 Latimer	35403 Latimer
9878 Sostero	9878 Sostero
3595 Gallagher	3595 Gallagher
3349 Manas	3349 Manas
21615 Guardamano	21615 Guardamano
8282 Delp	8282 Delp
8867 Tubbiolo	8867 Tubbiolo
5951 Alicemonet	5951 Alicemonet
21550 Laviolette	21550 Laviolette
2618 Coonabarabran	2618 Coonabarabran
2656 Evenkia	2656 Evenkia
22992 Susansmith	22992 Susansmith
9340 Williamholden	9340 Williamholden
5177 Hugowolf	5177 Hugowolf
3165 Mikawa	3165 Mikawa
2814 Vieira	2814 Vieira
7092 Cadmus	7092 Cadmus
5697 Arrhenius	5697 Arrhenius
5228 Máca	5228 Máca
3225 Hoag	3225 Hoag
2977 Chivilikhin	2977 Chivilikhin
13715 Steed	13715 Steed
7228 MacGillivray	7228 MacGillivray
12845 Crick	12845 Crick
7132 Casulli	7132 Casulli
Àsìá ilẹ̀ Bashkortostan	Bandiera della Baschiria
5495 Rumyantsev	5495 Rumyantsev
8734 Warner	8734 Warner
7575 Kimuraseiji	7575 Kimuraseiji
3179 Beruti	3179 Beruti
7713 Tsutomu	7713 Tsutomu
7950 Berezov	7950 Berezov
3712 Kraft	3712 Kraft
9486 Utemorrah	9486 Utemorrah
16076 Barryhaase	16076 Barryhaase
5464 Weller	5464 Weller
6964 Kunihiko	6964 Kunihiko
21398 Zengguoshou	21398 Zengguoshou
5799 Brewington	5799 Brewington
6933 Azumayasan	6933 Azumayasan
43224 Tonypensa	43224 Tonypensa
22561 Miviscardi	22561 Miviscardi
9252 Goddard	9252 Goddard
9667 Amastrinc	9667 Amastrinc
6976 Kanatsu	6976 Kanatsu
9193 Geoffreycopland	9193 Geoffreycopland
9869 Yadoumaru	9869 Yadoumaru
4750 Mukai	4750 Mukai
7796 Járacimrman	7796 Járacimrman
22633 Fazio	22633 Fazio
7131 Longtom	7131 Longtom
88470 Joaquinescrig	88470 Joaquinescrig
7330 Annelemaître	7330 Annelemaître
5169 Duffell	5169 Duffell
9375 Omodaka	9375 Omodaka
9777 Enterprise	9777 Enterprise
9973 Szpilman	9973 Szpilman
8313 Christiansen	8313 Christiansen
Parakou	Parakou
John Edgar Wideman	John Edgar Wideman
ISO 3166-2:CH	ISO 3166-2:CH
Udzima wa ya Masiwa	Udzima wa ya Masiwa
Orin-ìyìn Orílẹ̀-èdè Bòlífíà	Bolivianos, el hado propicio
Ìdíje Wimbledon 2011 − Àwọn Obìnrin Ẹnìkan	Torneo di Wimbledon 2011 - Singolare femminile
5274 Degewij	5274 Degewij
20843 Kuotzuhao	20843 Kuotzuhao
(8465) 1981 EQ31	8465 Bancelin
6806 Kaufmann	6806 Kaufmann
9385 Avignon	9385 Avignon
6829 Charmawidor	6829 Charmawidor
8086 Peterthomas	8086 Peterthomas
2518 Rutllant	2518 Rutllant
9471 Ostend	9471 Ostend
13673 Urysohn	13673 Urysohn
2402 Satpaev	2402 Satpaev
7108 Nefedov	7108 Nefedov
5155 Denisyuk	5155 Denisyuk
2621 Goto	2621 Goto
(9920) 1981 EZ10	9920 Bagnulo
7174 Semois	7174 Semois
3045 Alois	3045 Alois
8911 Kawaguchijun	8911 Kawaguchijun
2442 Corbett	2442 Corbett
3376 Armandhammer	3376 Armandhammer
9775 Joeferguson	9775 Joeferguson
22908 Bayefsky-Anand	22908 Bayefsky-Anand
2614 Torrence	2614 Torrence
ISO 3166-2:EE	ISO 3166-2:EE
8682 Kräklingbo	8682 Kräklingbo
2370 van Altena	2370 van Altena
8205 Van Dijck	8205 Van Dijck
16165 Licht	16165 Licht
8075 Roero	8075 Roero
4502 Elizabethann	4502 Elizabethann
13699 Nickthomas	13699 Nickthomas
7628 Evgenifedorov	7628 Evgenifedorov
3747 Belinskij	3747 Belinskij
8144 Hiragagennai	8144 Hiragagennai
2275 Cuitlahuac	2275 Cuitlahuac
9198 Sasagamine	9198 Sasagamine
3645 Fabini	3645 Fabini
7309 Shinkawakami	7309 Shinkawakami
5384 Changjiangcun	5384 Changjiangcun
ISO 3103	ISO 3103
5581 Mitsuko	5581 Mitsuko
4606 Saheki	4606 Saheki
5240 Kwasan	5240 Kwasan
5990 Panticapaeon	5990 Panticapaeon
115331 Shrylmiles	115331 Shrylmiles
5932 Prutkov	5932 Prutkov
8835 Annona	8835 Annona
22769 Aurelianora	22769 Aurelianora
9267 Lokrume	9267 Lokrume
Ray Walston	Ray Walston
5753 Yoshidatadahiko	5753 Yoshidatadahiko
8886 Elaeagnus	8886 Elaeagnus
6007 Billevans	6007 Billevans
5667 Nakhimovskaya	5667 Nakhimovskaya
8061 Gaudium	8061 Gaudium
8832 Altenrath	8832 Altenrath
Àsìá ilẹ̀ Kalẹdóníà Tuntun	Bandiera della Nuova Caledonia
20527 Dajowestrich	20527 Dajowestrich
9871 Jeon	9871 Jeon
16253 Griffis	16253 Griffis
Òkè Abu	Mount Abu
Àkójọ àwọn Ààrẹ ilẹ̀ Tànsáníà	Presidenti della Tanzania
6792 Akiyamatakashi	6792 Akiyamatakashi
6799 Citfiftythree	6799 Citfiftythree
6800 Saragamine	6800 Saragamine
6801 Střekov	6801 Střekov
6802 Černovice	6802 Černovice
6805 Abstracta	6805 Abstracta
6811 Kashcheev	6811 Kashcheev
6814 Steffl	6814 Steffl
6815 Mutchler	6815 Mutchler
6816 Barbcohen	6816 Barbcohen
Teuvo Aura	Teuvo Aura
Orin-ìyìn Orílẹ̀-èdè Erékùṣù ilẹ̀ Man	Inno Nazionale dell'Isola di Man
6817 Pest	6817 Pest
6818 Sessyu	6818 Sessyu
STS-51-A	STS-51-A
Ìtàn ilẹ̀ Tógò	Storia del Togo
José María Velasco Ibarra	José María Velasco Ibarra
Paul Magloire	Paul Eugène Magloire
Ioannis Rallis	Ioannis Rallis
Konstantinos Logothetopoulos	Konstantinos Logothetopoulos
Charles Cousin-Montauban, Comte de Palikao	Charles Cousin-Montauban
Evripidis Bakirtzis	Evripidis Mpakirtzis
Dimitrios Kiousopoulos	Dimitrios Kiousopoulos
Alexandros Koryzis	Alexandros Korizis
Stylianos Gonatas	Stylianos Gonatas
Georgios Theotokis	Georgios Theotokis
Reino Kuuskoski	Reino Kuuskoski
Paolo Lorenzi	Paolo Lorenzi
Alexandros Koumoundouros	Alexandros Koumoundouros
Wilson Oruma	Wilson Oruma
Sophoklis Venizelos	Sofoklīs Venizelos
Sheshonk 2k	Sheshonq II
Tatsuma Ito	Tatsuma Ito
Pierre Tirard	Pierre Tirard
Panagiotis Kanellopoulos	Panagiōtīs Kanellopoulos
Ernesto de la Guardia	Ernesto de la Guardia
Vieno Johannes Sukselainen	Vieno Johannes Sukselainen
Konstantinos Demertzis	Konstantinos Demertzis
Dimitrios Voulgaris	Dimitrios Voulgaris
Osorkon	Osorkon il Vecchio
(4668) 1987 DX5	4668 Rayjay
(4933) 1984 EN1	4933 Tylerlinder
(4627) 1985 RT2	4627 Pinomogavero
(4744) 1988 RF5	4744 Rovereto
(4793) 1988 RR4	4793 Slessor
(4695) 1985 RU3	4695 Mediolanum
(4749) 1989 WE1	4749 Ledzeppelin
(4800) 1989 TG17	4800 Veveri
(4942) 1987 DU6	4942 Munroe
(4633) 1988 AJ5	4633 Marinbica
(4738) 1985 RZ4	4738 Jimihendrix
(4939) 1986 QL1	4939 Scovil
(8461) 1981 EC21	8461 Sammiepung
(4938) 1986 CQ1	4938 Papadopoulos
(5802) 1984 HL1	5802 Casteldelpiano
(7986) 1981 EG15	7986 Romania
(8245) 1977 RC9	8245 Molnar
(7036) 1995 BH3	7036 Kentarohirata
(8466) 1981 EV34	8466 Leyrat
(8459) 1981 EQ18	8459 Larsbergknut
(8458) 1981 EY9	8458 Georgekoenig
(8467) 1981 ES35	8467 Benoîtcarry
(8464) 1981 EF28	8464 Polishook
(5558) 1989 WL2	5558 Johnnapier
(8460) 1981 EP19	8460 Imainamahoe
(5537) 1964 TA2	5537 Sanya
(5506) 1987 SV11	5506 Artiglio
Jaime Roldós Aguilera	Jaime Roldós Aguilera
9943 Bizan	9943 Bizan
(8254) 1981 EF18	8254 Moskovitz
(8455) 1981 ER6	8455 Johnrayner
(5268) 1971 US1	5268 Černohorský
(5625) 1991 AO2	5625 Jamesferguson
(6012) 1990 SK4	6012 Williammurdoch
(5575) 1985 RP2	5575 Ryanpark
(5305) 1978 VS5	5305 Bernievolz
(5099) 1985 DY1	5099 Iainbanks
(6019) 1991 RO6	6019 Telford
(7988) 1981 EX30	7988 Pucacco
(7989) 1981 EW41	7989 Pernadavide
(7985) 1981 EK10	7985 Nedelcu
(7987) 1981 EV22	7987 Walshkevin
(8633) 1981 FC1	8633 Keisukenagao
(9536) 1981 UR27	9536 Statler
(9530) 1981 EO26	9530 Kelleymichael
(7399) 1987 BC2	7399 Somme
(8462) 1981 ED22	8462 Hazelsears
(9725) 1981 EE19	9725 Wainscoat
(9003) 1981 UW21	9003 Ralphmilliken
(9723) 1981 EP13	9723 Binyang
(9728) 1981 EX38	9728 Videen
(7388) 1982 FS3	7388 Marcomorelli
(9528) 1981 EH24	9528 Küppers
(9724) 1981 EW17	9724 Villanueva
(9289) 1981 QR3	9289 Balau
(8999) 1981 EJ28	8999 Tashadunn
(9288) 1981 EV46	9288 Santos-Sanz
(8998) 1981 EG23	8998 Matthewizawa
(8797) 1981 EU18	8797 Duffard
(8995) 1981 EB9	8995 Rachelstevenson
(8801) 1981 EQ29	8801 Nugent
(9282) 1981 EP16	9282 Lucylim
Luigi Luzzatti	Luigi Luzzatti
(8810) 1982 JM1	8810 Johnmcfarland
(8611) 1977 UM4	8611 Judithgoldhaber
(9832) 1981 EH3	9832 Xiaobinwang
(9284) 1981 ED24	9284 Juansanchez
(7021) 1992 JN1	7021 Tomiokamachi
(8800) 1981 EB26	8800 Brophy
(9279) 1981 EY12	9279 Seager
(9152) 1980 VZ2	9152 Combe
(8799) 1981 ER25	8799 Barnouin
(8794) 1981 EA7	8794 Joepatterson
(9285) 1981 EL24	9285 Le Corre
(9726) 1981 EY19	9726 Verbiscer
(8808) 1981 UH28	8808 Luhmann
(8795) 1981 EO9	8795 Dudorov
(5347) 1985 DX2	5347 Orestelesca
(5326) 1988 RT6	5326 Vittoriosacco
(5739) 1989 WK2	5739 Robertburns
Azzeddine Laraki	Azzeddine Laraki
(9287) 1981 ER43	9287 Klima
6825 Irvine	6825 Irvine
(9524) 1981 EJ5	9524 O'Rourke
6827 Wombat	6827 Wombat
(9281) 1981 EJ15	9281 Weryk
(9280) 1981 EQ14	9280 Stevenjoy
(9981) 1995 BS3	9981 Kudo
(8996) 1981 EC10	8996 Waynedwards
(8136) 1979 MH2	8136 Landis
(8796) 1981 EA12	8796 Sonnett
(9727) 1981 EW24	9727 Skrutskie
(8069) 1981 EF30	8069 Benweiss
(8252) 1981 EY14	8252 Elkins-Tanton
(8253) 1981 EU15	8253 Brunetto
(8063) 1977 XP2	8063 Cristinathomas
Redd Foxx	Redd Foxx
De facto	De facto
Wilford Brimley	Wilford Brimley
Àkójọ àwọn orílẹ̀-èdè bí àwọn ènìyàn wọn se pọ̀sí	Stati per popolazione
Ralph Waite	Ralph Waite
0.999...	0,999...
6832 Kawabata	6832 Kawabata
Ìwọ̀orùn Jẹ́mánì	Germania Ovest
6835 Molfino	6835 Molfino
6841 Gottfriedkirch	6841 Gottfriedkirch
6843 Heremon	6843 Heremon
6844 Shpak	6844 Shpak
6846 Kansazan	6846 Kansazan
6847 Kunz-Hallstein	6847 Kunz-Hallstein
Matsukata Masayoshi	Masayoshi Matsukata
Seni Pramoj	Seni Pramoj
Kuroda Kiyotaka	Kiyotaka Kuroda
6856 Bethemmons	6856 Bethemmons
Pridi Banomyong	Pridi Banomyong
Keisuke Okada	Keisuke Okada
Àsìá ilẹ̀ Mari El	Bandiera della Repubblica dei Mari
Mitsumasa Yonai	Mitsumasa Yonai
6860 Sims	6860 Sims
6864 Starkenburg	6864 Starkenburg
6868 Seiyauyeda	6868 Seiyauyeda
6869 Funada	6869 Funada
6871 Verlaine	6871 Verlaine
6873 Tasaka	6873 Tasaka
6877 Giada	6877 Giada
6879 Hyogo	6879 Hyogo
6881 Shifutsu	6881 Shifutsu
6882 Sormano	6882 Sormano
6883 Hiuchigatake	6883 Hiuchigatake
Aruba Dushi Tera	Aruba Dushi Tera
Ioannis Kolettis	Ioannis Kolettis
145534 Jhongda	145534 Jhongda
142562 Graetz	142562 Graetz
142408 Trebur	142408 Trebur
6885 Nitardy	6885 Nitardy
STS-77	STS-77
6890 Savinykh	6890 Savinykh
6891 Triconia	6891 Triconia
6894 Macreid	6894 Macreid
6898 Saint-Marys	6898 Saint-Marys
6899 Nancychabot	6899 Nancychabot
6901 Roybishop	6901 Roybishop
6904 McGill	6904 McGill
6905 Miyazaki	6905 Miyazaki
6908 Kunimoto	6908 Kunimoto
STS-88	STS-88
STS-89	STS-89
Théodore Steeg	Théodore Steeg
6919 Tomonaga	6919 Tomonaga
6921 Janejacobs	6921 Janejacobs
6922 Yasushi	6922 Yasushi
Medgar Evers	Medgar Evers
6924 Fukui	6924 Fukui
Ruben Bemelmans	Ruben Bemelmans
Uthong	Ramathibodi I
Narai	Narai
Emilio Castelar y Ripoll	Emilio Castelar
Osorkon 4k	Osorkon IV
Mohamed Benhima	Mohamed Benhima
Edgar Sanabria	Edgar Sanabria
Forbes Burnham	Forbes Burnham
6925 Susumu	6925 Susumu
6927 Tonegawa	6927 Tonegawa
6929 Misto	6929 Misto
6936 Cassatt	6936 Cassatt
6937 Valadon	6937 Valadon
6938 Soniaterk	6938 Soniaterk
6939 Lestone	6939 Lestone
6941 Dalgarno	6941 Dalgarno
6942 Yurigulyaev	6942 Yurigulyaev
6945 Dahlgren	6945 Dahlgren
6948 Gounelle	6948 Gounelle
6950 Simonek	6950 Simonek
6955 Ekaterina	6955 Ekaterina
6956 Holbach	6956 Holbach
6959 Mikkelkocha	6959 Mikkelkocha
Ferdinand Sarrien	Ferdinand Sarrien
6965 Niyodogawa	6965 Niyodogawa
6969 Santaro	6969 Santaro
6970 Saigusa	6970 Saigusa
6971 Omogokei	6971 Omogokei
6972 Helvetius	6972 Helvetius
6974 Solti	6974 Solti
6975 Hiroaki	6975 Hiroaki
6979 Shigefumi	6979 Shigefumi
6980 Kyusakamoto	6980 Kyusakamoto
6981 Chirman	6981 Chirman
6983 Komatsusakyo	6983 Komatsusakyo
6984 Lewiscarroll	6984 Lewiscarroll
6990 Toya	6990 Toya
6991 Chichibu	6991 Chichibu
6992 Minano-machi	6992 Minano-machi
6995 Minoyama	6995 Minoyama
Àsìá ilẹ̀ Sérbíà àti Montenégrò	Bandiera della Serbia e Montenegro
7001 Noether	7001 Noether
Hiram Rhodes Revels	Hiram Rhodes Revels
7003 Zoyamironova	7003 Zoyamironova
7004 Markthiemens	7004 Markthiemens
7008 Pavlov	7008 Pavlov
7010 Locke	7010 Locke
7015 Schopenhauer	7015 Schopenhauer
(7019) 1992 EM1	7019 Tagayuichan
7020 Yourcenar	7020 Yourcenar
Àmì ọ̀pá àṣẹ ilẹ̀ Guernsey	Stemma di Guernsey
Azat u ankakh Artsakh	Azat u Ankakh Artsakh
STS-91	STS-91
ISO 639-2	ISO 639-2
Nàkádà Kẹta	Naqada III
Irin olọ́ksíjìn	Ossido di ferro
1997 Leverrier	1997 Leverrier
1638 Ruanda	1638 Ruanda
371 Bohemia	371 Bohemia
3831 Pettengill	3831 Pettengill
7144 Dossobuono	7144 Dossobuono
7602 Yidaeam	7602 Yidaeam
8433 Brachyrhynchus	8433 Brachyrhynchus
2181 Fogelin	2181 Fogelin
2812 Scaltriti	2812 Scaltriti
5916 van der Woude	5916 van der Woude
7799 Martinšolc	7799 Martinšolc
5675 Evgenilebedev	5675 Evgenilebedev
Jaime Lusinchi	Jaime Lusinchi
2793 Valdaj	2793 Valdaj
14234 Davidhoover	14234 Davidhoover
2358 Bahner	2358 Bahner
7356 Casagrande	7356 Casagrande
5443 Encrenaz	5443 Encrenaz
21673 Leatherman	21673 Leatherman
3607 Naniwa	3607 Naniwa
5387 Casleo	5387 Casleo
84902 Porrentruy	84902 Porrentruy
9339 Kimnovak	9339 Kimnovak
Àmì ọ̀pá àṣẹ ilẹ̀ Írẹ́lándì Apáàríwá	Stemma dell'Irlanda del Nord
17097 Ronneuman	17097 Ronneuman
12515 Suiseki	12515 Suiseki
9235 Shimanamikaido	9235 Shimanamikaido
2896 Preiss	2896 Preiss
5450 Sokrates	5450 Sokrates
14612 Irtish	14612 Irtish
2808 Belgrano	2808 Belgrano
Nikolaos Triantaphyllakos	Nikolaos Triantaphyllakos
Baltasar Brum	Baltasar Brum
Sakari Tuomioja	Sakari Tuomioja
Ricardo Samper	Ricardo Samper
9762 Hermannhesse	9762 Hermannhesse
2707 Ueferji	2707 Ueferji
3248 Farinella	3248 Farinella
Usim Nduka	Nduka Usim
9054 Hippocastanum	9054 Hippocastanum
Maha Chakkraphat	Maha Chakkraphat
20340 Susanruder	20340 Susanruder
Uche Okechukwu	Uche Okechukwu
Georges Leygues	Georges Leygues
Ralf Törngren	Ralf Törngren
Konstantinos Dovas	Konstantinos Dovas
Cheikh Hadjibou Soumaré	Cheikh Hadjibou Soumaré
Johan Wilhelm Rangell	Jukka Rangell
Spyridon Lambros	Spyridon Lambros
Konstantinos Tsaldaris	Konstantinos Tsaldaris
Konstantinos Georgakopoulos	Konstantinos Georgakopoulos
Panagis Tsaldaris	Panagīs Tsaldarīs
Georgios Zoitakis	Geōrgios Zōitakīs
3250 Martebo	3250 Martebo
Peter Rufai	Peter Rufai
Alessandro Fortis	Alessandro Fortis
Luis Batlle Berres	Luis Batlle Berres
5005 Kegler	5005 Kegler
Luigi Carlo Farini	Luigi Carlo Farini
3156 Ellington	3156 Ellington
8744 Cilla	8744 Cilla
8438 Marila	8438 Marila
23733 Hyojiyun	23733 Hyojiyun
8805 Petrpetrov	8805 Petrpetrov
7172 Multatuli	7172 Multatuli
2499 Brunk	2499 Brunk
9374 Sundre	9374 Sundre
5580 Sharidake	5580 Sharidake
5781 Barkhatova	5781 Barkhatova
8856 Celastrus	8856 Celastrus
3472 Upgren	3472 Upgren
8724 Junkoehara	8724 Junkoehara
10354 Guillaumebudé	10354 Guillaumebudé
3043 San Diego	3043 San Diego
2323 Zverev	2323 Zverev
3328 Interposita	3328 Interposita
3357 Tolstikov	3357 Tolstikov
15629 Sriner	15629 Sriner
18171 Romaneskue	18171 Romaneskue
5345 Boynton	5345 Boynton
3445 Pinson	3445 Pinson
5015 Litke	5015 Litke
46392 Bertola	46392 Bertola
9532 Abramenko	9532 Abramenko
4979 Otawara	4979 Otawara
8927 Ryojiro	8927 Ryojiro
20271 Allygoldberg	20271 Allygoldberg
16044 Kurtbachmann	16044 Kurtbachmann
30933 Grillparzer	30933 Grillparzer
10956 Vosges	10956 Vosges
3109 Machin	3109 Machin
3196 Maklaj	3196 Maklaj
5451 Plato	5451 Plato
3301 Jansje	3301 Jansje
21557 Daniellitt	21557 Daniellitt
3121 Tamines	3121 Tamines
19467 Amandanagy	19467 Amandanagy
4578 Kurashiki	4578 Kurashiki
STS-119	STS-119
STS-117	STS-117
15606 Winer	15606 Winer
Cándido Bareiro	Cándido Bareiro
114649 Jeanneacker	114649 Jeanneacker
8539 Laban	8539 Laban
3334 Somov	3334 Somov
X.500	X.500
5294 Onnetoh	5294 Onnetoh
Emmanouil Tsouderos	Emmanouil Tsouderos
3116 Goodricke	3116 Goodricke
9500 Camelot	9500 Camelot
Àtòjọ àwọn obìnrin ẹnìkan ayọrí Open Austrálíà	Albo d'oro del singolare femminile dell'Australian Open
STS-120	STS-120
647 Adelgunde	647 Adelgunde
Paul Winchell	Paul Winchell
Àsìá ilẹ̀ Tibet	Bandiera del Tibet
Peso convertible	Peso cubano convertibile
958 Asplinda	958 Asplinda
STS-6	STS-6
STS-41-D	STS-41-D
2478 Tokai	2478 Tokai
5538 Luichewoo	5538 Luichewoo
12833 Kamenný Újezd	12833 Kamenný Újezd
3172 Hirst	3172 Hirst
5173 Stjerneborg	5173 Stjerneborg
12411 Tannokayo	12411 Tannokayo
11449 Stephwerner	11449 Stephwerner
5010 Amenemhêt	5010 Amenemhêt
7689 Reinerstoss	7689 Reinerstoss
Adult Film Database	Adult Film Database
5008 Miyazawakenji	5008 Miyazawakenji
15594 Castillo	15594 Castillo
4585 Ainonai	4585 Ainonai
Lewis Howard Latimer	Lewis Latimer
5618 Saitama	5618 Saitama
5206 Kodomonomori	5206 Kodomonomori
17612 Whiteknight	17612 Whiteknight
2835 Ryoma	2835 Ryoma
7104 Manyousyu	7104 Manyousyu
2112 Ulyanov	2112 Ulyanov
10218 Bierstadt	10218 Bierstadt
Cleto González Víquez	Cleto González Víquez
8761 Crane	8761 Crane
8065 Nakhodkin	8065 Nakhodkin
5945 Roachapproach	5945 Roachapproach
Manuel Ignacio de Vivanco	Manuel Ignacio de Vivanco
2466 Golson	2466 Golson
5959 Shaklan	5959 Shaklan
16590 Brunowalter	16590 Brunowalter
7496 Miroslavholub	7496 Miroslavholub
8970 Islandica	8970 Islandica
4603 Bertaud	4603 Bertaud
25593 Camillejordan	25593 Camillejordan
14606 Hifleischer	14606 Hifleischer
4764 Joneberhart	4764 Joneberhart
10293 Pribina	10293 Pribina
5156 Golant	5156 Golant
3525 Paul	3525 Paul
4615 Zinner	4615 Zinner
9839 Crabbegat	9839 Crabbegat
9872 Solf	9872 Solf
2673 Lossignol	2673 Lossignol
7182 Robinvaughan	7182 Robinvaughan
8381 Hauptmann	8381 Hauptmann
Elias Sarkis	Elias Sarkis
15617 Fallowfield	15617 Fallowfield
